experiment_id,status,method,dataset,category,protocol,shot,seed,source_domain,target_normal_tuning,image_size,image_auroc,image_ap,image_f1_max,pixel_auroc,pixel_ap,aupro,runtime_ms,peak_gpu_mb,feature_bank_mb,config_path,commit_sha,checkpoint,started_at,finished_at,notes
ac_visa_candle_official_smoke,success,AnomalyCLIP,visa,candle,official_smoke,0,111,MVTec,false,336,0.901,0.911,,0.989,,0.942,,,configs/protocol.yaml,3911738c0867544f545a076ad78f3f11d9ecbfdf,9_12_4_multiscale_visa/epoch_15.pth,2026-07-25T07:33:00+08:00,2026-07-25T07:35:04+08:00,"200 test images; feature 24; official test.py with empty-class skip patch; RTX 3060"
ac_visa_candle_official_518,success,AnomalyCLIP,visa,candle,official,0,111,MVTec,false,518,0.809,0.826,,0.976,,0.945,,,configs/protocol.yaml,3911738c0867544f545a076ad78f3f11d9ecbfdf,9_12_4_multiscale_visa/epoch_15.pth,2026-07-25T07:38:00+08:00,2026-07-25T07:44:58+08:00,"200 test images; official features 6 12 18 24; local empty-class skip patch; RTX 3060"
ac_visa_candle_cached_eval,success,AnomalyCLIP,visa,candle,official_cached,0,111,MVTec,false,518,0.8094,0.8260108771,,0.9758203486,0.2246648994,0.9450454791,,,configs/protocol.yaml,3911738c0867544f545a076ad78f3f11d9ecbfdf,9_12_4_multiscale_visa/epoch_15.pth,2026-07-25T08:45:00+08:00,2026-07-25T08:52:00+08:00,"image and AUPRO metrics match upstream; optimized official 200-threshold evaluator; cache 189930496 bytes"
ac_visa_all_518_cached,success,AnomalyCLIP,visa,all,official_cached,0,111,MVTec,false,518,0.8197063256,0.8533829805,,0.9392759994,0.1898146394,0.8359699204,,,configs/protocol.yaml,3911738c0867544f545a076ad78f3f11d9ecbfdf,9_12_4_multiscale_visa/epoch_15.pth,2026-07-25T08:54:00+08:00,2026-07-25T09:17:06+08:00,"12 classes; 2162 test images; 12 NPZ caches; official 200-threshold cached evaluator; RTX 3060"
pc_visa_candle_smoke128,success,PatchCore,visa,candle,engineering_smoke,0,0,ImageNet,false,128,0.9798,,,0.9842336356,,,,,,configs/protocol.yaml,fcaa92f124fb1ad74a7acf56726decd4b27cbcad,torchvision WideResNet50-2 ImageNet weights,2026-07-25T10:10:00+08:00,2026-07-25T10:15:00+08:00,"128px/256-dim; CPU FAISS; num_workers=0; official 224px config hit 2.69GiB contiguous allocation limit; anomaly-pixel AUROC 0.9695994047"
pc_visa_all_128,success,PatchCore,visa,all,engineering_local,0,0,ImageNet,false,128,0.9086870187,,,0.9702311474,,,,,,configs/protocol.yaml,fcaa92f124fb1ad74a7acf56726decd4b27cbcad,torchvision WideResNet50-2 ImageNet weights,2026-07-25T10:18:00+08:00,2026-07-25T10:42:00+08:00,"12 categories; macro of per-category results; 128px/256-dim; CPU FAISS; anomaly-pixel AUROC 0.9588682490"
wc_visa_candle_zs,success,WinCLIP,visa,candle,native_zero_shot,0,111,LAION,false,240,0.8497,,0.7815,0.8986,,,,,,configs/protocol.yaml,a2ee822d77d01fb7beaed54314e61fe34d5027a4,LAION ViT-B-16-plus-240,2026-07-25T10:50:37+08:00,2026-07-25T10:55:28+08:00,"native WinCLIP protocol; cal_pro=false; pixel F1 6.48; p_pro omitted"
wc_visa_candle_k1,success,WinCLIP,visa,candle,native_one_shot,1,111,LAION,false,240,0.8395,,0.7854,0.9074,,,,,,configs/protocol.yaml,a2ee822d77d01fb7beaed54314e61fe34d5027a4,LAION ViT-B-16-plus-240,2026-07-25T10:56:22+08:00,2026-07-25T10:57:16+08:00,"native WinCLIP k-shot=1; one random normal support image; pixel F1 8.21; cal_pro=false"
wc_visa_all_zs,success,WinCLIP,visa,all,native_zero_shot,0,2162,LAION,false,240,0.660883,,0.748358,0.738125,,,,,,configs/protocol.yaml,a2ee822d77d01fb7beaed54314e61fe34d5027a4,LAION ViT-B-16-plus-240,2026-07-25T11:00:00+08:00,2026-07-25T11:12:33+08:00,"12 categories; macro image AUROC 0.660883; pixel AUROC 0.738125; image F1 0.748358; pixel F1 0.089192; cal_pro=false; native zero-shot"
