candidate,seed,shot,category,samples,image_auroc,image_ap,pixel_auroc,pixel_ap,aupro,mean_visual_weight,mean_visual_pixel_weight,text_route_fraction
visual_only,0,1,bracket_black,79,0.42819148936170215,0.545265614816065,0.9296364054838684,0.018832042421808175,0.9748226969587317,1.0,1.0,0.0
safe_default,0,1,bracket_black,79,0.42819148936170215,0.545265614816065,0.9296364054838684,0.018832042421808175,0.9748226969587317,1.0,1.0,0.0
pixel_only_w15,0,1,bracket_black,79,0.42819148936170215,0.545265614816065,0.9296364054838684,0.018832042421808175,0.9748226969587317,1.0,1.0,0.0
pixel_only_w25,0,1,bracket_black,79,0.42819148936170215,0.545265614816065,0.9296364054838684,0.018832042421808175,0.9748226969587317,1.0,1.0,0.0
pixel_only_w35,0,1,bracket_black,79,0.42819148936170215,0.545265614816065,0.9296364054838684,0.018832042421808175,0.9748226969587317,1.0,1.0,0.0
pixel_strict_w25,0,1,bracket_black,79,0.42819148936170215,0.545265614816065,0.9296364054838684,0.018832042421808175,0.9748226969587317,1.0,1.0,0.0
pixel_wide_w25,0,1,bracket_black,79,0.42819148936170215,0.545265614816065,0.9296364054838684,0.018832042421808175,0.9748226969587317,1.0,1.0,0.0
visual_only,0,1,bracket_brown,77,0.44645550527903466,0.6391496255303947,0.9301991245806043,0.046255054501843244,0.0,1.0,1.0,0.0
safe_default,0,1,bracket_brown,77,0.44645550527903466,0.6391496255303947,0.9301991245806043,0.046255054501843244,0.0,1.0,1.0,0.0
pixel_only_w15,0,1,bracket_brown,77,0.44645550527903466,0.6391496255303947,0.9301991245806043,0.046255054501843244,0.0,1.0,1.0,0.0
pixel_only_w25,0,1,bracket_brown,77,0.44645550527903466,0.6391496255303947,0.9301991245806043,0.046255054501843244,0.0,1.0,1.0,0.0
pixel_only_w35,0,1,bracket_brown,77,0.44645550527903466,0.6391496255303947,0.9301991245806043,0.046255054501843244,0.0,1.0,1.0,0.0
pixel_strict_w25,0,1,bracket_brown,77,0.44645550527903466,0.6391496255303947,0.9301991245806043,0.046255054501843244,0.0,1.0,1.0,0.0
pixel_wide_w25,0,1,bracket_brown,77,0.44645550527903466,0.6391496255303947,0.9301991245806043,0.046255054501843244,0.0,1.0,1.0,0.0
visual_only,0,1,bracket_white,60,0.6144444444444445,0.5282193923941643,0.9890712682390035,0.08460092191951801,0.8383238013668005,1.0,1.0,0.0
safe_default,0,1,bracket_white,60,0.6144444444444445,0.5282193923941643,0.9890712682390035,0.08460092191951801,0.8383238013668005,1.0,1.0,0.0
pixel_only_w15,0,1,bracket_white,60,0.6144444444444445,0.5282193923941643,0.9890712682390035,0.08460092191951801,0.8383238013668005,1.0,1.0,0.0
pixel_only_w25,0,1,bracket_white,60,0.6144444444444445,0.5282193923941643,0.9890712682390035,0.08460092191951801,0.8383238013668005,1.0,1.0,0.0
pixel_only_w35,0,1,bracket_white,60,0.6144444444444445,0.5282193923941643,0.9890712682390035,0.08460092191951801,0.8383238013668005,1.0,1.0,0.0
pixel_strict_w25,0,1,bracket_white,60,0.6144444444444445,0.5282193923941643,0.9890712682390035,0.08460092191951801,0.8383238013668005,1.0,1.0,0.0
pixel_wide_w25,0,1,bracket_white,60,0.6144444444444445,0.5282193923941643,0.9890712682390035,0.08460092191951801,0.8383238013668005,1.0,1.0,0.0
visual_only,0,1,connector,44,0.5642857142857143,0.379645720655859,0.9470865696147572,0.09652634056918385,0.0,1.0,1.0,0.0
safe_default,0,1,connector,44,0.5642857142857143,0.379645720655859,0.9470865696147572,0.09652634056918385,0.0,1.0,1.0,0.0
pixel_only_w15,0,1,connector,44,0.5642857142857143,0.379645720655859,0.9470865696147572,0.09652634056918385,0.0,1.0,1.0,0.0
pixel_only_w25,0,1,connector,44,0.5642857142857143,0.379645720655859,0.9470865696147572,0.09652634056918385,0.0,1.0,1.0,0.0
pixel_only_w35,0,1,connector,44,0.5642857142857143,0.379645720655859,0.9470865696147572,0.09652634056918385,0.0,1.0,1.0,0.0
pixel_strict_w25,0,1,connector,44,0.5642857142857143,0.379645720655859,0.9470865696147572,0.09652634056918385,0.0,1.0,1.0,0.0
pixel_wide_w25,0,1,connector,44,0.5642857142857143,0.379645720655859,0.9470865696147572,0.09652634056918385,0.0,1.0,1.0,0.0
visual_only,0,1,metal_plate,97,0.9978331527627302,0.9992488262910798,0.9692975201506434,0.8423125006537273,0.8884821110348786,1.0,1.0,0.0
safe_default,0,1,metal_plate,97,0.9978331527627302,0.9992488262910798,0.9692975201506434,0.8423125006537273,0.8884821110348786,1.0,1.0,0.0
