category,query_index,query_rel,bank_index,bank_rel,strict_leave_image_memory,arm,grid,feature_source,score_mean,score_std,score_p50,score_p95,score_p99,score_max
bracket_brown,0,bracket_brown/train/good/039.png,1,bracket_brown/train/good/160.png,True,full896_native64,64,cached full896_extension dual-resolution clean feature,0.3177636301853255,0.061383607590557845,0.3122050315141678,0.42475374788045883,0.5132753252983093,0.7330260872840881
bracket_brown,0,bracket_brown/train/good/039.png,1,bracket_brown/train/good/160.png,True,dino448_bilinear64,64,cached full896_extension dual-resolution clean feature,0.28060431291144994,0.06776667045084174,0.2667645812034607,0.41400444507598877,0.501783087849617,0.6775702834129333
bracket_brown,0,bracket_brown/train/good/039.png,1,bracket_brown/train/good/160.png,True,multiscale_concat64,64,cached full896_extension dual-resolution clean feature,0.33647370030826096,0.06361027360615916,0.328032910823822,0.45545416325330734,0.5298337340354919,0.6981228590011597
bracket_brown,0,bracket_brown/train/good/039.png,1,bracket_brown/train/good/160.png,True,late_mean64,64,cached full896_extension dual-resolution clean feature,0.29918397149920395,0.05710205763522131,0.2900461405515671,0.40376143902540207,0.48725374042987823,0.664803147315979
bracket_brown,1,bracket_brown/train/good/160.png,0,bracket_brown/train/good/039.png,True,full896_native64,64,cached full896_extension dual-resolution clean feature,0.31877818684455406,0.06495830831620414,0.31155170500278473,0.4346161335706711,0.5509059578180313,0.7595852613449097
bracket_brown,1,bracket_brown/train/good/160.png,0,bracket_brown/train/good/039.png,True,dino448_bilinear64,64,cached full896_extension dual-resolution clean feature,0.28131941079982425,0.06858330899485324,0.26897990703582764,0.40492670238018036,0.5297791361808777,0.7289841771125793
bracket_brown,1,bracket_brown/train/good/160.png,0,bracket_brown/train/good/039.png,True,multiscale_concat64,64,cached full896_extension dual-resolution clean feature,0.33873027650159315,0.06599901353540753,0.33045729994773865,0.4556250274181366,0.5651364624500275,0.7525641322135925
bracket_brown,1,bracket_brown/train/good/160.png,0,bracket_brown/train/good/039.png,True,late_mean64,64,cached full896_extension dual-resolution clean feature,0.30004879884209146,0.060404531116468436,0.29057784378528595,0.4007662162184715,0.5366014689207077,0.7299253344535828
bracket_white,0,bracket_white/train/good/023.png,1,bracket_white/train/good/103.png,True,full896_native64,64,cached full896_extension dual-resolution clean feature,0.4001526973575409,0.12313448297792187,0.3728051036596298,0.6285679489374161,0.8325377553701401,1.2111997604370117
bracket_white,0,bracket_white/train/good/023.png,1,bracket_white/train/good/103.png,True,dino448_bilinear64,64,cached full896_extension dual-resolution clean feature,0.4218682284769244,0.12371700956351815,0.3989834487438202,0.6596389561891556,0.8333344459533691,1.1923154592514038
