category,sample_count,visual_weight_mean,visual_weight_std,pixel_weight_mean,pixel_weight_std,visual_count,text_count,weighted_count
candle,200,0.94837945,0.01623637,0.39501080,0.32248398,200,0,0
capsules,160,0.71072600,0.19029052,0.46863614,0.30417828,83,0,77
cashew,150,0.75384467,0.17904649,0.20687552,0.25101672,90,0,60
chewinggum,150,0.91014907,0.06121754,0.17669306,0.22679656,149,0,1
fryum,150,0.72975832,0.16597822,0.22711023,0.29187873,83,0,67
macaroni1,200,0.94198393,0.03898169,0.47544428,0.12936172,200,0,0
macaroni2,200,0.68532523,0.15005665,0.72301928,0.16266236,84,0,116
pcb1,200,0.92516368,0.05560669,0.31928400,0.32875982,199,0,1
pcb2,200,0.77988117,0.17389882,0.24718267,0.23053652,139,0,61
pcb3,201,0.94999999,0.00000000,0.42304944,0.40299384,201,0,0
pcb4,201,0.83869034,0.13664757,0.27684575,0.23271465,168,0,33
pipe_fryum,150,0.60228935,0.15293277,0.20763624,0.23035421,35,0,115
