dataset,shot,mean_delta_pixel_ap,seed_std,n_seeds
mpdd,1,0.021005,0.012243,3
mpdd,2,0.027709,0.002367,3
mpdd,4,0.028805,0.00252,3
btad,1,0.025808,0.009242,3
btad,2,0.023865,0.009136,3
btad,4,0.025014,0.007251,3
visa,1,0.055822,0.006349,3
visa,2,0.052257,0.003293,3
visa,4,0.049005,0.001919,3
mvtec,1,0.034773,0.005553,3
mvtec,2,0.031135,0.005385,3
mvtec,4,0.029965,0.005061,3
