dataset,metric,delta_A1_minus_DINO
mpdd,image_auroc,0.029002
mpdd,image_ap,0.029133
mpdd,image_f1_max,0.006708
mpdd,pixel_auroc,0.009852
mpdd,pixel_ap,0.02583
mpdd,pixel_aupro,0.019569
btad,image_auroc,0.003919
btad,image_ap,-0.013066
btad,image_f1_max,-0.023735
btad,pixel_auroc,0.002695
btad,pixel_ap,0.024895
btad,pixel_aupro,0.003466
visa,image_auroc,0.031651
visa,image_ap,0.032389
visa,image_f1_max,0.019781
visa,pixel_auroc,0.009449
visa,pixel_ap,0.052354
visa,pixel_aupro,0.019166
mvtec,image_auroc,0.011781
mvtec,image_ap,0.007416
mvtec,image_f1_max,0.009046
mvtec,pixel_auroc,0.011455
mvtec,pixel_ap,0.031962
mvtec,pixel_aupro,0.013371
