dataset,seed,shot,delta_pixel_ap,category_ci_lo,category_ci_hi
mpdd,0,1,0.029767,0.001865,0.063751
mpdd,0,2,0.028096,-0.004067,0.068283
mpdd,0,4,0.026348,0.006024,0.049935
mpdd,1,1,0.007016,-0.037374,0.044986
mpdd,1,2,0.025172,0.007879,0.049637
mpdd,1,4,0.031383,0.011595,0.05037
mpdd,2,1,0.026231,-0.008664,0.067422
mpdd,2,2,0.029858,-0.010557,0.070968
mpdd,2,4,0.028683,0.006647,0.046915
btad,0,1,0.030949,0.026817,0.035203
btad,0,2,0.025625,0.012048,0.032615
btad,0,4,0.024265,0.015741,0.03228
btad,1,1,0.031336,0.026287,0.037998
btad,1,2,0.031994,0.025639,0.0363
btad,1,4,0.03261,0.023237,0.044647
btad,2,1,0.015138,-0.001942,0.027284
btad,2,2,0.013977,-0.008517,0.031953
btad,2,4,0.018166,0.002519,0.033298
visa,0,1,0.056604,0.031561,0.080681
visa,0,2,0.05503,0.028479,0.079565
visa,0,4,0.05122,0.024174,0.075168
visa,1,1,0.049119,0.018267,0.077427
visa,1,2,0.048617,0.01923,0.076634
visa,1,4,0.047854,0.020457,0.076447
visa,2,1,0.061744,0.033173,0.096702
visa,2,2,0.053124,0.027308,0.077491
visa,2,4,0.047941,0.019013,0.074205
mvtec,0,1,0.040971,0.022002,0.060498
mvtec,0,2,0.031906,0.009796,0.052937
mvtec,0,4,0.033875,0.01036,0.055565
mvtec,1,1,0.030252,0.005959,0.055813
mvtec,1,2,0.025406,0.002852,0.048072
mvtec,1,4,0.024248,0.002066,0.045519
mvtec,2,1,0.033095,0.009201,0.055865
mvtec,2,2,0.036092,0.014276,0.056503
mvtec,2,4,0.031771,0.008948,0.053987
