"mode","image_auroc","pixel_auroc","pixel_ap","aupro"
"visual","0.5979791666666666","0.8374287111651402","0.059485619784032745","0.32941570957312566"
"text","0.8197063256325633","0.9314356942018441","0.17407971727066618","0.7327800216119074"
"fixed_w0","0.8197063256325633","0.9314356942018441","0.17407971727066618","0.7327800216119074"
"fixed_w025","0.81987299229923","0.948042863611943","0.17782521846067353","0.7334063095757015"
"fixed_w05","0.8200813256325633","0.9485612626684959","0.17834184635501923","0.731430429045314"
"fixed_w075","0.8206646589658967","0.948778681366024","0.17885500721692146","0.7078330195432704"
"fixed_w1","0.5979791666666666","0.8374287111651402","0.059485619784032745","0.32941570957312566"
"dynamic","0.8143667766776678","0.9486242310503773","0.1782187704814773","0.7959941071111546"
