category,query_index,query_rel,bank_index,bank_rel,strict_leave_image_memory,uses_other_support_memory,query_clean_counterpart_used,arm,grid,feature_source,normal_role,score_mean,score_std,score_p50,score_p95,score_p99,score_max
bracket_black,0,bracket_black/train/good/271.png,1,bracket_black/train/good/281.png,True,True,False,high_only64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.38941560785303864,0.09521130760848434,0.37329626083374023,0.5811000764369965,0.7165807485580444,0.8417738676071167
bracket_black,0,bracket_black/train/good/271.png,1,bracket_black/train/good/281.png,True,True,False,low_only64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.42143776338660643,0.10316051747841702,0.4075799882411957,0.6241626888513565,0.7240492403507233,0.8165234923362732
bracket_black,0,bracket_black/train/good/271.png,1,bracket_black/train/good/281.png,True,True,False,late_mean64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.4054266855889068,0.09468378397094886,0.3885035216808319,0.597717821598053,0.7114365100860596,0.822035014629364
bracket_black,0,bracket_black/train/good/271.png,1,bracket_black/train/good/281.png,True,False,False,direct_residual64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.5409620760377436,0.11514540554405904,0.5261158645153046,0.7545923292636871,0.8765403032302856,1.2946863174438477
bracket_black,0,bracket_black/train/good/271.png,1,bracket_black/train/good/281.png,True,True,False,high_residual_concat64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.6085114752492871,0.11410199045264634,0.5928168594837189,0.8350985199213028,0.9477774500846863,1.04482901096344
bracket_black,0,bracket_black/train/good/271.png,1,bracket_black/train/good/281.png,True,True,False,ridge_residual64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.5066452955279317,0.0939113153149829,0.493234246969223,0.6849877238273621,0.760355994105339,1.061374306678772
bracket_black,1,bracket_black/train/good/281.png,0,bracket_black/train/good/271.png,True,True,False,high_only64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.39724268609005264,0.11924176474000672,0.37062348425388336,0.655044674873352,0.8539177030324936,0.982661247253418
bracket_black,1,bracket_black/train/good/281.png,0,bracket_black/train/good/271.png,True,True,False,low_only64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.42959912533738986,0.11754908325672254,0.40846045315265656,0.6913524866104126,0.797934353351593,0.9102460741996765
bracket_black,1,bracket_black/train/good/281.png,0,bracket_black/train/good/271.png,True,True,False,late_mean64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.41342090563919953,0.11378846582581502,0.3883274048566818,0.6691482961177826,0.8177061975002289,0.8886440396308899
bracket_black,1,bracket_black/train/good/281.png,0,bracket_black/train/good/271.png,True,False,False,direct_residual64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.556419216768461,0.11734663895750717,0.5400192439556122,0.7718286961317062,0.8995886594057083,1.3125306367874146
bracket_black,1,bracket_black/train/good/281.png,0,bracket_black/train/good/271.png,True,True,False,high_residual_concat64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.6162344865015825,0.13041657087848477,0.5946746468544006,0.8924825936555862,1.035571128129959,1.1248749494552612
bracket_black,1,bracket_black/train/good/281.png,0,bracket_black/train/good/271.png,True,True,False,ridge_residual64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.5118298915804473,0.10436238586380552,0.49229224026203156,0.7174019664525986,0.7862642407417297,1.0357403755187988
metal_plate,0,metal_plate/train/good/029.png,1,metal_plate/train/good/012.png,True,True,False,high_only64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.44351891105718266,0.08543500107872455,0.4372767210006714,0.5970320552587509,0.6756914556026459,0.8649415969848633
metal_plate,0,metal_plate/train/good/029.png,1,metal_plate/train/good/012.png,True,True,False,low_only64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.45208241016018746,0.07820935706523233,0.4448835402727127,0.591519758105278,0.685549259185791,0.8765674829483032
metal_plate,0,metal_plate/train/good/029.png,1,metal_plate/train/good/012.png,True,True,False,late_mean64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.44780066047263745,0.07591775715706468,0.4430268853902817,0.5822953879833221,0.6646816730499268,0.8374279141426086
metal_plate,0,metal_plate/train/good/029.png,1,metal_plate/train/good/012.png,True,False,False,direct_residual64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.5313947267915893,0.11854055996309436,0.521477460861206,0.7407182902097702,0.845491498708725,1.1183416843414307
metal_plate,0,metal_plate/train/good/029.png,1,metal_plate/train/good/012.png,True,True,False,high_residual_concat64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.6674069956185633,0.08681338762724124,0.6650613844394684,0.8163401186466217,0.8940069824457169,0.9835619330406189
metal_plate,0,metal_plate/train/good/029.png,1,metal_plate/train/good/012.png,True,True,False,ridge_residual64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.502176618377888,0.08874824569771285,0.49234358966350555,0.6622782945632935,0.7409565895795822,0.978799045085907
metal_plate,1,metal_plate/train/good/012.png,0,metal_plate/train/good/029.png,True,True,False,high_only64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.44784756290649597,0.09239132946496809,0.44149060547351837,0.6112914532423019,0.7023254185914993,0.8423048853874207
metal_plate,1,metal_plate/train/good/012.png,0,metal_plate/train/good/029.png,True,True,False,low_only64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.4566838230016117,0.08524555409584893,0.44818806648254395,0.6235021650791168,0.6917105168104172,0.792166531085968
metal_plate,1,metal_plate/train/good/012.png,0,metal_plate/train/good/029.png,True,True,False,late_mean64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.4522656930630973,0.08321199225424025,0.4473678022623062,0.606093093752861,0.6762328445911407,0.8072057962417603
metal_plate,1,metal_plate/train/good/012.png,0,metal_plate/train/good/029.png,True,False,False,direct_residual64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.5326435581507241,0.1193805448924488,0.5198593139648438,0.7449596375226974,0.8570583164691925,1.136446237564087
metal_plate,1,metal_plate/train/good/012.png,0,metal_plate/train/good/029.png,True,True,False,high_residual_concat64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.675565686394549,0.09334753601314487,0.6741841733455658,0.833345428109169,0.9083510339260101,1.0156015157699585
metal_plate,1,metal_plate/train/good/012.png,0,metal_plate/train/good/029.png,True,True,False,ridge_residual64,64,cached full896 high + cached v14 DINO448 low,"clean score distribution, not FPR",0.5048096114844043,0.08932561145227036,0.4973660260438919,0.6627184152603149,0.7293776869773865,0.916502833366394
