dataset,role,n_configs,image_auroc_mean,image_auroc_std,image_ap_mean,image_ap_std,image_f1_max_mean,image_f1_max_std,pixel_auroc_mean,pixel_auroc_std,pixel_ap_mean,pixel_ap_std,pixel_aupro_mean,pixel_aupro_std
btad,external_frozen_validation,9,0.866004,0.021247,0.753211,0.040459,0.764756,0.028762,0.95395,0.003803,0.400588,0.027743,0.728446,0.011921
mvtec,external_frozen_validation,9,0.919963,0.016294,0.956634,0.007008,0.934058,0.006792,0.953859,0.004606,0.465395,0.017983,0.873214,0.011061
