category,status,sources,views,height,width,image_score_min,image_score_max,cache_sha256,errors,cache
bracket_black,passed,4,20,518,518,0.7029629945755005,0.9004608988761902,f828c65fccd15030eec35df8fda64d12ebae1b7874f7f1c86c0bc38728f56fd4,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s1_k4_branch_cache_v1\anomalyclip_text\bracket_black.npz
bracket_brown,passed,4,20,518,518,0.7639891505241394,0.9150631427764893,cee757830a7bda2b13919906b8d8125ca9b9c2ce5917c6f64ac73c3a76ddfe7d,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s1_k4_branch_cache_v1\anomalyclip_text\bracket_brown.npz
bracket_white,passed,4,20,518,518,0.7935713529586792,0.9479783177375793,6d46d6466d83085d4b10d9a8275bbd8568f964072af2b0de8571b4493c1ae4f9,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s1_k4_branch_cache_v1\anomalyclip_text\bracket_white.npz
connector,passed,4,20,518,518,0.8008988499641418,0.8971046805381775,ae634d321e6e46f13205355235237b9714bf28082a29d648a067948372977f8c,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s1_k4_branch_cache_v1\anomalyclip_text\connector.npz
metal_plate,passed,4,20,518,518,0.9298816919326782,0.959783673286438,c78d2bb7cf6a634a06c42cf81fe0ce26c422bc76a94e011f1b8fcc43aa718882,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s1_k4_branch_cache_v1\anomalyclip_text\metal_plate.npz
tubes,passed,4,20,518,518,0.9047064185142517,0.9482943415641785,773e77f851bc397e37b8f49345d416bf15473c7cc982075810c67c437ffc00a2,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s1_k4_branch_cache_v1\anomalyclip_text\tubes.npz
