category,status,sources,views,height,width,image_score_min,image_score_max,cache_sha256,errors,cache
bracket_black,passed,1,5,448,448,3.755092734536447e-07,0.05252581834793091,a8150a9bd5d25ff3ebdda1b36d89c936c98ae2014ced2cf136bc4cd4d61bab57,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s1_k1_branch_cache_v1\anomalydino_visual\bracket_black.npz
bracket_brown,passed,1,5,448,448,4.5895575340182404e-07,0.043634794652462006,c2653542ab7fd9d404d439cd89509516b71e8ef4d8f2e752d4950676d757d4ce,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s1_k1_branch_cache_v1\anomalydino_visual\bracket_brown.npz
bracket_white,passed,1,5,448,448,4.112720546345372e-07,0.07235044240951538,0baca65ceac327539ffe4480611a37a94b848e9115902e2a4cff1d872bc9606e,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s1_k1_branch_cache_v1\anomalydino_visual\bracket_white.npz
connector,passed,1,5,448,448,3.9339064983323624e-07,0.04908498004078865,bcd1a01c6497c9da166a8521009c4401e4d3d144e40bc3b397100c460238b354,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s1_k1_branch_cache_v1\anomalydino_visual\connector.npz
metal_plate,passed,1,5,448,448,4.3511391822903533e-07,0.07230192422866821,df054a92b7220c330aabd9ddb9269d88cf01aeb84427fb38e824b8e74b467e59,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s1_k1_branch_cache_v1\anomalydino_visual\metal_plate.npz
tubes,passed,1,5,448,448,3.8743019104003906e-07,0.005577987525612116,483ee7f5447d9f9e6aa89a70a4eafb7a1b81c9783d377af113da275be1550bf0,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s1_k1_branch_cache_v1\anomalydino_visual\tubes.npz
