category,status,sources,views,height,width,image_score_min,image_score_max,cache_sha256,errors,cache
bracket_black,passed,2,10,518,518,0.7338356971740723,0.9327650666236877,4da3d3c13240e39e051af3bf3d45191fd70b658be6f4eb92d90676c8633fb690,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s2_k2_branch_cache_v1\anomalyclip_text\bracket_black.npz
bracket_brown,passed,2,10,518,518,0.8714797496795654,0.8902568221092224,316996f799cb604a2c3f3d0871fd53971633fe060ef9344449036304c6aed4c0,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s2_k2_branch_cache_v1\anomalyclip_text\bracket_brown.npz
bracket_white,passed,2,10,518,518,0.804611325263977,0.8977439403533936,2feb8f65325cd6bf524ae57caff1155b0a65ca3b04f7330223ce11e704fc8ddb,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s2_k2_branch_cache_v1\anomalyclip_text\bracket_white.npz
connector,passed,2,10,518,518,0.7601862549781799,0.8359484672546387,bd8ba3a6ad5a34a82c95236b62d2374045abc85e6a8b3f5b60b31da2ac338fc2,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s2_k2_branch_cache_v1\anomalyclip_text\connector.npz
metal_plate,passed,2,10,518,518,0.9379907846450806,0.965889573097229,2fb60b1f7def7c74e795f8572eced85dfa9a0a5c335e443ed3b551b807bb4646,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s2_k2_branch_cache_v1\anomalyclip_text\metal_plate.npz
tubes,passed,2,10,518,518,0.8712908625602722,0.9223297834396362,d8e228099d885ae7cbe587a16920a6632c21268d2bae8bc196af07ee5b3a33df,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s2_k2_branch_cache_v1\anomalyclip_text\tubes.npz
