category,status,sources,views,height,width,image_score_min,image_score_max,cache_sha256,errors,cache
bracket_black,passed,2,10,448,448,4.0531159584134e-07,0.054145872592926025,3850057e900cc22c0870defc574b1b2d37752d5439b7d4393dddca8a4b1bea5b,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k2_branch_cache_v1\anomalydino_visual\bracket_black.npz
bracket_brown,passed,2,10,448,448,4.0531159584134e-07,0.04805729538202286,f777caf44e0efa7b98087c99bc10d1ed8c397046a8d146bda9ca5b78020a8c1f,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k2_branch_cache_v1\anomalydino_visual\bracket_brown.npz
bracket_white,passed,2,10,448,448,3.8743019104003906e-07,0.07107190787792206,4a4eda572c629ab7e5d3dc052d303592fb2c1d02413cf068a0708ed68a8637e9,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k2_branch_cache_v1\anomalydino_visual\bracket_white.npz
connector,passed,2,10,448,448,3.993511086264334e-07,0.046051301062107086,33d0a28f5ad875f17cc7cbba3573ff8f161d8d4427ddd95adc13b2f82bd64256,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k2_branch_cache_v1\anomalydino_visual\connector.npz
metal_plate,passed,2,10,448,448,4.0531159584134e-07,0.08167357742786407,d3e17c314558404d12967fc5c3b68b429ac9c535be6e08cf1cd200a45cc13566,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k2_branch_cache_v1\anomalydino_visual\metal_plate.npz
tubes,passed,2,10,448,448,3.755092734536447e-07,0.006572449114173651,3ec192df532d5ca7c4d53fcb7a4d4236ff22ab01d9345ff2abe12fa9d2a723cf,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k2_branch_cache_v1\anomalydino_visual\tubes.npz
