category,status,sources,views,height,width,image_score_min,image_score_max,cache_sha256,errors,cache
bracket_black,passed,4,20,518,518,0.7338359355926514,0.9327650666236877,d3d04439d43d4dd97daaf90471dd744f2f68f43ade475eda2ce45b323e68f95b,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s2_k4_branch_cache_v1\anomalyclip_text\bracket_black.npz
bracket_brown,passed,4,20,518,518,0.8714797496795654,0.9562578201293945,954ce01d7e5b4d7fb5cc7c0583c8a016bec0253559aa6e288ab059a4de870de8,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s2_k4_branch_cache_v1\anomalyclip_text\bracket_brown.npz
bracket_white,passed,4,20,518,518,0.8046114444732666,0.9122049808502197,4eb4c28af68f024227fe6e677f3d5e58a9be2472fa998fc990aeaac66634edbd,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s2_k4_branch_cache_v1\anomalyclip_text\bracket_white.npz
connector,passed,4,20,518,518,0.7601860761642456,0.8852502107620239,8e46869b2109f22f0f554e2f236c0f3bacff175f9b1eb86265bccab6f78cd841,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s2_k4_branch_cache_v1\anomalyclip_text\connector.npz
metal_plate,passed,4,20,518,518,0.9379907846450806,0.9693374037742615,0a23ef746f3bc282f94e174d0b3a00ccda00154d6f721bfa3f428d33a0b57e61,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s2_k4_branch_cache_v1\anomalyclip_text\metal_plate.npz
tubes,passed,4,20,518,518,0.871290922164917,0.9518033862113953,e5ba83f91fc3d43b97bad8ab83fff533865848088fe8c248b99a7f7b0cc38a0e,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s2_k4_branch_cache_v1\anomalyclip_text\tubes.npz
