category,status,sources,views,height,width,image_score_min,image_score_max,cache_sha256,errors,cache
bracket_black,passed,2,10,518,518,0.7649410367012024,0.9163221120834351,111aa6515102c1df9e34478890a67727bc916b30aebe97f5420be9f876e334e8,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k2_branch_cache_v1\anomalyclip_text\bracket_black.npz
bracket_brown,passed,2,10,518,518,0.7271621227264404,0.8262845277786255,56bad5f4cba615fdbef5bf0a2362018237f6d833d755f3b67e829c4b051d700d,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k2_branch_cache_v1\anomalyclip_text\bracket_brown.npz
bracket_white,passed,2,10,518,518,0.8204176425933838,0.8787631392478943,b041f4aa7f76a3150a6aff5d68e811f739cc5e04b22ba7b80d33a2f45821a06e,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k2_branch_cache_v1\anomalyclip_text\bracket_white.npz
connector,passed,2,10,518,518,0.7445273995399475,0.8852500319480896,ce44f0dc2bf74e6a32cc231026c774b746318ca38cd0189d0f55ebec807d1eca,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k2_branch_cache_v1\anomalyclip_text\connector.npz
metal_plate,passed,2,10,518,518,0.9131549000740051,0.948250412940979,d9cb03c03a8de9bfd0c7a33f672d130ae0d5c066d6647d9872f0d5aef2f719d5,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k2_branch_cache_v1\anomalyclip_text\metal_plate.npz
tubes,passed,2,10,518,518,0.9058102369308472,0.9509713053703308,82f223fda428be15d65a1d022c3bc92de57616c23661d6556e80637e1a4c7a1c,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k2_branch_cache_v1\anomalyclip_text\tubes.npz
