category,status,sources,views,height,width,image_score_min,image_score_max,cache_sha256,errors,cache
bracket_black,passed,1,5,448,448,4.5299529460862686e-07,0.05079460144042969,723637b18b805a56579cc54e288c808ef6b8f21c962bf489c02cdb0baf7265ef,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k1_branch_cache_v1\anomalydino_visual\bracket_black.npz
bracket_brown,passed,1,5,448,448,4.0531159584134e-07,0.053687214851379395,b2d9f533c55f829eb26cf9bf509e651d5bb3ba9a78fcb80548453fb7d52166d8,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k1_branch_cache_v1\anomalydino_visual\bracket_brown.npz
bracket_white,passed,1,5,448,448,4.5895575340182404e-07,0.06953759491443634,4a0fc9136def5c1d8eccbd98ee44ef2bdc7670ce1b2fc5eb4ddbdafec407f7d6,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k1_branch_cache_v1\anomalydino_visual\bracket_white.npz
connector,passed,1,5,448,448,3.8743019104003906e-07,0.05508587509393692,e0527c6598297349940c527e54466204867c78cc9564903f215e26ffd024de64,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k1_branch_cache_v1\anomalydino_visual\connector.npz
metal_plate,passed,1,5,448,448,4.112720546345372e-07,0.07286371290683746,88911e8c90d837ae6d688f2ae2fd706458081ba9f2707cbf94fd5ae0de850fbc,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k1_branch_cache_v1\anomalydino_visual\metal_plate.npz
tubes,passed,1,5,448,448,4.0531159584134e-07,0.004815226886421442,0d9b6fd0ab5fcc4672ccc21a337df968759ec3e63bbe5aa97eaddd81a5dee60b,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k1_branch_cache_v1\anomalydino_visual\tubes.npz
