category,status,sources,views,height,width,image_score_min,image_score_max,cache_sha256,errors,cache
01,passed,1,5,518,518,0.7540650963783264,0.7835548520088196,c52e18e5bd329f031657987dfc0211ebfb4893616b722dd26ba95e26d5d8cfaa,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_btad_s2_k1_branch_cache_v1\anomalyclip_text\01.npz
02,passed,1,5,518,518,0.8086902499198914,0.8265360593795776,e282550ec3a8049dd0d5386a90a3cbbffcd3eb0d8289e3d7bbe1aaaeed7b36e8,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_btad_s2_k1_branch_cache_v1\anomalyclip_text\02.npz
03,passed,1,5,518,518,0.8526930212974548,0.8865021467208862,d3a7779f9467b29333efd0313ffb1fbe1565fc8dd523ae05fb878c7f84a0a0f1,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_btad_s2_k1_branch_cache_v1\anomalyclip_text\03.npz
