category,status,sources,views,height,width,image_score_min,image_score_max,cache_sha256,errors,cache
bracket_black,passed,4,20,518,518,0.6655753254890442,0.9243165254592896,29815861cc5a26894fd4d1772302ff3e04d4f7edef8844cdb3fcda42d2c907b6,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k4_branch_cache_v1\anomalyclip_text\bracket_black.npz
bracket_brown,passed,4,20,518,518,0.7271624207496643,0.9159144163131714,a17a604e3713d200cfebcc2fd5fb77aa00c19060f6a550ad1eed87b2b7f5aadd,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k4_branch_cache_v1\anomalyclip_text\bracket_brown.npz
bracket_white,passed,4,20,518,518,0.8204178810119629,0.8843055963516235,0ec5d60d8b450df985055f5aa896cfff08c453ac0ba8d8a56b97c8cf18d370fa,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k4_branch_cache_v1\anomalyclip_text\bracket_white.npz
connector,passed,4,20,518,518,0.7445273995399475,0.9193433523178101,22e70055f03f7a2d48fef7259102b66ce4f93827a031f91a43bcfff1a1aff204,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k4_branch_cache_v1\anomalyclip_text\connector.npz
metal_plate,passed,4,20,518,518,0.9131553173065186,0.9744688868522644,ecc7433be9f3f2952c28f8750713131b94729d3f0cf280d495a4c34e46e4145d,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k4_branch_cache_v1\anomalyclip_text\metal_plate.npz
tubes,passed,4,20,518,518,0.9058103561401367,0.9580494165420532,aa5c546325217c429f3c0629b732746f224e239b809938abe5a9d9c64a6eda37,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k4_branch_cache_v1\anomalyclip_text\tubes.npz
