category,status,sources,views,height,width,image_score_min,image_score_max,cache_sha256,errors,cache
01,passed,1,5,518,518,0.7388421297073364,0.7604501843452454,fb24da13e18e2604cb52553b590546cd4c4f552f2f6d47e5bb94657a7d83251a,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_btad_s0_k1_branch_cache_v1\anomalyclip_text\01.npz
02,passed,1,5,518,518,0.8045989871025085,0.8209671378135681,6838ca69ab7a4ba14b7234d59f1e69333e9dc034788b75266ae88a3ede49deb5,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_btad_s0_k1_branch_cache_v1\anomalyclip_text\02.npz
03,passed,1,5,518,518,0.8708093762397766,0.8969075679779053,356693eee8764b1d9d95d397cf46598281e0af03adc7201042a09cfffd6d5114,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_btad_s0_k1_branch_cache_v1\anomalyclip_text\03.npz
