category,status,sources,views,height,width,image_score_min,image_score_max,cache_sha256,errors,cache
bracket_black,passed,1,5,518,518,0.9145362973213196,0.9163219928741455,af25891750b8f1547c8ed8c879c66d1f8889e2ffe17c604ebf737a1d3c834904,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k1_branch_cache_v1\anomalyclip_text\bracket_black.npz
bracket_brown,passed,1,5,518,518,0.7271624207496643,0.7661389112472534,18de6833a70175deba09f43228031ccc489e1ac6ff575447d24d6b9183ae1763,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k1_branch_cache_v1\anomalyclip_text\bracket_brown.npz
bracket_white,passed,1,5,518,518,0.8561270236968994,0.8787631392478943,df00f9eed1d2dacd1ed0e37b2a473b62cef4ada36d45ab168bc47ff62aceae49,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k1_branch_cache_v1\anomalyclip_text\bracket_white.npz
connector,passed,1,5,518,518,0.7445273995399475,0.79524827003479,aa6caf46376c387559ab66b9ded7509b299004e553b86a9f8cb68faa9bf1f749,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k1_branch_cache_v1\anomalyclip_text\connector.npz
metal_plate,passed,1,5,518,518,0.9379908442497253,0.948250412940979,c43d6888dcf38138c9a62e71e064ff9fe11570135f442776bd5fc18e475eeb0e,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k1_branch_cache_v1\anomalyclip_text\metal_plate.npz
tubes,passed,1,5,518,518,0.9058103561401367,0.9393645524978638,de74be82b800f1fa970cda4ef111d90dce6776f68c7bef2b2cd08ef9bca6d68f,,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\v2_branch_cache\v2_mpdd_s0_k1_branch_cache_v1\anomalyclip_text\tubes.npz
