category,query_index,query_rel,bank_index,bank_rel,strict_leave_image_memory,arm,grid,feature_source,score_mean,score_std,score_p50,score_p95,score_p99,score_max
bracket_black,0,bracket_black/train/good/271.png,1,bracket_black/train/good/281.png,True,full896_native64,64,cached full896 clean + cached v14 DINO448 clean,0.38941560785303864,0.09521130760848434,0.37329626083374023,0.5811000764369965,0.7165807485580444,0.8417738676071167
bracket_black,0,bracket_black/train/good/271.png,1,bracket_black/train/good/281.png,True,dino448_bilinear64,64,cached full896 clean + cached v14 DINO448 clean,0.42143776338660643,0.10316051747841702,0.4075799882411957,0.6241626888513565,0.7240492403507233,0.8165234923362732
bracket_black,0,bracket_black/train/good/271.png,1,bracket_black/train/good/281.png,True,multiscale_concat64,64,cached full896 clean + cached v14 DINO448 clean,0.43256960476436745,0.10036222733218451,0.4143339693546295,0.6332318633794785,0.7450028210878372,0.8603763580322266
bracket_black,0,bracket_black/train/good/271.png,1,bracket_black/train/good/281.png,True,late_mean64,64,cached full896 clean + cached v14 DINO448 clean,0.4054266855889068,0.09468378397094886,0.3885035216808319,0.597717821598053,0.7114365100860596,0.822035014629364
bracket_black,1,bracket_black/train/good/281.png,0,bracket_black/train/good/271.png,True,full896_native64,64,cached full896 clean + cached v14 DINO448 clean,0.39724268609005264,0.11924176474000672,0.37062348425388336,0.655044674873352,0.8539177030324936,0.982661247253418
bracket_black,1,bracket_black/train/good/281.png,0,bracket_black/train/good/271.png,True,dino448_bilinear64,64,cached full896 clean + cached v14 DINO448 clean,0.42959912533738986,0.11754908325672254,0.40846045315265656,0.6913524866104126,0.797934353351593,0.9102460741996765
bracket_black,1,bracket_black/train/good/281.png,0,bracket_black/train/good/271.png,True,multiscale_concat64,64,cached full896 clean + cached v14 DINO448 clean,0.43910076619066274,0.1175984380457918,0.41273216903209686,0.6961968094110489,0.8389575481414795,0.9170152544975281
bracket_black,1,bracket_black/train/good/281.png,0,bracket_black/train/good/271.png,True,late_mean64,64,cached full896 clean + cached v14 DINO448 clean,0.41342090563919953,0.11378846582581502,0.3883274048566818,0.6691482961177826,0.8177061975002289,0.8886440396308899
metal_plate,0,metal_plate/train/good/029.png,1,metal_plate/train/good/012.png,True,full896_native64,64,cached full896 clean + cached v14 DINO448 clean,0.44351891105718266,0.08543500107872455,0.4372767210006714,0.5970320552587509,0.6756914556026459,0.8649415969848633
metal_plate,0,metal_plate/train/good/029.png,1,metal_plate/train/good/012.png,True,dino448_bilinear64,64,cached full896 clean + cached v14 DINO448 clean,0.45208241016018746,0.07820935706523233,0.4448835402727127,0.591519758105278,0.685549259185791,0.8765674829483032
metal_plate,0,metal_plate/train/good/029.png,1,metal_plate/train/good/012.png,True,multiscale_concat64,64,cached full896 clean + cached v14 DINO448 clean,0.47892104195960883,0.0803547850541014,0.474127396941185,0.6235481649637222,0.7038709819316864,0.8713266849517822
metal_plate,0,metal_plate/train/good/029.png,1,metal_plate/train/good/012.png,True,late_mean64,64,cached full896 clean + cached v14 DINO448 clean,0.44780066047263745,0.07591775715706468,0.4430268853902817,0.5822953879833221,0.6646816730499268,0.8374279141426086
metal_plate,1,metal_plate/train/good/012.png,0,metal_plate/train/good/029.png,True,full896_native64,64,cached full896 clean + cached v14 DINO448 clean,0.44784756290649597,0.09239132946496809,0.44149060547351837,0.6112914532423019,0.7023254185914993,0.8423048853874207
metal_plate,1,metal_plate/train/good/012.png,0,metal_plate/train/good/029.png,True,dino448_bilinear64,64,cached full896 clean + cached v14 DINO448 clean,0.4566838230016117,0.08524555409584893,0.44818806648254395,0.6235021650791168,0.6917105168104172,0.792166531085968
metal_plate,1,metal_plate/train/good/012.png,0,metal_plate/train/good/029.png,True,multiscale_concat64,64,cached full896 clean + cached v14 DINO448 clean,0.48385842283614977,0.08791864412091584,0.47739365696907043,0.6477194428443909,0.7090827822685242,0.8348242044448853
metal_plate,1,metal_plate/train/good/012.png,0,metal_plate/train/good/029.png,True,late_mean64,64,cached full896 clean + cached v14 DINO448 clean,0.4522656930630973,0.08321199225424025,0.4473678022623062,0.606093093752861,0.6762328445911407,0.8072057962417603
