category,shot,held_out_h,held_out_rel,method,auc_clean_vs_nuisance,mean_clean_score,mean_nuisance_score,nuisance_minus_clean,p95_clean_score,p95_nuisance_score
bracket_black,2,0,bracket_black/train/good/271.png,global_nn,0.5340784708658854,0.07580218400107697,0.08115587506908924,0.00535369106801227,0.16959396898746484,0.17737013101577756
bracket_black,2,0,bracket_black/train/good/271.png,spatial_bw_nn,0.5323974609375,0.08213869296014309,0.08750881916300084,0.005370126202857747,0.18994272351264951,0.19952902793884272
bracket_black,2,0,bracket_black/train/good/271.png,spatial_bw_nn_coord_shuffle,0.5135417302449543,0.17853001604089513,0.1822729193023406,0.0037429032614454683,0.36049180626869193,0.37031897306442246
bracket_black,2,1,bracket_black/train/good/281.png,global_nn,0.5220461209615072,0.08018769545014948,0.08379519298905506,0.003607497538905588,0.20400394499301905,0.21101956367492672
bracket_black,2,1,bracket_black/train/good/281.png,spatial_bw_nn,0.5214275042215983,0.0860130067449063,0.08999139571484799,0.003978388969941682,0.22161334753036482,0.23877950608730314
bracket_black,2,1,bracket_black/train/good/281.png,spatial_bw_nn_coord_shuffle,0.508065668741862,0.19258479226846248,0.19468047810563197,0.0020956858371694864,0.4081718116998672,0.40835922658443446
bracket_brown,2,0,bracket_brown/train/good/039.png,global_nn,0.553976313273112,0.045119634887669235,0.05022176570103814,0.005102130813368903,0.09341789782047272,0.10180881917476653
bracket_brown,2,0,bracket_brown/train/good/039.png,spatial_bw_nn,0.5495444297790527,0.049410133564379066,0.05467734494013712,0.0052672113757580505,0.11124537885189055,0.12252705097198485
bracket_brown,2,0,bracket_brown/train/good/039.png,spatial_bw_nn_coord_shuffle,0.5167410214742025,0.15602914319606498,0.1600765518611297,0.004047408665064728,0.31962188780307765,0.3238893389701839
bracket_brown,2,1,bracket_brown/train/good/160.png,global_nn,0.5480283419291179,0.04501313768560067,0.049554358837970845,0.004541221152370177,0.09300254881381986,0.10200574100017547
bracket_brown,2,1,bracket_brown/train/good/160.png,spatial_bw_nn,0.5444994608561198,0.04942537419265136,0.054032206923390426,0.004606832730739065,0.10848799347877498,0.11893119513988494
bracket_brown,2,1,bracket_brown/train/good/160.png,spatial_bw_nn_coord_shuffle,0.5149951934814453,0.1483507615630515,0.152008370263502,0.00365760870045051,0.2770946234464644,0.283054170012474
bracket_white,2,0,bracket_white/train/good/023.png,global_nn,0.5175794283548991,0.08188023517141119,0.08497380444702382,0.0030935692756126343,0.1893366396427154,0.19611554443836202
bracket_white,2,0,bracket_white/train/good/023.png,spatial_bw_nn,0.5163030942281087,0.10017705120844766,0.10332443657486388,0.0031473853664162194,0.29606356024742125,0.3066020518541335
bracket_white,2,0,bracket_white/train/good/023.png,spatial_bw_nn_coord_shuffle,0.5085906664530436,0.183712653524708,0.186036111410552,0.0023234578858440103,0.3801115006208418,0.38459925055503835
bracket_white,2,1,bracket_white/train/good/103.png,global_nn,0.5267896334330241,0.07496649539098144,0.07907434680964798,0.004107851418666542,0.15907255113124846,0.1655817687511444
bracket_white,2,1,bracket_white/train/good/103.png,spatial_bw_nn,0.5236409505208333,0.09251137217506766,0.09654357773639882,0.004032205561331159,0.22709565758705139,0.2337539434432983
bracket_white,2,1,bracket_white/train/good/103.png,spatial_bw_nn_coord_shuffle,0.5123203595479329,0.17718137276824564,0.18065671728691085,0.003475344518665213,0.33816596269607535,0.34292552471160886
connector,2,0,connector/train/good/048.png,global_nn,0.5262873649597168,0.05839555076090619,0.061636793737610183,0.003241242976703994,0.14314335882663715,0.14513541162014007
connector,2,0,connector/train/good/048.png,spatial_bw_nn,0.5256173769632975,0.07595959072932601,0.07952886803541333,0.003569277306087318,0.21374638378620134,0.22493303120136257
