category,shot,held_out_h,held_out_rel,family,episode,method,mask_positive_cells,pixel_ap
bracket_black,2,0,bracket_black/train/good/271.png,cutpaste,0,global_nn,9,0.9658119658119658
bracket_black,2,0,bracket_black/train/good/271.png,cutpaste,0,spatial_bw_nn,9,0.800098204264871
bracket_black,2,0,bracket_black/train/good/271.png,cutpaste,0,spatial_bw_nn_coord_shuffle,9,0.47384503659013466
bracket_black,2,0,bracket_black/train/good/271.png,cutpaste,1,global_nn,12,0.4246827246827247
bracket_black,2,0,bracket_black/train/good/271.png,cutpaste,1,spatial_bw_nn,12,0.33533715770314443
bracket_black,2,0,bracket_black/train/good/271.png,cutpaste,1,spatial_bw_nn_coord_shuffle,12,0.06549257405340904
bracket_black,2,0,bracket_black/train/good/271.png,cutpaste,2,global_nn,4,0.5818965517241379
bracket_black,2,0,bracket_black/train/good/271.png,cutpaste,2,spatial_bw_nn,4,0.2653263403263403
bracket_black,2,0,bracket_black/train/good/271.png,cutpaste,2,spatial_bw_nn_coord_shuffle,4,0.04299675031382348
bracket_black,2,0,bracket_black/train/good/271.png,local_erasure,3,global_nn,9,1.0000000000000002
bracket_black,2,0,bracket_black/train/good/271.png,local_erasure,3,spatial_bw_nn,9,1.0000000000000002
bracket_black,2,0,bracket_black/train/good/271.png,local_erasure,3,spatial_bw_nn_coord_shuffle,9,0.9467813051146384
bracket_black,2,0,bracket_black/train/good/271.png,local_erasure,4,global_nn,8,0.9526289682539684
bracket_black,2,0,bracket_black/train/good/271.png,local_erasure,4,spatial_bw_nn,8,0.9861111111111112
bracket_black,2,0,bracket_black/train/good/271.png,local_erasure,4,spatial_bw_nn_coord_shuffle,8,0.9159722222222222
bracket_black,2,0,bracket_black/train/good/271.png,local_erasure,5,global_nn,9,1.0
bracket_black,2,0,bracket_black/train/good/271.png,local_erasure,5,spatial_bw_nn,9,0.9888888888888889
bracket_black,2,0,bracket_black/train/good/271.png,local_erasure,5,spatial_bw_nn_coord_shuffle,9,0.8872285122285122
bracket_black,2,1,bracket_black/train/good/281.png,cutpaste,0,global_nn,7,0.3701639094793582
bracket_black,2,1,bracket_black/train/good/281.png,cutpaste,0,spatial_bw_nn,7,0.3287789692148046
bracket_black,2,1,bracket_black/train/good/281.png,cutpaste,0,spatial_bw_nn_coord_shuffle,7,0.03329719713748303
bracket_black,2,1,bracket_black/train/good/281.png,cutpaste,1,global_nn,8,0.975
bracket_black,2,1,bracket_black/train/good/281.png,cutpaste,1,spatial_bw_nn,8,0.9519230769230769
bracket_black,2,1,bracket_black/train/good/281.png,cutpaste,1,spatial_bw_nn_coord_shuffle,8,0.22869618807118808
bracket_black,2,1,bracket_black/train/good/281.png,cutpaste,2,global_nn,14,0.7194151401080475
bracket_black,2,1,bracket_black/train/good/281.png,cutpaste,2,spatial_bw_nn,14,0.6684681085360729
bracket_black,2,1,bracket_black/train/good/281.png,cutpaste,2,spatial_bw_nn_coord_shuffle,14,0.20475223131237796
bracket_black,2,1,bracket_black/train/good/281.png,local_erasure,3,global_nn,9,0.9888888888888889
bracket_black,2,1,bracket_black/train/good/281.png,local_erasure,3,spatial_bw_nn,9,1.0
bracket_black,2,1,bracket_black/train/good/281.png,local_erasure,3,spatial_bw_nn_coord_shuffle,9,0.31314897883525333
bracket_black,2,1,bracket_black/train/good/281.png,local_erasure,4,global_nn,16,0.9963235294117647
bracket_black,2,1,bracket_black/train/good/281.png,local_erasure,4,spatial_bw_nn,16,0.9963235294117647
bracket_black,2,1,bracket_black/train/good/281.png,local_erasure,4,spatial_bw_nn_coord_shuffle,16,0.5199418808955548
bracket_black,2,1,bracket_black/train/good/281.png,local_erasure,5,global_nn,9,0.9888888888888889
bracket_black,2,1,bracket_black/train/good/281.png,local_erasure,5,spatial_bw_nn,9,0.9765432098765434
bracket_black,2,1,bracket_black/train/good/281.png,local_erasure,5,spatial_bw_nn_coord_shuffle,9,0.3024088846488676
bracket_brown,2,0,bracket_brown/train/good/039.png,cutpaste,0,global_nn,8,0.7203869047619047
bracket_brown,2,0,bracket_brown/train/good/039.png,cutpaste,0,spatial_bw_nn,8,0.6752480158730159
bracket_brown,2,0,bracket_brown/train/good/039.png,cutpaste,0,spatial_bw_nn_coord_shuffle,8,0.13225010507784896
bracket_brown,2,0,bracket_brown/train/good/039.png,cutpaste,1,global_nn,9,0.7606945851626703
bracket_brown,2,0,bracket_brown/train/good/039.png,cutpaste,1,spatial_bw_nn,9,0.7383792677910325
bracket_brown,2,0,bracket_brown/train/good/039.png,cutpaste,1,spatial_bw_nn_coord_shuffle,9,0.16813680530036637
bracket_brown,2,0,bracket_brown/train/good/039.png,cutpaste,2,global_nn,9,0.45814161472056214
bracket_brown,2,0,bracket_brown/train/good/039.png,cutpaste,2,spatial_bw_nn,9,0.4089324054903765
bracket_brown,2,0,bracket_brown/train/good/039.png,cutpaste,2,spatial_bw_nn_coord_shuffle,9,0.08970890379737984
bracket_brown,2,0,bracket_brown/train/good/039.png,local_erasure,3,global_nn,5,0.8526315789473684
bracket_brown,2,0,bracket_brown/train/good/039.png,local_erasure,3,spatial_bw_nn,5,0.832258064516129
bracket_brown,2,0,bracket_brown/train/good/039.png,local_erasure,3,spatial_bw_nn_coord_shuffle,5,0.2800595238095238
bracket_brown,2,0,bracket_brown/train/good/039.png,local_erasure,4,global_nn,9,0.9188983855650523
bracket_brown,2,0,bracket_brown/train/good/039.png,local_erasure,4,spatial_bw_nn,9,0.9021756021756022
bracket_brown,2,0,bracket_brown/train/good/039.png,local_erasure,4,spatial_bw_nn_coord_shuffle,9,0.35671089889356145
bracket_brown,2,0,bracket_brown/train/good/039.png,local_erasure,5,global_nn,14,0.9910714285714284
bracket_brown,2,0,bracket_brown/train/good/039.png,local_erasure,5,spatial_bw_nn,14,0.9910714285714284
bracket_brown,2,0,bracket_brown/train/good/039.png,local_erasure,5,spatial_bw_nn_coord_shuffle,14,0.532915783476929
bracket_brown,2,1,bracket_brown/train/good/160.png,cutpaste,0,global_nn,8,0.6407343659273439
bracket_brown,2,1,bracket_brown/train/good/160.png,cutpaste,0,spatial_bw_nn,8,0.6200325355985733
bracket_brown,2,1,bracket_brown/train/good/160.png,cutpaste,0,spatial_bw_nn_coord_shuffle,8,0.27339465949994995
bracket_brown,2,1,bracket_brown/train/good/160.png,cutpaste,1,global_nn,8,0.9089285714285714
bracket_brown,2,1,bracket_brown/train/good/160.png,cutpaste,1,spatial_bw_nn,8,0.8930555555555555
bracket_brown,2,1,bracket_brown/train/good/160.png,cutpaste,1,spatial_bw_nn_coord_shuffle,8,0.30059653887778887
bracket_brown,2,1,bracket_brown/train/good/160.png,cutpaste,2,global_nn,9,0.42749256915923584
bracket_brown,2,1,bracket_brown/train/good/160.png,cutpaste,2,spatial_bw_nn,9,0.39643874643874644
bracket_brown,2,1,bracket_brown/train/good/160.png,cutpaste,2,spatial_bw_nn_coord_shuffle,9,0.1312635215069069
bracket_brown,2,1,bracket_brown/train/good/160.png,local_erasure,3,global_nn,12,0.9462454212454212
bracket_brown,2,1,bracket_brown/train/good/160.png,local_erasure,3,spatial_bw_nn,12,0.9232507688390041
bracket_brown,2,1,bracket_brown/train/good/160.png,local_erasure,3,spatial_bw_nn_coord_shuffle,12,0.8921223452473452
bracket_brown,2,1,bracket_brown/train/good/160.png,local_erasure,4,global_nn,16,0.907657967032967
