category,shot,held_out_h,held_out_rel,query_kind,query_episode,bank_ref_index,bank_ref_rel,dy_align,dx_align,dy_32,dx_32,mean_cos,raw_mean_cos,overlap_cells,trimmed_cells,trim_fraction
bracket_black,2,0,bracket_black/train/good/271.png,synthetic,0,1,bracket_black/train/good/281.png,0,0,0,0,0.9471166133880615,0.8992372751235962,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,synthetic,1,1,bracket_black/train/good/281.png,0,0,0,0,0.9479202032089233,0.8985742926597595,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,synthetic,2,1,bracket_black/train/good/281.png,0,0,0,0,0.9478914737701416,0.9014226794242859,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,synthetic,3,1,bracket_black/train/good/281.png,0,0,0,0,0.9489322304725647,0.9021427631378174,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,synthetic,4,1,bracket_black/train/good/281.png,0,0,0,0,0.9534085988998413,0.9050173163414001,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,synthetic,5,1,bracket_black/train/good/281.png,0,0,0,0,0.9442150592803955,0.8956146240234375,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,clean_normal,-1,1,bracket_black/train/good/281.png,0,0,0,0,0.9515141248703003,0.9054030179977417,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,nuisance,0,1,bracket_black/train/good/281.png,0,0,0,0,0.9531011581420898,0.9069086313247681,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,nuisance,1,1,bracket_black/train/good/281.png,0,0,0,0,0.9505902528762817,0.9044833779335022,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,nuisance,2,1,bracket_black/train/good/281.png,0,0,0,0,0.9416794180870056,0.8969839811325073,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,nuisance,3,1,bracket_black/train/good/281.png,0,0,0,0,0.9492940306663513,0.902776837348938,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,nuisance,4,1,bracket_black/train/good/281.png,0,0,0,0,0.9509531855583191,0.9049134254455566,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,nuisance,5,1,bracket_black/train/good/281.png,0,0,0,0,0.9493952989578247,0.9039114117622375,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,nuisance,6,1,bracket_black/train/good/281.png,0,0,0,0,0.9520476460456848,0.9057676196098328,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,nuisance,7,1,bracket_black/train/good/281.png,0,0,0,0,0.9515141248703003,0.9054030179977417,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,nuisance,8,1,bracket_black/train/good/281.png,0,0,0,0,0.950881838798523,0.9047528505325317,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,nuisance,9,1,bracket_black/train/good/281.png,0,0,0,0,0.9503556489944458,0.9044383764266968,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,nuisance,10,1,bracket_black/train/good/281.png,0,0,0,0,0.9515141248703003,0.9054030179977417,256,205,0.2
bracket_black,2,0,bracket_black/train/good/271.png,nuisance,11,1,bracket_black/train/good/281.png,0,0,0,0,0.9355949759483337,0.8917887210845947,256,205,0.2
