candidate,seed,shot,category,samples,pixel_stride,visual_pixel_auroc,visual_pixel_ap,visual_aupro,fused_pixel_auroc,fused_pixel_ap,fused_aupro,delta_pixel_auroc,delta_pixel_ap,delta_aupro,oracle_pixel_ap_gain,routing_efficiency_ap,rescue_pixel_count,rescue_true_pixel_count,rescue_coverage,anomaly_coverage,rescue_precision,harm_rate,anomaly_prevalence,rescue_precision_lift,image_rescue_enabled,test_labels_used_by_router
region_wide_visual,1,4,metal_plate,97,8,0.9764563045109806,0.8788824826609368,0.9350255472745166,0.9764562117938963,0.878882420073352,0.9350255472745166,-9.271708434344106e-08,-6.258758478150384e-08,0.0,0.26599287384829406,-2.3529797575404195e-07,117,0,0.00038462549968440983,0.0,0.0,1.0,0.11801428045444982,0.0,False,False
region_permissive,1,4,tubes,101,8,0.9768916064197023,0.5986245630595957,0.893028330484383,0.9768916094982155,0.5986245343446959,0.893028330484383,3.0785132221211597e-09,-2.8714899791282278e-08,0.0,0.5468875634802328,-5.250603909979053e-08,0,0,0.0,0.0,0.0,0.0,0.00816137098403718,0.0,False,False
region_balanced,1,4,tubes,101,8,0.9768916064197023,0.5986245630595957,0.893028330484383,0.9768916094982155,0.5986245343446959,0.893028330484383,3.0785132221211597e-09,-2.8714899791282278e-08,0.0,0.5468875634802328,-5.250603909979053e-08,0,0,0.0,0.0,0.0,0.0,0.00816137098403718,0.0,False,False
region_strict,1,4,tubes,101,8,0.9768916064197023,0.5986245630595957,0.893028330484383,0.9768916094982155,0.5986245343446959,0.893028330484383,3.0785132221211597e-09,-2.8714899791282278e-08,0.0,0.5468875634802328,-5.250603909979053e-08,0,0,0.0,0.0,0.0,0.0,0.00816137098403718,0.0,False,False
region_wide_visual,1,4,tubes,101,8,0.9768916064197023,0.5986245630595957,0.893028330484383,0.9768916094982155,0.5986245343446959,0.893028330484383,3.0785132221211597e-09,-2.8714899791282278e-08,0.0,0.5468875634802328,-5.250603909979053e-08,0,0,0.0,0.0,0.0,0.0,0.00816137098403718,0.0,False,False
region_permissive,2,1,bracket_black,79,8,0.8989459011162585,0.004763473485515043,0.5931786006523952,0.8989459011162585,0.004763471075318542,0.5931786006523952,0.0,-2.4101965007128356e-09,0.0,0.17573223140462255,-1.3715164722192429e-08,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,False,False
region_balanced,2,1,bracket_black,79,8,0.8989459011162585,0.004763473485515043,0.5931786006523952,0.8989459011162585,0.004763471075318542,0.5931786006523952,0.0,-2.4101965007128356e-09,0.0,0.17573223140462255,-1.3715164722192429e-08,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,False,False
region_strict,2,1,bracket_black,79,8,0.8989459011162585,0.004763473485515043,0.5931786006523952,0.8989459011162585,0.004763471075318542,0.5931786006523952,0.0,-2.4101965007128356e-09,0.0,0.17573223140462255,-1.3715164722192429e-08,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,False,False
region_wide_visual,2,1,bracket_black,79,8,0.8989459011162585,0.004763473485515043,0.5931786006523952,0.8989459011162585,0.004763471075318542,0.5931786006523952,0.0,-2.4101965007128356e-09,0.0,0.17573223140462255,-1.3715164722192429e-08,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,False,False
region_permissive,2,1,bracket_brown,77,8,0.9336326648966916,0.050163185466292504,0.8217356994190848,0.9336326591770823,0.05016316617323463,0.8217356994190848,-5.719609341703347e-09,-1.9293057873515096e-08,0.0,0.2957629756461871,-6.523148420238656e-08,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,False,False
