step,loss,seg,ap,cp,gate
0,1.410590,1.309279,0.002350,0.004204,0.100000
1,1.395768,1.294012,0.005217,0.004199,0.099873
2,1.330185,1.228427,0.007404,0.002674,0.099743
3,1.393681,1.291071,0.011900,0.003168,0.099596
4,1.495816,1.395102,0.003398,0.003029,0.099429
5,1.493271,1.391813,0.007481,0.003661,0.099229
6,1.487309,1.385241,0.010341,0.004997,0.099001
7,1.400054,1.298695,0.009216,0.003784,0.098759
8,1.468185,1.367322,0.008635,0.003161,0.098503
9,1.477664,1.377559,0.006390,0.002905,0.098246
10,1.443127,1.343957,0.000729,0.005158,0.097993
11,1.318863,1.218398,0.010271,0.003378,0.097735
12,1.423747,1.323013,0.011777,0.004560,0.097467
13,1.352773,1.252979,0.009297,0.003721,0.097190
14,1.579847,1.481525,0.002516,0.004554,0.096908
15,1.388246,1.290062,0.004639,0.003160,0.096625
16,1.356408,1.258609,0.003468,0.003866,0.096333
17,1.394615,1.296976,0.005117,0.002930,0.096029
18,1.315212,1.218450,0.002480,0.002780,0.095711
19,1.428779,1.327550,0.025445,0.003809,0.095378
20,1.453773,1.356600,0.007220,0.003496,0.095030
21,1.332396,1.236252,0.003136,0.004239,0.094669
22,1.474385,1.377841,0.005536,0.005769,0.094283
23,1.329105,1.233747,0.004034,0.003356,0.093881
24,1.417476,1.321908,0.007482,0.003073,0.093457
25,1.390076,1.295323,0.003463,0.005267,0.093006
26,1.495159,1.401485,0.001826,0.003871,0.092534
27,1.456260,1.361816,0.007525,0.004495,0.092040
28,1.394502,1.301315,0.001909,0.006442,0.091517
29,1.453151,1.360574,0.003647,0.004417,0.090964
30,1.453435,1.359978,0.009946,0.005431,0.090381
31,1.380769,1.289195,0.005247,0.003753,0.089774
32,1.335278,1.243915,0.007352,0.003800,0.089133
33,1.419295,1.329219,0.003187,0.004912,0.088456
34,1.490441,1.400164,0.007381,0.005255,0.087750
35,1.359940,1.271250,0.003744,0.004666,0.087008
36,1.311433,1.223811,0.004604,0.002308,0.086239
37,1.336440,1.249880,0.001954,0.003725,0.085424
38,1.453869,1.367349,0.004188,0.005547,0.084574
39,1.348819,1.262296,0.010126,0.004023,0.083694
40,1.337465,1.252537,0.007787,0.003032,0.082764
41,1.333121,1.249230,0.006942,0.003474,0.081807
42,1.521353,1.439151,0.002357,0.004653,0.080800
43,1.405758,1.324352,0.004505,0.003705,0.079764
44,1.351471,1.270322,0.008239,0.004054,0.078691
45,1.491884,1.412289,0.007101,0.003012,0.077572
46,1.333454,1.254681,0.008152,0.003571,0.076429
47,1.441990,1.364968,0.004789,0.004135,0.075237
48,1.368618,1.293099,0.004535,0.003044,0.074003
49,1.510798,1.433903,0.017922,0.002837,0.072743
50,1.487430,1.413983,0.006289,0.003618,0.071466
51,1.387798,1.315983,0.005381,0.003133,0.070112
52,1.390725,1.320148,0.004813,0.004247,0.068765
53,1.400615,1.331511,0.003499,0.005221,0.067361
54,1.427341,1.359779,0.003272,0.004865,0.065934
