step,loss,seg,ap,cp,gate
151,1.333509,1.322781,0.004743,0.002828,0.009214
152,1.321298,1.310314,0.006031,0.003183,0.009141
153,1.283771,1.273507,0.003313,0.002589,0.009084
154,1.302141,1.291972,0.002145,0.003582,0.009024
155,1.254257,1.243680,0.005533,0.002572,0.008956
156,1.262947,1.251848,0.007853,0.003133,0.008902
157,1.343792,1.333756,0.003515,0.002438,0.008845
158,1.222493,1.211950,0.004998,0.003747,0.008794
159,1.367830,1.356206,0.010533,0.003882,0.008741
160,1.437802,1.426995,0.008190,0.002402,0.008689
161,1.299160,1.289570,0.000717,0.004014,0.008644
162,1.455574,1.443070,0.016587,0.003011,0.008584
163,1.406071,1.393454,0.017388,0.002962,0.008548
164,1.290416,1.279760,0.007670,0.003032,0.008516
165,1.230438,1.220820,0.002362,0.003180,0.008510
166,1.265252,1.254569,0.007958,0.003358,0.008420
167,1.406406,1.396526,0.003335,0.004222,0.008369
168,1.291162,1.280988,0.005947,0.003438,0.008297
169,1.266971,1.257619,0.002669,0.002799,0.008258
170,1.370357,1.360418,0.005084,0.003611,0.008201
171,1.366251,1.355623,0.008390,0.003994,0.008151
172,1.247920,1.237665,0.007556,0.003208,0.008102
173,1.365370,1.355666,0.004183,0.004051,0.008057
174,1.220288,1.210058,0.009206,0.001885,0.008011
175,1.251253,1.242264,0.002790,0.002341,0.007963
176,1.264127,1.254783,0.004323,0.002828,0.007914
177,1.285148,1.276072,0.001906,0.004101,0.007874
178,1.283561,1.272301,0.012980,0.004187,0.007826
179,1.292388,1.279476,0.020808,0.004826,0.007784
180,1.378710,1.369411,0.003512,0.004303,0.007736
181,1.344180,1.335304,0.000676,0.005238,0.007693
182,1.302887,1.293259,0.006673,0.003188,0.007656
183,1.440950,1.431529,0.006099,0.002962,0.007609
184,1.367787,1.356237,0.016114,0.003814,0.007565
185,1.260550,1.251341,0.005649,0.002734,0.007532
186,1.362982,1.353402,0.006459,0.004002,0.007488
187,1.342054,1.333019,0.002755,0.005158,0.007452
188,1.347659,1.337903,0.007178,0.004560,0.007408
189,1.423448,1.412580,0.014663,0.002845,0.007367
190,1.397513,1.386847,0.013741,0.002944,0.007329
191,1.334476,1.325707,0.003336,0.004009,0.007301
192,1.329784,1.320644,0.005390,0.004030,0.007257
193,1.341100,1.332279,0.003886,0.004076,0.007229
194,1.368245,1.356977,0.016831,0.003603,0.007181
195,1.283703,1.274780,0.004267,0.004508,0.007168
196,1.304296,1.295988,0.002116,0.003680,0.007149
197,1.360866,1.349814,0.016625,0.002983,0.007131
198,1.327566,1.316430,0.017502,0.002146,0.007206
199,1.379920,1.371344,0.003487,0.003951,0.007088
200,1.290180,1.280801,0.008188,0.003600,0.007021
201,1.308503,1.299778,0.006561,0.002320,0.006948
202,1.373530,1.364111,0.008328,0.004200,0.006913
203,1.311230,1.302963,0.003227,0.003648,0.006892
204,1.289325,1.280421,0.007357,0.002929,0.006847
205,1.390615,1.381912,0.005045,0.004446,0.006804
206,1.405463,1.395563,0.012178,0.003502,0.006765
207,1.361856,1.352044,0.011892,0.003511,0.006732
208,1.337826,1.329764,0.003179,0.003637,0.006700
209,1.338627,1.328540,0.014103,0.002983,0.006670
210,1.347841,1.339322,0.004578,0.004803,0.006642
211,1.301160,1.292131,0.009196,0.002917,0.006606
212,1.402403,1.394230,0.003346,0.004652,0.006574
213,1.409741,1.401843,0.003274,0.003485,0.006546
214,1.338199,1.330186,0.003183,0.004230,0.006531
215,1.379726,1.370931,0.007410,0.003966,0.006519
216,1.328677,1.320439,0.003959,0.004769,0.006493
217,1.290953,1.282710,0.005481,0.003515,0.006444
218,1.222352,1.213079,0.011068,0.003235,0.006413
219,1.309049,1.301792,0.001005,0.003389,0.006378
220,1.386750,1.377689,0.008160,0.005387,0.006352
221,1.359080,1.350792,0.005284,0.004566,0.006318
222,1.417674,1.407181,0.017439,0.003564,0.006293
223,1.400465,1.392435,0.004840,0.003946,0.006273
224,1.333760,1.325293,0.007832,0.003281,0.006244
225,1.328854,1.319966,0.008704,0.004644,0.006218
226,1.344482,1.335812,0.007766,0.004619,0.006193
227,1.300374,1.292737,0.003960,0.003414,0.006162
228,1.319298,1.311606,0.004144,0.003649,0.006133
229,1.279441,1.271843,0.003989,0.003462,0.006108
230,1.356164,1.348775,0.002341,0.004186,0.006084
231,1.364130,1.354994,0.010342,0.005039,0.006060
232,1.315864,1.307850,0.003792,0.006115,0.006032
233,1.300760,1.293041,0.005331,0.003213,0.006010
234,1.336326,1.328875,0.002630,0.004717,0.005982
235,1.313977,1.305711,0.007937,0.003565,0.005966
236,1.255363,1.247950,0.004770,0.002603,0.005938
237,1.401934,1.393736,0.005258,0.006165,0.005913
238,1.333687,1.326239,0.004299,0.003488,0.005890
239,1.294616,1.286823,0.006414,0.003208,0.005869
240,1.187766,1.174437,0.032684,0.004722,0.005847
241,1.213825,1.201596,0.028043,0.003966,0.005826
242,1.158779,1.142969,0.044949,0.005090,0.005802
243,1.359817,1.347820,0.025109,0.005921,0.005792
244,1.138417,1.123275,0.041788,0.004905,0.005804
245,1.210895,1.196216,0.041368,0.002974,0.005810
246,1.218663,1.204435,0.038229,0.004188,0.005745
247,1.347272,1.329353,0.057939,0.003100,0.005711
248,1.280414,1.266298,0.037670,0.004511,0.005679
249,1.134727,1.121547,0.034247,0.003383,0.005655
250,1.154645,1.138505,0.048629,0.003906,0.005633
251,1.226389,1.210935,0.044563,0.004671,0.005607
252,1.131751,1.121759,0.018408,0.003625,0.005585
253,1.286789,1.272579,0.038436,0.004807,0.005561
254,1.369205,1.360772,0.009277,0.005185,0.005541
255,1.166205,1.152387,0.037517,0.003966,0.005522
256,1.369753,1.355880,0.037621,0.004263,0.005497
257,1.314578,1.303052,0.024730,0.005511,0.005477
258,1.219473,1.201395,0.058302,0.004801,0.005458
259,1.275001,1.262114,0.033471,0.003755,0.005442
260,1.147327,1.135249,0.029993,0.003153,0.005448
261,1.221462,1.209627,0.028040,0.003700,0.005487
262,1.276350,1.260507,0.048172,0.004046,0.005400
263,1.274234,1.262216,0.028474,0.004695,0.005385
264,1.221637,1.207267,0.040325,0.004814,0.005342
265,1.213208,1.199252,0.039012,0.004072,0.005339
266,1.311367,1.297240,0.039695,0.004290,0.005330
267,1.292394,1.275680,0.052407,0.004678,0.005297
268,1.282175,1.269428,0.032934,0.004399,0.005280
269,1.285204,1.271288,0.037580,0.005795,0.005241
270,1.186824,1.172261,0.042757,0.003893,0.005233
271,1.199566,1.184436,0.046345,0.003258,0.005210
272,1.423501,1.406752,0.054737,0.003086,0.005185
273,1.398292,1.385928,0.030241,0.005734,0.005169
274,1.207671,1.195492,0.030397,0.004756,0.005149
