category,dino_L6|dino_L9,dino_L6|dino_L11,dino_L6|clip_L6,dino_L6|clip_L12,dino_L6|clip_L18,dino_L6|clip_L24,dino_L6|concat_D6C6,dino_L6|concat_D9C12,dino_L6|concat_D11C18,dino_L6|concat_D11C24,dino_L6|concat_FULL,dino_L9|dino_L11,dino_L9|clip_L6,dino_L9|clip_L12,dino_L9|clip_L18,dino_L9|clip_L24,dino_L9|concat_D6C6,dino_L9|concat_D9C12,dino_L9|concat_D11C18,dino_L9|concat_D11C24,dino_L9|concat_FULL,dino_L11|clip_L6,dino_L11|clip_L12,dino_L11|clip_L18,dino_L11|clip_L24,dino_L11|concat_D6C6,dino_L11|concat_D9C12,dino_L11|concat_D11C18,dino_L11|concat_D11C24,dino_L11|concat_FULL,clip_L6|clip_L12,clip_L6|clip_L18,clip_L6|clip_L24,clip_L6|concat_D6C6,clip_L6|concat_D9C12,clip_L6|concat_D11C18,clip_L6|concat_D11C24,clip_L6|concat_FULL,clip_L12|clip_L18,clip_L12|clip_L24,clip_L12|concat_D6C6,clip_L12|concat_D9C12,clip_L12|concat_D11C18,clip_L12|concat_D11C24,clip_L12|concat_FULL,clip_L18|clip_L24,clip_L18|concat_D6C6,clip_L18|concat_D9C12,clip_L18|concat_D11C18,clip_L18|concat_D11C24,clip_L18|concat_FULL,clip_L24|concat_D6C6,clip_L24|concat_D9C12,clip_L24|concat_D11C18,clip_L24|concat_D11C24,clip_L24|concat_FULL,concat_D6C6|concat_D9C12,concat_D6C6|concat_D11C18,concat_D6C6|concat_D11C24,concat_D6C6|concat_FULL,concat_D9C12|concat_D11C18,concat_D9C12|concat_D11C24,concat_D9C12|concat_FULL,concat_D11C18|concat_D11C24,concat_D11C18|concat_FULL,concat_D11C24|concat_FULL
bracket_black,0.8883,0.6793,0.6825,0.7543,0.7153,0.6321,0.9443,0.8976,0.7325,0.7101,0.9445,0.815,0.6217,0.7229,0.7156,0.6676,0.8421,0.977,0.8514,0.8398,0.9293,0.4534,0.5542,0.5644,0.5487,0.6359,0.792,0.9699,0.9494,0.7507,0.8858,0.7755,0.6283,0.7906,0.6732,0.5327,0.5186,0.7141,0.9412,0.8061,0.8416,0.7783,0.6473,0.6486,0.8108,0.9199,0.7916,0.7664,0.6654,0.69,0.7962,0.692,0.7101,0.6455,0.704,0.7331,0.8889,0.7167,0.697,0.9479,0.8597,0.8442,0.966,0.982,0.8325,0.8224
bracket_brown,0.8935,0.6586,0.5453,0.6322,0.5699,0.4829,0.917,0.8991,0.7116,0.6802,0.9313,0.7869,0.5096,0.6055,0.5788,0.5305,0.8193,0.9712,0.8237,0.8029,0.9176,0.3465,0.411,0.4154,0.4337,0.5901,0.7592,0.9648,0.9372,0.726,0.8568,0.7035,0.5257,0.6909,0.5623,0.4274,0.4213,0.5988,0.8979,0.7102,0.7461,0.66,0.5111,0.5184,0.6979,0.877,0.673,0.6262,0.5249,0.5629,0.6683,0.5687,0.5687,0.5312,0.6118,0.6066,0.8759,0.6765,0.6534,0.9314,0.8326,0.809,0.9627,0.9762,0.8169,0.8044
bracket_white,0.8937,0.5991,0.6245,0.6708,0.595,0.4349,0.9427,0.9068,0.6772,0.6333,0.945,0.7423,0.5174,0.6203,0.592,0.4832,0.8284,0.9693,0.7941,0.767,0.919,0.3134,0.4723,0.4571,0.3803,0.5505,0.7323,0.9569,0.9186,0.6774,0.8309,0.6735,0.4272,0.7456,0.5806,0.4157,0.3859,0.6478,0.8954,0.6505,0.7778,0.7024,0.5887,0.5729,0.743,0.8488,0.69,0.6617,0.589,0.6182,0.7025,0.5148,0.5339,0.5069,0.6072,0.5716,0.8875,0.6598,0.6229,0.9472,0.8233,0.7902,0.9664,0.9688,0.7895,0.767
connector,0.8996,0.7518,0.5254,0.6447,0.6598,0.5972,0.9156,0.9026,0.7905,0.7602,0.9321,0.8712,0.4526,0.5952,0.6591,0.6381,0.8231,0.9653,0.8858,0.8643,0.9179,0.3586,0.4915,0.5631,0.563,0.6922,0.8443,0.953,0.9283,0.8047,0.8396,0.631,0.3945,0.6409,0.4979,0.4049,0.3705,0.5287,0.8708,0.6444,0.7479,0.6618,0.5715,0.55,0.6863,0.8671,0.7395,0.7146,0.6641,0.6787,0.7402,0.6531,0.6801,0.6633,0.725,0.7022,0.8884,0.7719,0.7385,0.9367,0.9097,0.8797,0.9694,0.9762,0.8922,0.8724
metal_plate,0.9342,0.743,0.8139,0.8426,0.8225,0.7589,0.9591,0.9496,0.8373,0.8533,0.9691,0.8624,0.784,0.7955,0.7839,0.723,0.8932,0.9803,0.9177,0.9189,0.9459,0.6376,0.6147,0.5982,0.5386,0.7052,0.8255,0.9536,0.9086,0.7791,0.9449,0.8952,0.803,0.9071,0.8296,0.7426,0.7708,0.8535,0.9635,0.8637,0.917,0.8581,0.7491,0.7837,0.8844,0.9434,0.8883,0.8422,0.7465,0.8043,0.8768,0.8175,0.7735,0.6871,0.7806,0.8189,0.9362,0.8221,0.8477,0.9693,0.9185,0.9216,0.9793,0.976,0.8939,0.9151
tubes,0.9395,0.7918,0.4738,0.6748,0.666,0.5191,0.9038,0.9348,0.8252,0.7867,0.9452,0.875,0.46,0.6666,0.6701,0.5279,0.858,0.9708,0.8877,0.8544,0.9302,0.4998,0.6392,0.6035,0.4257,0.7333,0.8497,0.9562,0.9318,0.8153,0.7774,0.5832,0.2988,0.6087,0.5168,0.527,0.4873,0.5428,0.8581,0.5552,0.7598,0.7255,0.6985,0.6684,0.7394,0.8096,0.7221,0.7154,0.6964,0.7066,0.7362,0.557,0.5598,0.5348,0.6034,0.5884,0.9234,0.8116,0.7657,0.9541,0.9083,0.8656,0.9773,0.9764,0.8956,0.8623
