category,shot,dino_L6,dino_L9,dino_L11,clip_L6,clip_L12,clip_L18,clip_L24,concat_D6C6,concat_D9C12,concat_D11C18,concat_D11C24,concat_FULL
bracket_black,2,0.015575,0.022724,0.041849,0.023772,0.010784,0.006502,0.006071,0.015054,0.017884,0.025271,0.014642,0.01285
bracket_brown,2,0.032275,0.048206,0.037684,0.028035,0.040672,0.042166,0.034526,0.030336,0.04399,0.034905,0.03337,0.038241
bracket_white,2,0.051061,0.050471,0.089353,0.018763,0.0135,0.022697,0.121741,0.050283,0.04451,0.080046,0.105989,0.08444
connector,2,0.130153,0.18965,0.268254,0.106816,0.131543,0.182545,0.12892,0.172645,0.210347,0.305248,0.299112,0.180861
metal_plate,2,0.846784,0.793252,0.756039,0.950613,0.948569,0.968449,0.932398,0.928048,0.861685,0.837655,0.87839,0.914974
tubes,2,0.181418,0.733058,0.700483,0.319601,0.301655,0.585359,0.471384,0.151574,0.716088,0.705575,0.730736,0.517518
