category,dino_L6|dino_L9,dino_L6|dino_L11,dino_L6|clip_L6,dino_L6|clip_L12,dino_L6|clip_L18,dino_L6|clip_L24,dino_L6|concat_D6C6,dino_L6|concat_D9C12,dino_L6|concat_D11C18,dino_L6|concat_D11C24,dino_L6|concat_FULL,dino_L9|dino_L11,dino_L9|clip_L6,dino_L9|clip_L12,dino_L9|clip_L18,dino_L9|clip_L24,dino_L9|concat_D6C6,dino_L9|concat_D9C12,dino_L9|concat_D11C18,dino_L9|concat_D11C24,dino_L9|concat_FULL,dino_L11|clip_L6,dino_L11|clip_L12,dino_L11|clip_L18,dino_L11|clip_L24,dino_L11|concat_D6C6,dino_L11|concat_D9C12,dino_L11|concat_D11C18,dino_L11|concat_D11C24,dino_L11|concat_FULL,clip_L6|clip_L12,clip_L6|clip_L18,clip_L6|clip_L24,clip_L6|concat_D6C6,clip_L6|concat_D9C12,clip_L6|concat_D11C18,clip_L6|concat_D11C24,clip_L6|concat_FULL,clip_L12|clip_L18,clip_L12|clip_L24,clip_L12|concat_D6C6,clip_L12|concat_D9C12,clip_L12|concat_D11C18,clip_L12|concat_D11C24,clip_L12|concat_FULL,clip_L18|clip_L24,clip_L18|concat_D6C6,clip_L18|concat_D9C12,clip_L18|concat_D11C18,clip_L18|concat_D11C24,clip_L18|concat_FULL,clip_L24|concat_D6C6,clip_L24|concat_D9C12,clip_L24|concat_D11C18,clip_L24|concat_D11C24,clip_L24|concat_FULL,concat_D6C6|concat_D9C12,concat_D6C6|concat_D11C18,concat_D6C6|concat_D11C24,concat_D6C6|concat_FULL,concat_D9C12|concat_D11C18,concat_D9C12|concat_D11C24,concat_D9C12|concat_FULL,concat_D11C18|concat_D11C24,concat_D11C18|concat_FULL,concat_D11C24|concat_FULL
bracket_black,0.8856,0.6973,0.6912,0.7507,0.7128,0.6414,0.9462,0.8931,0.7439,0.7206,0.9413,0.8357,0.6363,0.7175,0.7117,0.6759,0.8448,0.9764,0.8664,0.8533,0.9271,0.4662,0.5524,0.5664,0.57,0.6538,0.8134,0.973,0.9552,0.765,0.8973,0.7933,0.6621,0.8014,0.6826,0.5405,0.5318,0.726,0.939,0.8095,0.8405,0.7686,0.6387,0.6396,0.8047,0.9232,0.7937,0.7586,0.6592,0.6819,0.7915,0.7064,0.7159,0.6572,0.7089,0.7407,0.8879,0.7274,0.709,0.9482,0.8742,0.8584,0.9648,0.9843,0.8404,0.8306
bracket_brown,0.8667,0.6174,0.4997,0.5783,0.5248,0.4577,0.9046,0.8711,0.6643,0.6366,0.913,0.7702,0.4728,0.5571,0.5429,0.5188,0.7899,0.9652,0.8023,0.7844,0.9002,0.2939,0.3552,0.3815,0.4206,0.5446,0.7366,0.9621,0.9333,0.6952,0.8608,0.7153,0.5422,0.6731,0.5229,0.3741,0.3748,0.565,0.8974,0.7148,0.7164,0.6092,0.4527,0.4664,0.6527,0.8795,0.6482,0.5888,0.4882,0.5298,0.6339,0.5586,0.5574,0.519,0.5994,0.5951,0.8489,0.6287,0.6111,0.9154,0.8127,0.792,0.9548,0.9758,0.7907,0.782
bracket_white,0.897,0.6653,0.713,0.7096,0.6264,0.4697,0.949,0.9106,0.7305,0.6874,0.9487,0.7839,0.6282,0.6614,0.611,0.4943,0.8379,0.9695,0.8228,0.7939,0.9173,0.4622,0.5491,0.5046,0.4181,0.6332,0.7773,0.9599,0.9249,0.7296,0.8819,0.7618,0.5595,0.827,0.6869,0.557,0.5364,0.7442,0.9147,0.713,0.8129,0.7366,0.6548,0.6441,0.777,0.8681,0.7202,0.6769,0.6262,0.6528,0.7203,0.5499,0.5487,0.5381,0.6263,0.5911,0.8939,0.7264,0.6886,0.952,0.8557,0.8221,0.9657,0.9722,0.8291,0.806
connector,0.9037,0.7567,0.5663,0.6487,0.6358,0.5854,0.9272,0.9058,0.7903,0.7579,0.9358,0.8751,0.5076,0.612,0.6413,0.6229,0.8414,0.9686,0.8847,0.858,0.9227,0.4022,0.5075,0.5562,0.5657,0.7129,0.8512,0.9539,0.9265,0.8107,0.8372,0.6631,0.4692,0.6722,0.5498,0.456,0.4295,0.5818,0.8825,0.6924,0.7522,0.6766,0.5942,0.5807,0.7031,0.8782,0.7263,0.6947,0.6563,0.6759,0.7222,0.6635,0.6688,0.6632,0.7247,0.6928,0.8976,0.7865,0.7571,0.9451,0.9098,0.8784,0.9698,0.9754,0.892,0.8718
metal_plate,0.9363,0.7769,0.8186,0.8493,0.8324,0.7756,0.967,0.9491,0.8475,0.8547,0.9729,0.8852,0.7975,0.8128,0.8076,0.7575,0.9068,0.9857,0.9286,0.9272,0.9549,0.6878,0.6679,0.6689,0.6318,0.7535,0.8572,0.9694,0.9456,0.8186,0.9338,0.8878,0.8071,0.9042,0.8332,0.7625,0.78,0.8534,0.9645,0.8723,0.9125,0.8642,0.7689,0.7888,0.8845,0.9469,0.8857,0.8526,0.7768,0.8115,0.8783,0.8219,0.7942,0.7362,0.7973,0.8277,0.9393,0.8383,0.851,0.9719,0.9265,0.9244,0.9796,0.9856,0.9027,0.9121
tubes,0.9342,0.7652,0.4961,0.6465,0.6218,0.4965,0.9144,0.932,0.7983,0.7589,0.9488,0.8579,0.4775,0.643,0.6306,0.5036,0.8583,0.9732,0.8706,0.8347,0.9311,0.5005,0.6084,0.5591,0.3956,0.7123,0.836,0.9533,0.9243,0.7976,0.7536,0.5586,0.2964,0.6183,0.5287,0.5317,0.4905,0.5528,0.8443,0.5538,0.7197,0.6994,0.6741,0.6484,0.7109,0.8123,0.6725,0.6718,0.6587,0.6772,0.6937,0.532,0.5332,0.5092,0.5842,0.5651,0.9149,0.785,0.7393,0.9491,0.8928,0.8477,0.9744,0.9743,0.8768,0.8431
