category,shot,dino_L6,dino_L9,dino_L11,clip_L6,clip_L12,clip_L18,clip_L24,concat_D6C6,concat_D9C12,concat_D11C18,concat_D11C24,concat_FULL
bracket_black,1,0.030933,0.015102,0.020698,0.017236,0.007922,0.004768,0.00477,0.019964,0.011672,0.012803,0.010484,0.01272
bracket_brown,1,0.032901,0.044379,0.037136,0.031592,0.045588,0.048031,0.035887,0.031725,0.041102,0.03628,0.034446,0.036268
bracket_white,1,0.043222,0.033384,0.07165,0.009394,0.006797,0.029912,0.09448,0.030698,0.025975,0.040829,0.08475,0.041163
connector,1,0.095066,0.089107,0.087887,0.089946,0.120859,0.172452,0.112387,0.124091,0.104598,0.096941,0.126112,0.117931
metal_plate,1,0.771576,0.783526,0.763262,0.944961,0.934631,0.961338,0.911842,0.900172,0.856988,0.841027,0.871321,0.901848
tubes,1,0.175418,0.707429,0.695978,0.233908,0.226064,0.542847,0.45402,0.135664,0.676777,0.700988,0.728161,0.504501
