seed,shot,sample_count,image_auroc,image_ap,image_f1_max,pixel_auroc,pixel_ap,aupro,source
0,1,2162,0.6994979372937293,0.7326586028947025,0.7658391809204822,0.9018006866835911,0.1041546336443059,0.6798716371205598,D:\STUDY\My_github\sci_project\outputs\unified\winclip_visa_seed_0_shot_1\summary.csv
0,2,2162,0.7154415841584157,0.7485023777281922,0.771443580591694,0.9071770001228967,0.10908710161037412,0.689576252443909,D:\STUDY\My_github\sci_project\outputs\unified\winclip_visa_seed_0_shot_2\summary.csv
0,4,2162,0.7267334983498349,0.7537643322852613,0.7778289391641559,0.9091407180351839,0.11215460607753314,0.6938439433281515,D:\STUDY\My_github\sci_project\outputs\unified\winclip_visa_seed_0_shot_4\summary.csv
1,1,2162,0.7016560781078108,0.7358883401137389,0.7622325960617901,0.8971270402604613,0.10275158243430538,0.665555986127555,D:\STUDY\My_github\sci_project\outputs\unified\winclip_visa_seed_1_shot_1\summary.csv
1,2,2162,0.7191242849284928,0.7485508401646016,0.7725286189399879,0.902351045074682,0.11116181248078745,0.6750203709749609,D:\STUDY\My_github\sci_project\outputs\unified\winclip_visa_seed_1_shot_2\summary.csv
1,4,2162,0.7245455720572057,0.7551695937355256,0.7711238587706597,0.9078868252738083,0.11224101103805757,0.6847066407435377,D:\STUDY\My_github\sci_project\outputs\unified\winclip_visa_seed_1_shot_4\summary.csv
2,1,2162,0.6977759625962596,0.7300383599538556,0.7654715585070696,0.9004525802480527,0.10302610113302406,0.6749179979070976,D:\STUDY\My_github\sci_project\outputs\unified\winclip_visa_seed_2_shot_1\summary.csv
2,2,2162,0.7124177117711771,0.7438316755136309,0.7675560815324114,0.9055056750850117,0.10589227801743366,0.6851207202920041,D:\STUDY\My_github\sci_project\outputs\unified\winclip_visa_seed_2_shot_2\summary.csv
2,4,2162,0.7260179042904289,0.7521672699638128,0.7728286039701096,0.909250239318149,0.11121214419928176,0.6930884752373467,D:\STUDY\My_github\sci_project\outputs\unified\winclip_visa_seed_2_shot_4\summary.csv
