category,sample_count,visual_weight_mean,visual_weight_std,pixel_weight_mean,pixel_weight_std,visual_count,text_count,weighted_count
candle,200,0.54214134,0.12081033,0.14470285,0.13881563,23,0,177
capsules,160,0.72786304,0.19053757,0.36230987,0.21448625,86,0,74
cashew,150,0.67725839,0.19181328,0.19157762,0.21662086,63,0,87
chewinggum,150,0.44886916,0.10218410,0.19441720,0.24802866,3,30,117
fryum,150,0.89837341,0.06083600,0.21895118,0.27900170,150,0,0
macaroni1,200,0.56623038,0.13477389,0.48174921,0.06806626,33,0,167
macaroni2,200,0.68741183,0.14487788,0.44648488,0.10169917,87,0,113
pcb1,200,0.86286499,0.12166017,0.23865818,0.22614291,180,0,20
pcb2,200,0.56841202,0.14238539,0.24391821,0.22455351,34,0,166
pcb3,201,0.53741916,0.11003205,0.23084972,0.22958029,18,0,183
pcb4,201,0.62025605,0.16790625,0.24748517,0.23820578,64,0,137
pipe_fryum,150,0.59275183,0.15100709,0.21753192,0.23743709,29,0,121
