"mode","image_auroc","pixel_auroc","pixel_ap","aupro"
"visual","0.5838833333333334","0.8372730313408367","0.05702329273546624","0.3295216812554556"
"text","0.7844074532453247","0.8602219242348051","0.1521829578999914","0.6658551194628831"
"fixed_w0","0.7844074532453247","0.8602219242348051","0.1521829578999914","0.6658551194628831"
"fixed_w025","0.8195865786578659","0.9328069843151261","0.1585393294256098","0.6422459274429478"
"fixed_w05","0.8202823294829485","0.9328732574271327","0.15893757123778496","0.6516646815761468"
"fixed_w075","0.8209449532453247","0.9327686708873405","0.1593018045581589","0.6500481733296489"
"fixed_w1","0.5838833333333334","0.8372730313408367","0.05702329273546624","0.3295216812554556"
"dynamic","0.8064659378437845","0.9330253968278672","0.15929116557521672","0.6778076518007597"
