candidate,seed,shot,category,samples,pixel_stride,visual_pixel_auroc,visual_pixel_ap,visual_aupro,fused_pixel_auroc,fused_pixel_ap,fused_aupro,delta_pixel_auroc,delta_pixel_ap,delta_aupro,rescue_pixel_count,rescue_true_pixel_count,rescue_coverage,anomaly_coverage,rescue_precision,harm_rate,anomaly_prevalence,rescue_precision_lift,total_regions,rescued_regions,reason_counts,fallback_rate,router_stats,test_labels_used_by_router
strict,0,1,bracket_black,79,8,0.9324282911875085,0.024394520289369392,0.8060653018774582,0.9324282996755464,0.024394516751696474,0.8060653018774582,8.488037939180515e-09,-3.537672918496604e-09,0.0,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,52,0,"{""visual_confident_anomaly"": 52}",1.0,"{""total_samples"": 79, ""samples_with_candidates"": 32, ""samples_with_rescue"": 0, ""total_regions_proposed"": 58, ""total_regions_rescued"": 0, ""total_regions_rejected"": 52, ""total_pixels_rescued"": 0, ""fallback_rate"": 1.0, ""rescue_rate"": 0.0}",False
balanced,0,1,bracket_black,79,8,0.9324282911875085,0.024394520289369392,0.8060653018774582,0.9324282996755464,0.024394516751696474,0.8060653018774582,8.488037939180515e-09,-3.537672918496604e-09,0.0,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,66,0,"{""visual_confident_anomaly"": 66}",1.0,"{""total_samples"": 79, ""samples_with_candidates"": 41, ""samples_with_rescue"": 0, ""total_regions_proposed"": 104, ""total_regions_rescued"": 0, ""total_regions_rejected"": 66, ""total_pixels_rescued"": 0, ""fallback_rate"": 1.0, ""rescue_rate"": 0.0}",False
permissive,0,1,bracket_black,79,8,0.9324282911875085,0.024394520289369392,0.8060653018774582,0.9324282996755464,0.024394516751696474,0.8060653018774582,8.488037939180515e-09,-3.537672918496604e-09,0.0,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,79,0,"{""visual_confident_anomaly"": 79}",1.0,"{""total_samples"": 79, ""samples_with_candidates"": 47, ""samples_with_rescue"": 0, ""total_regions_proposed"": 190, ""total_regions_rescued"": 0, ""total_regions_rejected"": 79, ""total_pixels_rescued"": 0, ""fallback_rate"": 1.0, ""rescue_rate"": 0.0}",False
strict,0,1,bracket_brown,77,8,0.9308236922739413,0.04568812907492223,0.7205988955344165,0.9308236884608684,0.045688040040806586,0.7205988955344165,-3.813072968483766e-09,-8.903411564259445e-08,0.0,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,20,0,"{""visual_confident_anomaly"": 20}",1.0,"{""total_samples"": 77, ""samples_with_candidates"": 18, ""samples_with_rescue"": 0, ""total_regions_proposed"": 26, ""total_regions_rescued"": 0, ""total_regions_rejected"": 20, ""total_pixels_rescued"": 0, ""fallback_rate"": 1.0, ""rescue_rate"": 0.0}",False
balanced,0,1,bracket_brown,77,8,0.9308236922739413,0.04568812907492223,0.7205988955344165,0.9308236884608684,0.045688040040806586,0.7205988955344165,-3.813072968483766e-09,-8.903411564259445e-08,0.0,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,29,0,"{""visual_confident_anomaly"": 29}",1.0,"{""total_samples"": 77, ""samples_with_candidates"": 25, ""samples_with_rescue"": 0, ""total_regions_proposed"": 49, ""total_regions_rescued"": 0, ""total_regions_rejected"": 29, ""total_pixels_rescued"": 0, ""fallback_rate"": 1.0, ""rescue_rate"": 0.0}",False
permissive,0,1,bracket_brown,77,8,0.9308236922739413,0.04568812907492223,0.7205988955344165,0.9308236884608684,0.045688040040806586,0.7205988955344165,-3.813072968483766e-09,-8.903411564259445e-08,0.0,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,36,0,"{""visual_confident_anomaly"": 36}",1.0,"{""total_samples"": 77, ""samples_with_candidates"": 27, ""samples_with_rescue"": 0, ""total_regions_proposed"": 107, ""total_regions_rescued"": 0, ""total_regions_rejected"": 36, ""total_pixels_rescued"": 0, ""fallback_rate"": 1.0, ""rescue_rate"": 0.0}",False
strict,0,1,bracket_white,60,8,0.9912126681180973,0.09433514780956423,0.966919326955204,0.9912126681180973,0.09433514780956422,0.966919326955204,0.0,-1.3877787807814457e-17,0.0,0,0,0.0,0.0,0.0,0.0,0.00022852891156462584,0.0,45,0,"{""visual_confident_anomaly"": 45}",1.0,"{""total_samples"": 60, ""samples_with_candidates"": 36, ""samples_with_rescue"": 0, ""total_regions_proposed"": 57, ""total_regions_rescued"": 0, ""total_regions_rejected"": 45, ""total_pixels_rescued"": 0, ""fallback_rate"": 1.0, ""rescue_rate"": 0.0}",False
balanced,0,1,bracket_white,60,8,0.9912126681180973,0.09433514780956423,0.966919326955204,0.9912126681180973,0.09433514780956422,0.966919326955204,0.0,-1.3877787807814457e-17,0.0,0,0,0.0,0.0,0.0,0.0,0.00022852891156462584,0.0,53,0,"{""visual_confident_anomaly"": 53}",1.0,"{""total_samples"": 60, ""samples_with_candidates"": 41, ""samples_with_rescue"": 0, ""total_regions_proposed"": 80, ""total_regions_rescued"": 0, ""total_regions_rejected"": 53, ""total_pixels_rescued"": 0, ""fallback_rate"": 1.0, ""rescue_rate"": 0.0}",False
permissive,0,1,bracket_white,60,8,0.9912126681180973,0.09433514780956423,0.966919326955204,0.9912126681180973,0.09433514780956422,0.966919326955204,0.0,-1.3877787807814457e-17,0.0,0,0,0.0,0.0,0.0,0.0,0.00022852891156462584,0.0,65,0,"{""visual_confident_anomaly"": 65}",1.0,"{""total_samples"": 60, ""samples_with_candidates"": 47, ""samples_with_rescue"": 0, ""total_regions_proposed"": 112, ""total_regions_rescued"": 0, ""total_regions_rejected"": 65, ""total_pixels_rescued"": 0, ""fallback_rate"": 1.0, ""rescue_rate"": 0.0}",False
strict,0,1,connector,44,8,0.9467822385194105,0.09832228961017495,0.7874020130710055,0.9467822385194103,0.09832220422608803,0.7874020130710055,-1.1102230246251565e-16,-8.538408691194377e-08,0.0,0,0,0.0,0.0,0.0,0.0,0.005536873840445269,0.0,10,0,"{""visual_confident_anomaly"": 10}",1.0,"{""total_samples"": 44, ""samples_with_candidates"": 9, ""samples_with_rescue"": 0, ""total_regions_proposed"": 10, ""total_regions_rescued"": 0, ""total_regions_rejected"": 10, ""total_pixels_rescued"": 0, ""fallback_rate"": 1.0, ""rescue_rate"": 0.0}",False
