candidate,seed,shot,category,samples,image_auroc,image_ap,pixel_auroc,pixel_ap,aupro,mean_visual_weight,mean_visual_pixel_weight,text_route_fraction
visual_only,0,1,bracket_black,79,0.42819148936170215,0.545265614816065,0.9296364054838684,0.018832042421808175,0.9748226969587317,1.0,1.0,0.0
safe_default,0,1,bracket_black,79,0.42819148936170215,0.545265614816065,0.9296364054838684,0.018832042421808175,0.4977320120403151,1.0,0.9993533492088318,0.0
pixel_only_w15,0,1,bracket_black,79,0.42819148936170215,0.545265614816065,0.9296364054838684,0.01883204242180818,0.0,1.0,0.9997235536575317,0.0
pixel_only_w25,0,1,bracket_black,79,0.42819148936170215,0.545265614816065,0.9296364054838684,0.018832042421808175,0.0,1.0,0.9995387196540833,0.0
pixel_only_w35,0,1,bracket_black,79,0.42819148936170215,0.545265614816065,0.9296364054838684,0.018832042421808175,0.4977320120403151,1.0,0.9993533492088318,0.0
pixel_strict_w25,0,1,bracket_black,79,0.42819148936170215,0.545265614816065,0.9296364054838684,0.01883204242180818,0.0,1.0,0.9997116923332214,0.0
pixel_wide_w25,0,1,bracket_black,79,0.42819148936170215,0.545265614816065,0.9296364054838684,0.018832042421808175,0.0,1.0,0.9993284940719604,0.0
visual_only,0,1,bracket_brown,77,0.44645550527903466,0.6391496255303947,0.9301991245806043,0.046255054501843244,0.0,1.0,1.0,0.0
safe_default,0,1,bracket_brown,77,0.44645550527903466,0.6391496255303947,0.9301991245806043,0.04625505450184325,0.0,1.0,0.9994077086448669,0.0
pixel_only_w15,0,1,bracket_brown,77,0.44645550527903466,0.6391496255303947,0.9301991245806043,0.04625505450184325,0.0,1.0,0.9997470378875732,0.0
pixel_only_w25,0,1,bracket_brown,77,0.44645550527903466,0.6391496255303947,0.9301991245806043,0.04625505450184325,0.0,1.0,0.9995774030685425,0.0
pixel_only_w35,0,1,bracket_brown,77,0.44645550527903466,0.6391496255303947,0.9301991245806043,0.04625505450184325,0.0,1.0,0.9994077086448669,0.0
pixel_strict_w25,0,1,bracket_brown,77,0.44645550527903466,0.6391496255303947,0.9301991245806043,0.046255054501843244,0.0,1.0,0.9995778203010559,0.0
pixel_wide_w25,0,1,bracket_brown,77,0.44645550527903466,0.6391496255303947,0.9301991245806043,0.04625505450184325,0.0,1.0,0.9995774030685425,0.0
visual_only,0,1,bracket_white,60,0.6144444444444445,0.5282193923941643,0.9890712682390035,0.08460092191951801,0.8383238013668005,1.0,1.0,0.0
safe_default,0,1,bracket_white,60,0.6144444444444445,0.5282193923941643,0.9890712682390035,0.08460092191951801,0.7290501922321743,1.0,0.972592294216156,0.0
pixel_only_w15,0,1,bracket_white,60,0.6144444444444445,0.5282193923941643,0.9890712682390035,0.08460092191951801,0.840478536372665,1.0,0.9882526993751526,0.0
pixel_only_w25,0,1,bracket_white,60,0.6144444444444445,0.5282193923941643,0.9890712682390035,0.08460092191951801,0.8413284566320444,1.0,0.9804225564002991,0.0
