dataset,seed,shot,category_count,sample_count,mean_visual_weight,mean_visual_weight_normal,mean_visual_weight_anomaly,mean_pixel_visual_weight,visual_route_count,text_route_count,weighted_route_count,visual_upper_clip_count_approx,category_advantage_weight_spearman,mean_visual_calibration_auroc_loss,mean_dynamic_minus_raw_visual_auroc
mvtec,0,1,15,1725,0.5477296935475391,0.5445757504543106,0.5510685599947918,0.4561062353293844,246,0,1479,0,-0.04642857142857142,-0.44201198496094746,-0.13823659484670373
mvtec,0,2,15,1725,0.628881714084874,0.6152854592284971,0.6403456341445749,0.6187241565236508,634,0,1091,0,0.08579091897564933,-0.39445348692135124,-0.08866307417300093
mvtec,0,4,15,1725,0.6059688547037649,0.5860252353100429,0.6178850567153324,0.5098663849280232,507,0,1218,0,0.5469171084697645,-0.4086100978084018,-0.09436278670095202
mvtec,1,1,15,1725,0.5283109407494033,0.5364739407603994,0.5279305498229132,0.4513666340578888,133,0,1592,0,0.19731013122901925,-0.42630424011940027,-0.16007258320400997
mvtec,1,2,15,1725,0.634273675179136,0.605854841281018,0.6495848995146783,0.5939407896769312,698,0,1027,0,0.3092047704747361,-0.4388892766782614,-0.12485951063793287
mvtec,1,4,15,1725,0.6325833029677902,0.6117526639147871,0.6458604438979804,0.5114976178427333,694,0,1031,0,0.04110814867583197,-0.4107774217780566,-0.09135289200709812
mvtec,2,1,15,1725,0.5244589062704557,0.5072375344314979,0.5305260640326058,0.4617744731561296,98,0,1627,0,0.15013410820738635,-0.4570359239758372,-0.19025193132486157
mvtec,2,2,15,1725,0.6171440369149913,0.6010392914956604,0.6280825539958704,0.5729688806134795,605,0,1120,0,0.08221629735166394,-0.4386037181781563,-0.1010333778157582
mvtec,2,4,15,1725,0.5922204993254897,0.5732250315007155,0.6026806683777876,0.5612390645429887,449,0,1276,0,0.010723864871956167,-0.402257225611365,-0.052515176590438806
visa,1,1,12,2162,0.655576670602667,0.6845923012284623,0.6348840721170732,0.296944051249656,967,0,1195,0,0.16783216783216784,-0.3001659240924092,-0.06191966446644662
visa,1,2,12,2162,0.7276891386007182,0.7661592908643092,0.6990638957348386,0.3227778122505978,1440,0,722,0,0.7762237762237763,-0.30264276677667773,-0.08557810781078105
visa,1,4,12,2162,0.759873102127017,0.7915334293543717,0.7378324735961392,0.3013190875810106,1641,1,520,0,0.4895104895104896,-0.29510855335533553,-0.10119389438943893
visa,2,1,12,2162,0.6034830802229684,0.6139558805182658,0.5961636555365784,0.23435776124633598,662,33,1467,0,0.5594405594405596,-0.29578696369636964,-0.09947737898789877
visa,2,2,12,2162,0.7287060355252408,0.7466858931049047,0.7159020028648609,0.2995523485959551,1472,0,690,0,0.15384615384615385,-0.3355894114411441,-0.09744554455445542
visa,2,4,12,2162,0.7279532504622083,0.7593808961782159,0.7042078439771412,0.2960185845659906,1457,1,704,0,0.3636363636363637,-0.3105928217821782,-0.10348105060506045
visa,0,2,12,2162,0.7231336856445265,0.7531086326905896,0.7027200468415248,0.3486645752864477,1414,0,748,0,0.18881118881118883,-0.29215987348734873,-0.08869660341034102
visa,0,4,12,2162,0.7627484604757655,0.7791514302118718,0.7526094179727985,0.2899024313258254,1695,0,467,0,0.08391608391608392,-0.31445266776677666,-0.10217134213421337
