dataset,seed,shot,variant,image_auroc,image_ap,image_f1_max,pixel_auroc,pixel_ap,aupro
visa,0,1,calibrated_visual_only,0.5838833333333334,0.6300202715571731,0.7494053482461767,0.8372730313408367,0.05702329273546624,0.3295216812554556
visa,0,1,calibrated_text_only,0.7844074532453247,0.8133885605389239,0.7895397261611335,0.8602219242348051,0.1521829578999914,0.6658551194628831
visa,0,1,fixed_visual_0.00,0.7844074532453247,0.8133885605389239,0.7895397261611335,0.8602219242348051,0.1521829578999914,0.6658551194628831
visa,0,1,fixed_visual_0.25,0.8195865786578659,0.8419275124371883,0.8105208760249236,0.9328069843151261,0.1585393294256098,0.6422459274429478
visa,0,1,fixed_visual_0.50,0.8202823294829485,0.8426365553786458,0.8103939166704964,0.9328732574271327,0.15893757123778496,0.6516646815761468
visa,0,1,fixed_visual_0.75,0.8209449532453247,0.8433187421893272,0.8109570391848385,0.9327686708873405,0.1593018045581589,0.6500481733296489
visa,0,1,fixed_visual_1.00,0.5838833333333334,0.6300202715571731,0.7494053482461767,0.8372730313408367,0.05702329273546624,0.3295216812554556
visa,0,1,single_temperature_0.20,0.8064659378437845,0.8273408746439647,0.8093215304625888,0.9330253968278672,0.15929116557521672,0.6778076518007597
visa,0,2,calibrated_visual_only,0.6048,0.6434101526371429,0.7565287557061778,0.8429789655743684,0.05725751619175246,0.3299692608854646
visa,0,2,calibrated_text_only,0.8197132700770077,0.8533829804773189,0.8044258397555551,0.9374493048951211,0.17766884076354786,0.7551939897545911
visa,0,2,fixed_visual_0.00,0.8197132700770077,0.8533829804773189,0.8044258397555551,0.9374493048951211,0.17766884076354786,0.7551939897545911
visa,0,2,fixed_visual_0.25,0.8198716034103412,0.8534963109026804,0.8044258397555551,0.9481073889020717,0.1806465608325761,0.7707886227618909
visa,0,2,fixed_visual_0.50,0.8201632700770077,0.8537326015107944,0.8044258397555551,0.9486054936180904,0.1809374276812222,0.7732271528794931
visa,0,2,fixed_visual_0.75,0.8206882700770078,0.8541573358582606,0.8048152638178631,0.9488431257718917,0.18132215146591815,0.7740627217264842
visa,0,2,fixed_visual_1.00,0.6048,0.6434101526371429,0.7565287557061778,0.8429789655743684,0.05725751619175246,0.3299692608854646
visa,0,2,single_temperature_0.20,0.8156417629262926,0.8453537674023202,0.8042950281481084,0.9487401050919408,0.18028736406017357,0.8154636914656682
visa,0,4,calibrated_visual_only,0.5979791666666666,0.6396231592196261,0.7540391291501612,0.8374287111651402,0.059485619784032745,0.32941570957312566
visa,0,4,calibrated_text_only,0.8197063256325633,0.8533829804773189,0.8044258397555551,0.9314356942018441,0.17407971727066618,0.7327800216119074
visa,0,4,fixed_visual_0.00,0.8197063256325633,0.8533829804773189,0.8044258397555551,0.9314356942018441,0.17407971727066618,0.7327800216119074
visa,0,4,fixed_visual_0.25,0.81987299229923,0.8534552373536882,0.8044258397555551,0.948042863611943,0.17782521846067353,0.7334063095757015
visa,0,4,fixed_visual_0.50,0.8200813256325633,0.8535875498412154,0.8044258397555551,0.9485612626684959,0.17834184635501923,0.731430429045314
visa,0,4,fixed_visual_0.75,0.8206646589658967,0.8539119742051228,0.8052287789707503,0.948778681366024,0.17885500721692146,0.7078330195432704
visa,0,4,fixed_visual_1.00,0.5979791666666666,0.6396231592196261,0.7540391291501612,0.8374287111651402,0.059485619784032745,0.32941570957312566
visa,0,4,single_temperature_0.20,0.8143667766776678,0.8489755524353534,0.8011932073602087,0.9486242310503773,0.1782187704814773,0.7959941071111546
visa,0,1,split_image_0.50_pixel_0.20,0.8202948707370737,0.842682036263139,0.8103939166704964,0.9330253968278672,0.15929116557521672,0.6778076518007597
visa,0,2,split_image_0.50_pixel_0.20,0.8226382700770077,0.8562135619833952,0.8070214898967673,0.9487401050919408,0.18028736406017357,0.8154636914656682
visa,0,4,split_image_0.50_pixel_0.20,0.8210646589658966,0.8541954390715888,0.8060137523377254,0.9486242310503773,0.1782187704814773,0.7959941071111546
visa,0,2,single_temperature_0.50,0.8226382700770077,0.8562135619833952,0.8070214898967673,0.9487833790275874,0.18163694772729613,0.803969856958796
visa,0,4,single_temperature_0.50,0.8210646589658966,0.8541954390715888,0.8060137523377254,0.9485623042005155,0.17876298505317925,0.7850252230421195
