dataset,seed,shot,raw_visual_image_auroc,calibrated_visual_image_auroc,raw_text_image_auroc,calibrated_text_image_auroc,dynamic_image_auroc,dynamic_pixel_auroc,dynamic_pixel_ap,dynamic_aupro,dynamic_minus_raw_visual_image_auroc,calibration_loss_visual_image_auroc,visual_calibration_high_saturation_fraction,mean_visual_weight,mean_pixel_visual_weight
mvtec,0,1,0.9569651655300577,0.5149531805691103,0.9389274000990522,0.8097667096105199,0.8187285706833539,0.9140236011868915,0.27120893824959885,0.8018392773547794,-0.13823659484670367,-0.4420119849609474,1.0,0.5459526675624442,0.45860894872750174
mvtec,0,2,0.9654142152814932,0.570960728360142,0.9389274000990522,0.876182642692508,0.8767511411084923,0.9427550451871275,0.3737643476772719,0.9143774257487413,-0.08866307417300093,-0.3944534869213511,1.0,0.6464142134997721,0.6182808093897517
mvtec,0,4,0.975639791144481,0.5670296933360792,0.9389274000990522,0.8810815010222192,0.881277004443529,0.9415830011572304,0.34577472105862234,0.9229971128198042,-0.09436278670095204,-0.4086100978084018,0.9994202898550725,0.6158876898120229,0.5147024108786088
mvtec,1,1,0.957334103975351,0.5310298638559509,0.9389274000990522,0.793843996228216,0.7972615207713412,0.9061418512726658,0.2261618041671838,0.8591126308760126,-0.16007258320400997,-0.42630424011940027,1.0,0.5334481328704714,0.44568937520191926
mvtec,1,2,0.9658374581338223,0.5269481814555608,0.9389274000990522,0.8409779474958893,0.8409779474958893,0.9346618585279968,0.31889851379082557,0.912962450463666,-0.1248595106379329,-0.4388892766782614,1.0,0.6366604247200713,0.5893951255346532
mvtec,1,4,0.9695158981770035,0.5587384763989467,0.9389274000990522,0.8777374603988939,0.8781630061699052,0.9416094027199382,0.34752766752396763,0.9225554978519928,-0.09135289200709815,-0.4107774217780566,1.0,0.6401623642622435,0.5246263202679772
mvtec,2,1,0.9570359239758371,0.5,0.9389274000990522,0.766683974465851,0.7667839926509755,0.9114992274855251,0.2424378187217367,0.8090974221497772,-0.1902519313248616,-0.4570359239758372,1.0,0.5263796683446244,0.45534057614997997
mvtec,2,2,0.9744788470240888,0.5358751288459325,0.9389274000990522,0.8730506847367088,0.8734454692083307,0.936271387079833,0.33919659958768494,0.8901478888820938,-0.1010333778157582,-0.4386037181781563,1.0,0.6326236961080328,0.5837673649740205
mvtec,2,4,0.9787034878465419,0.5764462622351769,0.9389274000990522,0.9194257091876302,0.9261883112561032,0.942124442669828,0.3513885536854904,0.9088673955661204,-0.052515176590438806,-0.40225722561136507,1.0,0.6054180534018123,0.5683101955384664
visa,0,2,0.9135848734873487,0.621425,0.8197063256325633,0.8197132700770077,0.8248882700770078,0.9493695279313424,0.1811242317361016,0.8172122980525618,-0.08869660341034102,-0.2921598734873488,0.9279166666666666,0.7154948040939076,0.33811701692006557
visa,0,4,0.9247943344334434,0.6103416666666667,0.8197063256325633,0.8197063256325633,0.82262299229923,0.9499902406660956,0.18067721798958392,0.7990408047479223,-0.10217134213421337,-0.31445266776677666,0.9165277777777777,0.7599198519575037,0.2859308280660991
visa,1,1,0.8829825907590759,0.5828166666666666,0.8197063256325633,0.8194754675467547,0.8210629262926292,0.9320407125352991,0.14739658754000454,0.6866860267364149,-0.06191966446644662,-0.3001659240924092,0.9240277777777778,0.653872733626354,0.29584260343085805
visa,1,2,0.9073177667766776,0.604675,0.8197063256325633,0.8197063256325633,0.8217396589658966,0.9493418102198316,0.19071514540274126,0.8331454043647494,-0.08557810781078105,-0.3026427667766777,0.9297222222222222,0.723398052475494,0.3197243957616462
visa,1,4,0.9240668866886689,0.6289583333333334,0.8197063256325633,0.8197063256325633,0.82287299229923,0.946535403744686,0.18846812372868083,0.8247376767501823,-0.10119389438943893,-0.29510855335533553,0.9143055555555556,0.7546849454511544,0.294066200801364
visa,2,1,0.8971369636963696,0.6013499999999999,0.8197063256325633,0.7939679180418042,0.7976595847084709,0.9255061071046432,0.15778716303742757,0.6755499464218687,-0.09947737898789877,-0.29578696369636964,0.8975,0.6032379351195202,0.23319948077582173
visa,2,2,0.9211060781078109,0.5855166666666667,0.8197063256325633,0.8192855335533554,0.8236605335533554,0.947583532723816,0.17668444215951526,0.7908411762652676,-0.09744554455445542,-0.3355894114411441,0.9033333333333333,0.7265788485796483,0.29266692376097186
visa,2,4,0.9285261551155116,0.6179333333333333,0.8197063256325633,0.8195784378437844,0.8250451045104511,0.9493992003501003,0.18983244359658133,0.8481465422655149,-0.10348105060506045,-0.3105928217821782,0.9095833333333333,0.7258676681292565,0.29138328636492633
