category,query_index,query_rel,bank_index,bank_rel,strict_leave_image_memory,method,auc_clean_vs_nuisance,mean_clean_score,mean_nuisance_score,nuisance_minus_clean,p95_clean_score,p95_nuisance_score
bracket_black,0,bracket_black/train/good/271.png,1,bracket_black/train/good/281.png,True,raw_hf_grad64,0.4361517932382111,0.007385430581007324,0.006430381908849337,-0.0009550486721579873,0.020765910856425762,0.019311350211501113
bracket_black,0,bracket_black/train/good/271.png,1,bracket_black/train/good/281.png,True,raw_only64,0.5181883894882655,8.863280527293682e-07,9.226583642885089e-07,3.633031155914066e-08,3.1979434425011277e-06,3.5008415579795837e-06
bracket_black,0,bracket_black/train/good/271.png,1,bracket_black/train/good/281.png,True,dino_full32,0.5468614183592764,0.22311925585087877,0.2386074147005147,0.015488158849635919,0.3523339331150055,0.38393330574035645
bracket_black,1,bracket_black/train/good/281.png,0,bracket_black/train/good/271.png,True,raw_hf_grad64,0.4595977566449925,0.006759731026813265,0.006147052600875813,-0.0006126784259374522,0.019842751789838076,0.01888918755576013
bracket_black,1,bracket_black/train/good/281.png,0,bracket_black/train/good/271.png,True,raw_only64,0.5201184975687283,8.299830369651318e-07,9.442262429123123e-07,1.1424320594718054e-07,3.2761599868535995e-06,3.8319849409163e-06
bracket_black,1,bracket_black/train/good/281.png,0,bracket_black/train/good/271.png,True,dino_full32,0.5279443076149012,0.22003442245255211,0.23007644315905543,0.010042020706503313,0.34805985540151596,0.36616116911172863
metal_plate,0,metal_plate/train/good/029.png,1,metal_plate/train/good/012.png,True,raw_hf_grad64,0.4440240282031177,0.008396644945794451,0.0070557915906674555,-0.0013408533551269959,0.027988038025796413,0.02510968558490273
metal_plate,0,metal_plate/train/good/029.png,1,metal_plate/train/good/012.png,True,raw_only64,0.5069018560710902,4.737958079203963e-06,4.279954009689391e-06,-4.5800406951457245e-07,2.447805309202522e-05,2.0152772776782513e-05
metal_plate,0,metal_plate/train/good/029.png,1,metal_plate/train/good/012.png,True,dino_full32,0.5717379085858436,0.21203753299759232,0.23665464024603194,0.02461710724843963,0.31057921797037125,0.3899639561772346
metal_plate,1,metal_plate/train/good/012.png,0,metal_plate/train/good/029.png,True,raw_hf_grad64,0.396803524726359,0.009448840530308866,0.007628783524554547,-0.0018200570057543197,0.02376460935920477,0.022487053740769623
metal_plate,1,metal_plate/train/good/012.png,0,metal_plate/train/good/029.png,True,raw_only64,0.5148272374998668,1.596956280991435e-06,1.9866575409347814e-06,3.897012599433464e-07,7.4944691732525826e-06,9.249837603420019e-06
metal_plate,1,metal_plate/train/good/012.png,0,metal_plate/train/good/029.png,True,dino_full32,0.5737839346529963,0.21553905954824693,0.24130860701202703,0.0257695474637801,0.3489355966448784,0.41986584663391113
