method,shot,seed_count,image_auroc_mean,image_auroc_std,image_ap_mean,image_ap_std,image_f1_max_mean,image_f1_max_std,pixel_auroc_mean,pixel_auroc_std,pixel_ap_mean,pixel_ap_std,aupro_mean,aupro_std
PatchCore,1,3,0.6802784515951595,0.011930548177029696,0.7327356926023867,0.010660559858732184,0.75909056370696,0.005465396316562416,0.8595830967677628,0.006609353762651295,0.22536779058039696,0.007823170832651914,0.5059601233457118,0.0028897804085425954
PatchCore,2,3,0.7290711954528786,0.004662633229366119,0.769087695454255,0.006394115416944434,0.7753267663380187,0.007321390940919175,0.9003782354541423,0.002142866943312344,0.25531005891339603,0.0035841683462052663,0.5795618948955984,0.00368168278976389
PatchCore,4,3,0.7867872433076641,0.011091924362440414,0.8113054231473805,0.0036655126223709366,0.8065052970954785,0.016765583082859074,0.9194990684890404,0.002675400348715576,0.2852990318301324,0.030882302107378416,0.6220544630152479,0.01318020985224618
WinCLIP+,1,3,0.6996433259992666,0.0019441392703503583,0.732861767654099,0.0029302771041921465,0.764514445163114,0.0019846695066484824,0.8997934357307017,0.0024055345233802016,0.10331077240387844,0.0007435835351918226,0.6734485403850707,0.007270071863135934
WinCLIP+,2,3,0.7156611936193619,0.0033586756489887033,0.7469616311354749,0.0027107293848649227,0.7705094270213645,0.002614577257829,0.9050112400941968,0.0024506754175030662,0.10871373070286508,0.0026545343736800488,0.6832391145702913,0.007458133238519068
WinCLIP+,4,3,0.7257656582324898,0.0011155610341007296,0.7537003986615333,0.0015021826249595105,0.7739271339683084,0.003484910599788559,0.9087592608757137,0.0007575332583191835,0.11186925377162416,0.0005707111325783078,0.6905463531030119,0.005071426164315456
AnomalyDINO,1,3,0.8939720205353868,0.00979813816023659,0.9018814950531655,0.009687173908921957,0.8571995048069819,0.006212343973582397,0.9797254469141813,0.001185352969163187,0.39072478605315647,0.014355368543818317,0.9220932013040971,0.006376470286667932
AnomalyDINO,2,3,0.9140029061239457,0.006903654525322704,0.9210942311038333,0.003895746872185396,0.8711109203101961,0.007271915564339978,0.9828124260627065,0.000436976601375465,0.4146493265785886,0.008682572627270029,0.931028025817979,0.003623480720173114
AnomalyDINO,4,3,0.9257957920792079,0.002392374717274529,0.9316605542809121,0.0029955250211412053,0.8816353143525832,0.004473551920547172,0.9845182056762216,0.000420973828815697,0.4297226973226687,0.0053510621216550525,0.9368830723278467,0.0013918956879296494
PromptAD,1,3,0.8092598872387239,0.014729416075975629,0.8366026765934159,0.008818009049532517,0.8000024096588403,0.003155774834541657,0.9609367470481666,0.0013023500093364076,0.28147778477925495,0.003455390427752943,0.8140394870905804,0.002802990217946608
PromptAD,2,3,0.8177880133846718,0.01509338526208199,0.8437099104559246,0.01249425521490035,0.8077974444545237,0.0015762989775164296,0.9666381496490234,0.0011102716972578037,0.2965868494394981,0.00030467371029557105,0.8261531083210276,0.006114390869052314
PromptAD,4,3,0.815544769893656,0.01950962711871009,0.8399467325798563,0.015538738355724736,0.8042410238735656,0.0050234592645252586,0.970701021842495,0.0014971384880105192,0.32252733049158205,0.007294611285305788,0.8373214073552971,0.00530499920305526
