method,shot,category,seed_count,image_auroc_mean,image_auroc_std,image_ap_mean,image_ap_std,image_f1_max_mean,image_f1_max_std,pixel_auroc_mean,pixel_auroc_std,pixel_ap_mean,pixel_ap_std,aupro_mean,aupro_std
AnomalyDINO,4,macaroni2,3,0.7526333333,0.0263651917,0.7193730708,0.0360341088,0.7333401583,0.0125289783,0.9864307032,0.0016997650,0.1101117602,0.0069431689,0.9191898145,0.0111908125
AnomalyDINO,4,pcb1,3,0.9208666667,0.0170277225,0.9245264051,0.0178191660,0.8504952056,0.0206485643,0.9930709266,0.0001076705,0.8264997306,0.0115473657,0.9318026665,0.0031897717
AnomalyDINO,4,pcb2,3,0.8783333333,0.0159387369,0.8922744392,0.0162285011,0.8010382981,0.0047528309,0.9645305199,0.0007405870,0.2703446229,0.0101350979,0.8746038884,0.0078362718
AnomalyDINO,4,pcb3,3,0.9056435644,0.0091620277,0.9149896386,0.0066992670,0.8268640870,0.0164172298,0.9745967320,0.0007294989,0.4111417713,0.0186533452,0.9033305478,0.0065128926
AnomalyDINO,4,pcb4,3,0.9794059406,0.0132647404,0.9668171399,0.0245695776,0.9551199910,0.0162646288,0.9742562479,0.0010152074,0.2627850752,0.0398315711,0.9007119873,0.0040579971
AnomalyDINO,4,pipe_fryum,3,0.9706666667,0.0025716402,0.9847244846,0.0011105255,0.9471396429,0.0196980644,0.9920323327,0.0005698391,0.4754041363,0.0249084490,0.9743673301,0.0060406505
PatchCore,1,candle,3,0.5896500000,0.2413291787,0.6257253887,0.2016443431,0.7096760288,0.0686977972,0.8326531600,0.0531313877,0.0775627660,0.0311327812,0.5894977224,0.1348155954
PatchCore,1,capsules,3,0.4846666667,0.0425979264,0.6313194520,0.0552447448,0.7692307692,0.0000000000,0.7832464484,0.0273704131,0.0374703920,0.0180980091,0.3133506696,0.0299384387
PatchCore,1,cashew,3,0.8291333333,0.0715567840,0.9153627150,0.0380928470,0.8461333403,0.0266210607,0.9755146046,0.0009276102,0.6191213449,0.0147282123,0.6631871561,0.0270365141
PatchCore,1,chewinggum,3,0.8477333333,0.0482067768,0.9325699748,0.0230816623,0.8490362276,0.0305631708,0.9613952397,0.0077093209,0.3587881842,0.0182842057,0.5936887651,0.0262041516
PatchCore,1,fryum,3,0.7450000000,0.0636235805,0.8705219161,0.0326338799,0.8196670972,0.0117418385,0.8378863087,0.0115425697,0.3380034629,0.0297844875,0.4768987633,0.0136130936
PatchCore,1,macaroni1,3,0.5925666667,0.0028219379,0.5979291616,0.0167033764,0.6812838998,0.0082714839,0.7742211915,0.0135169055,0.0065546889,0.0049582498,0.3980502982,0.0787127400
PatchCore,1,macaroni2,3,0.4492333333,0.0921621036,0.4675510590,0.0492223177,0.6707674820,0.0032409458,0.7209489297,0.0751441809,0.0011731378,0.0005606156,0.4527288421,0.0899729159
PatchCore,1,pcb1,3,0.7810000000,0.0169752761,0.7293550524,0.0179637349,0.8352573713,0.0008223130,0.9346253595,0.0022364827,0.1656529521,0.0357726813,0.6612889555,0.0112001020
PatchCore,1,pcb2,3,0.6673666667,0.0329120545,0.6964444116,0.0281120639,0.6937544337,0.0052481844,0.8404956825,0.0389497389,0.0338256231,0.0048889035,0.4243466391,0.0710306351
PatchCore,1,pcb3,3,0.6710396040,0.0585265564,0.7043271354,0.0468521712,0.6906787336,0.0230932243,0.8912507651,0.0205061192,0.2822175649,0.0336939644,0.4116738384,0.0884606560
PatchCore,1,pcb4,3,0.6948184818,0.1367401412,0.7169705740,0.1509879623,0.7095841714,0.0327518579,0.7760629973,0.0471585473,0.0946389921,0.0141914123,0.3136423067,0.0477063253
PatchCore,1,pipe_fryum,3,0.8111333333,0.0271619832,0.9047514706,0.0167956325,0.8340172095,0.0043500314,0.9866964742,0.0011884410,0.6894043780,0.0029989851,0.7731675237,0.0237269265
PatchCore,2,candle,3,0.7218666667,0.0292418080,0.7498535992,0.0174958235,0.7011919742,0.0226585817,0.8875147638,0.0203955220,0.1036517375,0.0164229857,0.7393351715,0.0265732800
PatchCore,2,capsules,3,0.5249444444,0.0098803021,0.6551325696,0.0120770671,0.7692307692,0.0000000000,0.8368489579,0.0210754935,0.0776605932,0.0301078846,0.3482074770,0.0357464102
PatchCore,2,cashew,3,0.8264666667,0.0114478528,0.9162672961,0.0067050121,0.8365978911,0.0154007534,0.9805318452,0.0051020393,0.6588929171,0.0252381688,0.7058124642,0.0607720746
PatchCore,2,chewinggum,3,0.9398000000,0.0106451867,0.9727072928,0.0047206233,0.9134265604,0.0131201816,0.9717450440,0.0011451358,0.3905322989,0.0176576359,0.6760275330,0.0164050253
PatchCore,2,fryum,3,0.7586000000,0.0104861814,0.8834394987,0.0060377949,0.8082762533,0.0026704995,0.8759205127,0.0118413820,0.3978581344,0.0059817395,0.5355066096,0.0274971800
PatchCore,2,macaroni1,3,0.5729000000,0.0354446047,0.5646560359,0.0407533632,0.6841251336,0.0056828265,0.8135459439,0.0037771979,0.0059080369,0.0028453339,0.4601563550,0.0347624683
PatchCore,2,macaroni2,3,0.5627666667,0.0345463939,0.5573453640,0.0310486654,0.6781939070,0.0094135561,0.7832127251,0.0077496175,0.0018835782,0.0005790752,0.4020527631,0.0196847095
PatchCore,2,pcb1,3,0.7577000000,0.0046508064,0.6942524271,0.0175226859,0.8384386065,0.0036613389,0.9423351620,0.0046080643,0.1748497774,0.0337094837,0.6561236393,0.0151898225
PatchCore,2,pcb2,3,0.6458000000,0.0228499453,0.6956737690,0.0153247010,0.6842337185,0.0098985591,0.8990089569,0.0054407453,0.0517491251,0.0096817214,0.5743320004,0.0245918187
PatchCore,2,pcb3,3,0.6939603960,0.0690748590,0.7367414489,0.0503914272,0.6901589000,0.0172340589,0.9288974284,0.0113508425,0.2818900871,0.0168499954,0.5288858390,0.0452277576
PatchCore,2,pcb4,3,0.8750495050,0.0965016445,0.8680117034,0.0987998822,0.8316689817,0.0756153802,0.8944781563,0.0136073320,0.2080681639,0.0181455494,0.5195664768,0.0240386467
PatchCore,2,pipe_fryum,3,0.8690000000,0.0115723809,0.9349713408,0.0082218149,0.8683785006,0.0148795007,0.9904993293,0.0003744655,0.7107762572,0.0054714762,0.8087364099,0.0175763510
PatchCore,4,candle,3,0.8572000000,0.0819225854,0.8648657661,0.0731557245,0.8041328860,0.0742135833,0.9205065410,0.0182633980,0.1164413047,0.0104237900,0.8077539653,0.0252526595
PatchCore,4,capsules,3,0.5052777778,0.0401567530,0.6450881089,0.0298142090,0.7722238851,0.0051842287,0.8573065391,0.0163382155,0.1035563042,0.0166672801,0.3651418721,0.0129231263
PatchCore,4,cashew,3,0.9296666667,0.0055184539,0.9651823311,0.0014560903,0.9070668241,0.0109459954,0.9850707301,0.0003964172,0.6638410917,0.0164544963,0.7614333987,0.0159667733
PatchCore,4,chewinggum,3,0.9562000000,0.0158328772,0.9800702210,0.0068922467,0.9356505756,0.0094195031,0.9726177662,0.0014161353,0.3896277103,0.0132388460,0.6990964571,0.0046348735
PatchCore,4,fryum,3,0.8287333333,0.0513093884,0.9202225618,0.0262808086,0.8392657983,0.0198878568,0.9063114227,0.0068710739,0.4293590555,0.0120997187,0.5862927780,0.0259010133
