method,shot,category,seed_count,image_auroc_mean,image_auroc_std,image_ap_mean,image_ap_std,image_f1_max_mean,image_f1_max_std,pixel_auroc_mean,pixel_auroc_std,pixel_ap_mean,pixel_ap_std,aupro_mean,aupro_std
WinCLIP+,2,pcb3,3,0.5186468647,0.0099751349,0.5126726380,0.0052809843,0.6659283869,0.0012787381,0.8707185054,0.0035558535,0.0120401273,0.0003441833,0.7078857719,0.0128391050
WinCLIP+,2,pcb4,3,0.8445874587,0.0101774922,0.8457866653,0.0094858437,0.7947196387,0.0083544582,0.9495306514,0.0014386181,0.1467044633,0.0141086956,0.7825623958,0.0106986078
WinCLIP+,2,pipe_fryum,3,0.9236000000,0.0034871192,0.9641868649,0.0023734840,0.9086322731,0.0075677473,0.9814903317,0.0006124790,0.3983976366,0.0079878300,0.9358928868,0.0014696986
WinCLIP+,4,candle,3,0.8452000000,0.0049386233,0.8561744715,0.0040606157,0.7894265592,0.0045863841,0.9090864537,0.0002083002,0.0274602863,0.0000656054,0.8520841246,0.0013507366
WinCLIP+,4,capsules,3,0.6777222222,0.0104354275,0.7623950869,0.0154186446,0.7755582945,0.0019389706,0.8686258793,0.0087496470,0.0327431793,0.0019315455,0.4388393639,0.0177494083
WinCLIP+,4,cashew,3,0.7172000000,0.0097508974,0.8435304425,0.0067531459,0.8124993087,0.0041053501,0.9200457525,0.0004198750,0.0807241637,0.0003803108,0.8176856706,0.0034551816
WinCLIP+,4,chewinggum,3,0.8652000000,0.0191541118,0.9373339873,0.0090405276,0.8490561588,0.0122774065,0.9772198048,0.0009800298,0.4227348440,0.0132030790,0.7823597057,0.0031078875
WinCLIP+,4,fryum,3,0.6800000000,0.0260913779,0.7942305249,0.0196988168,0.8134717832,0.0027629609,0.9104625685,0.0009785599,0.1439353159,0.0043014663,0.7695063424,0.0053765199
WinCLIP+,4,macaroni1,3,0.6220333333,0.0031262331,0.6508703242,0.0088472235,0.6744976920,0.0019000920,0.9251810270,0.0012238694,0.0279890337,0.0007067836,0.7368605400,0.0005082024
WinCLIP+,4,macaroni2,3,0.5829000000,0.0091798693,0.5398607534,0.0084400524,0.6892379921,0.0053168768,0.8452717782,0.0044583051,0.0018406640,0.0001059400,0.4618296930,0.0125246123
WinCLIP+,4,pcb1,3,0.7900333333,0.0055229823,0.6984763614,0.0225766986,0.8100051479,0.0158829641,0.8697090478,0.0017763718,0.0209568375,0.0005206963,0.3950054659,0.0226005072
WinCLIP+,4,pcb2,3,0.6002000000,0.0162714474,0.6125462259,0.0106048492,0.6755346965,0.0056782031,0.8672106217,0.0025394581,0.0130889371,0.0003703065,0.5814877686,0.0053942916
WinCLIP+,4,pcb3,3,0.5257095710,0.0053961153,0.5199566925,0.0098971016,0.6689088417,0.0022371535,0.8779925244,0.0014114244,0.0128459744,0.0002798467,0.7237027726,0.0087935479
WinCLIP+,4,pcb4,3,0.8677227723,0.0141729483,0.8593499130,0.0144214073,0.8191622102,0.0292863859,0.9519222733,0.0012350026,0.1514523992,0.0104489427,0.7893240188,0.0107004966
WinCLIP+,4,pipe_fryum,3,0.9352666667,0.0034486712,0.9696800005,0.0017198014,0.9097669228,0.0069838731,0.9823833992,0.0000698633,0.4066594101,0.0022340416,0.9378707712,0.0017875557
