method,seed,shot,status,report_path,summary_path,category_count,sample_count,validation_errors,image_auroc,pixel_auroc,pixel_ap,aupro
WinCLIP+,2,2,complete,outputs\unified\winclip_mvtec_seed_2_shot_2\evaluation_report.json,outputs\unified\winclip_mvtec_seed_2_shot_2\summary.csv,15,1725,0,0.7732951037741937,0.8662732057663862,0.29196359695101115,0.7059104862823546
WinCLIP+,2,4,complete,outputs\unified\winclip_mvtec_seed_2_shot_4\evaluation_report.json,outputs\unified\winclip_mvtec_seed_2_shot_4\summary.csv,15,1725,0,0.7790045393281173,0.8691077623190516,0.29152464255707844,0.7143598490816172
AnomalyDINO,0,1,complete,outputs\unified\anomalydino_mvtec_seed_0_shot_1\evaluation_report.json,outputs\unified\anomalydino_mvtec_seed_0_shot_1\summary.csv,15,1725,0,0.9569651655300577,0.9607421058836503,0.5684384349166423,0.9123015729225462
AnomalyDINO,0,2,complete,outputs\unified\anomalydino_mvtec_seed_0_shot_2\evaluation_report.json,outputs\unified\anomalydino_mvtec_seed_0_shot_2\summary.csv,15,1725,0,0.9654142152814931,0.9657465850957941,0.5773203857863485,0.920372610497483
AnomalyDINO,0,4,complete,outputs\unified\anomalydino_mvtec_seed_0_shot_4\evaluation_report.json,outputs\unified\anomalydino_mvtec_seed_0_shot_4\summary.csv,15,1725,0,0.9756397911444811,0.9686659250013183,0.582530038969534,0.9245317091391761
AnomalyDINO,1,1,complete,outputs\unified\anomalydino_mvtec_seed_1_shot_1\evaluation_report.json,outputs\unified\anomalydino_mvtec_seed_1_shot_1\summary.csv,15,1725,0,0.9573341039753511,0.9647080099632607,0.5566931338256483,0.9170073127717507
AnomalyDINO,1,2,complete,outputs\unified\anomalydino_mvtec_seed_1_shot_2\evaluation_report.json,outputs\unified\anomalydino_mvtec_seed_1_shot_2\summary.csv,15,1725,0,0.9658374581338222,0.9686259442673669,0.5703407893919276,0.922753479116866
AnomalyDINO,1,4,complete,outputs\unified\anomalydino_mvtec_seed_1_shot_4\evaluation_report.json,outputs\unified\anomalydino_mvtec_seed_1_shot_4\summary.csv,15,1725,0,0.9695158981770032,0.970336644796179,0.5753050457232514,0.9247539104889717
AnomalyDINO,2,1,complete,outputs\unified\anomalydino_mvtec_seed_2_shot_1\evaluation_report.json,outputs\unified\anomalydino_mvtec_seed_2_shot_1\summary.csv,15,1725,0,0.9570359239758371,0.9613715031509601,0.5546355333859815,0.9152694930745169
AnomalyDINO,2,2,complete,outputs\unified\anomalydino_mvtec_seed_2_shot_2\evaluation_report.json,outputs\unified\anomalydino_mvtec_seed_2_shot_2\summary.csv,15,1725,0,0.9744788470240888,0.9688846011003966,0.5748834117406424,0.9237081109081323
AnomalyDINO,2,4,complete,outputs\unified\anomalydino_mvtec_seed_2_shot_4\evaluation_report.json,outputs\unified\anomalydino_mvtec_seed_2_shot_4\summary.csv,15,1725,0,0.9787034878465419,0.9689104915269166,0.5786162715093008,0.9243777640032765
PromptAD,0,1,complete,outputs\unified\promptad_mvtec_seed_0_shot_1\evaluation_report.json,outputs\unified\promptad_mvtec_seed_0_shot_1\summary.csv,15,1725,0,0.8670865373015534,0.9555084590031699,0.5141530836254835,0.8861135028100503
PromptAD,0,2,complete,outputs\unified\promptad_mvtec_seed_0_shot_2\evaluation_report.json,outputs\unified\promptad_mvtec_seed_0_shot_2\summary.csv,15,1725,0,0.8736296259162993,0.9580071018998353,0.5256757963673082,0.8902709125510523
PromptAD,0,4,complete,outputs\unified\promptad_mvtec_seed_0_shot_4\evaluation_report.json,outputs\unified\promptad_mvtec_seed_0_shot_4\summary.csv,15,1725,0,0.8620982947557395,0.9619721105090839,0.546408831882084,0.8974527094904238
PromptAD,1,1,complete,outputs\unified\promptad_mvtec_seed_1_shot_1\evaluation_report.json,outputs\unified\promptad_mvtec_seed_1_shot_1\summary.csv,15,1725,0,0.8806115185870672,0.9531754998335659,0.5036154995938028,0.8803383938309675
PromptAD,1,2,missing,outputs\unified\promptad_mvtec_seed_1_shot_2\evaluation_report.json,outputs\unified\promptad_mvtec_seed_1_shot_2\summary.csv,,,,,,,
PromptAD,1,4,missing,outputs\unified\promptad_mvtec_seed_1_shot_4\evaluation_report.json,outputs\unified\promptad_mvtec_seed_1_shot_4\summary.csv,,,,,,,
PromptAD,2,1,missing,outputs\unified\promptad_mvtec_seed_2_shot_1\evaluation_report.json,outputs\unified\promptad_mvtec_seed_2_shot_1\summary.csv,,,,,,,
PromptAD,2,2,missing,outputs\unified\promptad_mvtec_seed_2_shot_2\evaluation_report.json,outputs\unified\promptad_mvtec_seed_2_shot_2\summary.csv,,,,,,,
PromptAD,2,4,missing,outputs\unified\promptad_mvtec_seed_2_shot_4\evaluation_report.json,outputs\unified\promptad_mvtec_seed_2_shot_4\summary.csv,,,,,,,
DynamicFusion,0,1,complete,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s0_k1\evaluation\evaluation_report.json,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s0_k1\evaluation\summary.csv,15,1725,0,0.8187285706833539,0.9140236011868915,0.2712089382495989,0.8018392773547794
DynamicFusion,0,2,complete,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s0_k2\evaluation\evaluation_report.json,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s0_k2\evaluation\summary.csv,15,1725,0,0.8767511411084921,0.9427550451871276,0.37376434767727196,0.9143774257487414
DynamicFusion,0,4,complete,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s0_k4\evaluation\evaluation_report.json,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s0_k4\evaluation\summary.csv,15,1725,0,0.881277004443529,0.9415830011572304,0.34577472105862234,0.9229971128198043
DynamicFusion,1,1,complete,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s1_k1\evaluation\evaluation_report.json,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s1_k1\evaluation\summary.csv,15,1725,0,0.7972615207713412,0.9061418512726654,0.22616180416718384,0.8591126308760126
DynamicFusion,1,2,complete,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s1_k2\evaluation\evaluation_report.json,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s1_k2\evaluation\summary.csv,15,1725,0,0.8409779474958892,0.9346618585279967,0.31889851379082557,0.912962450463666
DynamicFusion,1,4,complete,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s1_k4\evaluation\evaluation_report.json,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s1_k4\evaluation\summary.csv,15,1725,0,0.8781630061699052,0.9416094027199381,0.34752766752396763,0.9225554978519929
DynamicFusion,2,1,complete,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s2_k1\evaluation\evaluation_report.json,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s2_k1\evaluation\summary.csv,15,1725,0,0.7667839926509754,0.9114992274855251,0.24243781872173673,0.8090974221497772
DynamicFusion,2,2,complete,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s2_k2\evaluation\evaluation_report.json,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s2_k2\evaluation\summary.csv,15,1725,0,0.8734454692083304,0.936271387079833,0.339196599587685,0.8901478888820941
DynamicFusion,2,4,complete,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s2_k4\evaluation\evaluation_report.json,outputs\dynamic_fusion\final_validation\20260805_mvtec_final_validation_s2_k4\evaluation\summary.csv,15,1725,0,0.9261883112561032,0.942124442669828,0.35138855368549043,0.9088673955661205
