run,category,sample_count,image_auroc,image_ap,image_f1_max,pixel_auroc,pixel_ap,aupro
20260805_mvtec_final_validation_s0_k1,macro_mean,1725,0.8187285706833539,0.8941020495615947,0.8983574538741446,0.9140236011868915,0.2712089382495989,0.8018392773547794
20260805_mvtec_final_validation_s0_k2,macro_mean,1725,0.8767511411084921,0.9314191517557748,0.9215869239123453,0.9427550451871276,0.37376434767727196,0.9143774257487414
20260805_mvtec_final_validation_s0_k4,macro_mean,1725,0.881277004443529,0.9337556120417824,0.9220560546540729,0.9415830011572304,0.34577472105862234,0.9229971128198043
20260805_mvtec_final_validation_s1_k1,macro_mean,1725,0.7972615207713412,0.8879521829071321,0.8924259720696406,0.9061418512726654,0.22616180416718384,0.8591126308760126
20260805_mvtec_final_validation_s1_k2,macro_mean,1725,0.8409779474958892,0.9128756937726048,0.9113157661892459,0.9346618585279967,0.31889851379082557,0.912962450463666
20260805_mvtec_final_validation_s1_k4,macro_mean,1725,0.8781630061699052,0.9319201194145642,0.9182791001561154,0.9416094027199381,0.34752766752396763,0.9225554978519929
20260805_mvtec_final_validation_s2_k1,macro_mean,1725,0.7667839926509754,0.863574615161849,0.8754315042460663,0.9114992274855251,0.24243781872173673,0.8090974221497772
20260805_mvtec_final_validation_s2_k2,macro_mean,1725,0.8734454692083304,0.9283234602109082,0.9124892903373436,0.936271387079833,0.339196599587685,0.8901478888820941
20260805_mvtec_final_validation_s2_k4,macro_mean,1725,0.9261883112561032,0.9594521315656694,0.9323182605685314,0.942124442669828,0.35138855368549043,0.9088673955661205
