method,seed,shot,category,sample_count,image_auroc,image_ap,image_f1_max,pixel_auroc,pixel_ap,aupro
PatchCore,0,1,candle,200,0.8374,0.8299995668245279,0.7889908256880733,0.8517369641753193,0.08268145137847144,0.6578612019659075
PatchCore,0,1,capsules,160,0.43550000000000005,0.5679590103166198,0.7692307692307693,0.7531613882235179,0.02833441071240545,0.2899162606172091
PatchCore,0,1,cashew,150,0.809,0.9022762491503253,0.831858407079646,0.9744688632013871,0.605309865570023,0.6651402158665692
PatchCore,0,1,chewinggum,150,0.8468,0.9329264778200167,0.8472906403940887,0.9690232892566041,0.34876404072726186,0.622262294547252
PatchCore,0,1,fryum,150,0.6726000000000001,0.8330594089394587,0.8097165991902835,0.8478008984972161,0.3062870228565616,0.47653231275084046
PatchCore,0,1,macaroni1,200,0.5958000000000001,0.6123140874178992,0.6805555555555556,0.7790434810167204,0.002864033511568491,0.30717266561800355
PatchCore,0,1,macaroni2,200,0.3887,0.43073474065794026,0.6688963210702341,0.6416903373542838,0.0007276599389774255,0.3610131063695845
PatchCore,0,1,pcb1,200,0.771,0.7218290795843407,0.8347826086956522,0.9357847918165196,0.16555973892393686,0.6654490574217937
PatchCore,0,1,pcb2,200,0.6636000000000001,0.6715451410087385,0.6962962962962963,0.8615200151525765,0.02893810654120286,0.4495248746822976
PatchCore,0,1,pcb3,201,0.6851980198019801,0.7036913461485791,0.6996197718631179,0.908764868131286,0.24562890206931146,0.4864632895690941
PatchCore,0,1,pcb4,201,0.754950495049505,0.8007303971584006,0.7074235807860262,0.7844472100219199,0.10081799547622555,0.2895460371584641
PatchCore,0,1,pipe_fryum,150,0.8280000000000001,0.9160907506166738,0.8311688311688312,0.986908045053681,0.6869083618515441,0.7989754669566586
PatchCore,0,2,candle,200,0.7157000000000001,0.7699281961770008,0.6899563318777292,0.8963386635367808,0.08913684159640814,0.7413704326548949
PatchCore,0,2,capsules,160,0.5186666666666666,0.6438638489015405,0.7692307692307693,0.8180662851209373,0.06689511215689584,0.3265264580863476
PatchCore,0,2,cashew,150,0.8395999999999999,0.9224708817361762,0.8403361344537814,0.9748647024156161,0.6300891381529499,0.6376782408720825
PatchCore,0,2,chewinggum,150,0.9324,0.9686323046468867,0.8989898989898989,0.9709039432489687,0.39194438518118985,0.6575135006578046
PatchCore,0,2,fryum,150,0.7632,0.88346563839072,0.8051948051948052,0.8645207842075039,0.39554530872051097,0.5040036270353752
PatchCore,0,2,macaroni1,200,0.5905,0.5704989654960839,0.6893617021276595,0.8092163569466215,0.005332656427704188,0.5002280881828975
PatchCore,0,2,macaroni2,200,0.5499,0.5488705770813717,0.6688963210702341,0.7863217348389494,0.0015105194584386567,0.4231210900296875
PatchCore,0,2,pcb1,200,0.753,0.6756754635117033,0.8347826086956522,0.9455457280703939,0.2104931932664094,0.6736332976474286
PatchCore,0,2,pcb2,200,0.6299999999999999,0.6923538532066542,0.678082191780822,0.9049270798227621,0.059651092974822705,0.599330882448716
PatchCore,0,2,pcb3,201,0.7503960396039604,0.7759423550963415,0.7048458149779735,0.9220630880404761,0.2630420390593816,0.49179952613389366
PatchCore,0,2,pcb4,201,0.7636633663366337,0.7539310709168021,0.7450980392156863,0.9083854258280656,0.190361620627573,0.5337871068350025
