method,seed,shot,category,sample_count,image_auroc,image_ap,image_f1_max,pixel_auroc,pixel_ap,aupro
PatchCore,0,2,pipe_fryum,150,0.8822,0.9427673916714874,0.8826291079812206,0.9905686132294046,0.7105232518432547,0.8288993449213803
PatchCore,0,4,candle,200,0.9497000000000001,0.9449823918988249,0.8878048780487805,0.9415937942970886,0.1053478964478116,0.8318123972565991
PatchCore,0,4,capsules,160,0.462,0.6127088127005966,0.7782101167315175,0.858388407379608,0.09656387839305133,0.3756447092163983
PatchCore,0,4,cashew,150,0.9338000000000001,0.9668632256586871,0.912442396313364,0.9855030590919188,0.6632247719207763,0.7555557981594131
PatchCore,0,4,chewinggum,150,0.9668,0.9849667113716664,0.9463414634146342,0.9739869181431835,0.3880187781276934,0.7015825056232332
PatchCore,0,4,fryum,150,0.8872,0.9499558580587055,0.861244019138756,0.8994800473731753,0.42417764707593525,0.5573943264862881
PatchCore,0,4,macaroni1,200,0.6537,0.6378030510349969,0.6810035842293908,0.8801609300975453,0.04016028718008306,0.6181279003037352
PatchCore,0,4,macaroni2,200,0.5679,0.5332675193612765,0.6830985915492959,0.7846200013955592,0.0014923482781497423,0.43826513396899924
PatchCore,0,4,pcb1,200,0.7476,0.6743299201498818,0.8347826086956522,0.9468794184387961,0.15751263833787243,0.7001057051436521
PatchCore,0,4,pcb2,200,0.7405,0.7690086574716994,0.7086614173228346,0.930098579858604,0.06763194709455679,0.636678324319729
PatchCore,0,4,pcb3,201,0.7833663366336634,0.7788208260200803,0.7601809954751132,0.9297874861164608,0.30274727150526204,0.526606007912146
PatchCore,0,4,pcb4,201,0.9466336633663366,0.9432567484258556,0.888888888888889,0.9273473913800013,0.2540528872952821,0.647961077751273
PatchCore,0,4,pipe_fryum,150,0.8984000000000001,0.951234484563943,0.892156862745098,0.9907131876824006,0.6997228330834925,0.8282126577595477
PatchCore,1,1,candle,200,0.3553,0.42681802406225444,0.6688963210702341,0.7726157069342288,0.04418785323837967,0.4341959150845822
PatchCore,1,1,capsules,160,0.508,0.6694084679108867,0.7692307692307693,0.8066738685445407,0.058315308571757624,0.34707767807098333
PatchCore,1,1,cashew,150,0.7698,0.8855380597078364,0.8296943231441047,0.9762381724402742,0.617433335790241,0.6352270708338055
PatchCore,1,1,chewinggum,150,0.8964000000000001,0.9554713207237393,0.8804347826086957,0.9615552900888156,0.37989216662741687,0.5880230571592685
PatchCore,1,1,fryum,150,0.7919999999999999,0.8927731888302326,0.832618025751073,0.8406430658961735,0.3423435985221068,0.4634725946356489
PatchCore,1,1,macaroni1,200,0.5913,0.5796097847868295,0.6898954703832753,0.7846656244513464,0.004609431060819399,0.4447687136154139
PatchCore,1,1,macaroni2,200,0.5553,0.5234592926329324,0.6745098039215686,0.7911593406450093,0.0018026345957962743,0.5408512751093475
PatchCore,1,1,pcb1,200,0.8006,0.7498576794787456,0.8347826086956522,0.9320472333946207,0.12992696840931162,0.6698137359463989
PatchCore,1,1,pcb2,200,0.7019999999999998,0.7269303402475957,0.6972477064220184,0.8644155540973777,0.038715912406502594,0.47935850850717776
PatchCore,1,1,pcb3,201,0.6067326732673267,0.6577960943209076,0.6644518272425249,0.8686936022814711,0.31196770486109454,0.31402804519207805
PatchCore,1,1,pcb4,201,0.7911881188118812,0.8075126537744947,0.743362831858407,0.81846710662118,0.10469335289887664,0.3685905676227091
PatchCore,1,1,pipe_fryum,150,0.8256,0.9127074982283605,0.8390243902439023,0.9854164569239208,0.6885736030336735,0.7522992825767889
PatchCore,1,2,candle,200,0.7536999999999999,0.7378511656098843,0.7272727272727272,0.8641929908159313,0.10034023052502727,0.7118027809658427
PatchCore,1,2,capsules,160,0.5363333333333333,0.6536523322495171,0.7692307692307693,0.8596412207565808,0.11167134492737274,0.3894660059235504
PatchCore,1,2,cashew,150,0.8212,0.9171772151637708,0.819672131147541,0.9847594841259982,0.6694578934618961,0.7544240166090428
PatchCore,1,2,chewinggum,150,0.9350000000000002,0.9716094817687532,0.9166666666666666,0.9730491939145214,0.40744149392941653,0.6887555445706124
PatchCore,1,2,fryum,150,0.766,0.8894641812853007,0.8099173553719008,0.8750818013182756,0.3933781178070999,0.5546883306235317
PatchCore,1,2,macaroni1,200,0.5961000000000001,0.6021725699040202,0.678082191780822,0.8161670611200978,0.003394365333318687,0.43809037735147105
PatchCore,1,2,macaroni2,200,0.5365,0.5314140135283878,0.6779661016949152,0.7889250706661048,0.0015895367187314892,0.3989065620209834
PatchCore,1,2,pcb1,200,0.7623,0.7104847436119235,0.8384279475982533,0.9370551741422909,0.14348224097082812,0.6482574092928179
PatchCore,1,2,pcb2,200,0.6354,0.6822811496755077,0.6789667896678966,0.8942240873441334,0.04094942553123177,0.5501685347032713
PatchCore,1,2,pcb3,201,0.6169306930693068,0.679901733601195,0.6711864406779661,0.9226290179788863,0.287132525440479,0.5155855641646783
PatchCore,1,2,pcb4,201,0.9334653465346535,0.9258417682913537,0.8847926267281105,0.8811920358866581,0.20721990443177374,0.49181186972467344
PatchCore,1,2,pipe_fryum,150,0.8642000000000001,0.9357652696227192,0.8529411764705882,0.9908343144860097,0.7163698471952125,0.8006599735792691
PatchCore,1,4,candle,200,0.7938000000000001,0.8016179139016308,0.746268656716418,0.9101809005277736,0.11794355380997332,0.7814562279625947
PatchCore,1,4,capsules,160,0.5125,0.6511499269302821,0.7692307692307693,0.8730769340191346,0.12258080457344431,0.36907059526350294
PatchCore,1,4,cashew,150,0.9234,0.9643757073133611,0.8944723618090452,0.9849848165823936,0.6477034143392242,0.7492385210769772
PatchCore,1,4,chewinggum,150,0.938,0.9721886203685444,0.9285714285714285,0.9711589123053223,0.3772668603973218,0.7019579089989813
PatchCore,1,4,fryum,150,0.8078,0.910612264501314,0.8340425531914895,0.913221518716818,0.4431866609506878,0.6074144931362443
PatchCore,1,4,macaroni1,200,0.5874999999999999,0.5743591301613926,0.6779661016949152,0.8353337741090644,0.005675692428799318,0.5211677146872131
PatchCore,1,4,macaroni2,200,0.6251000000000001,0.621146976969551,0.678082191780822,0.818803234429734,0.0026192432292205295,0.47370937100336696
PatchCore,1,4,pcb1,200,0.78975,0.7892081778520854,0.75,0.9694047389560347,0.7741317086474107,0.5079619532858004
PatchCore,1,4,pcb2,200,0.7503,0.7633026739849225,0.7333333333333333,0.9325356717313052,0.06265442022308018,0.6434982131997211
PatchCore,1,4,pcb3,201,0.7469306930693069,0.7697526803413601,0.7047619047619048,0.939594605628371,0.3088509272044624,0.5954878466690692
PatchCore,1,4,pcb4,201,0.9148514851485148,0.916873630121241,0.8490566037735849,0.9167161705788881,0.26808331646879024,0.5747948575708273
PatchCore,1,4,pipe_fryum,150,0.8996,0.952473657307846,0.8854166666666666,0.9912134564944579,0.720682174501614,0.7762765317317638
PatchCore,2,1,candle,200,0.5762499999999999,0.6203585751230991,0.6711409395973155,0.8736068089267102,0.10581899348002788,0.6764360500291108
PatchCore,2,1,capsules,160,0.5105,0.6565908777341717,0.7692307692307693,0.7899040884564144,0.02576145664821006,0.30305807012855124
PatchCore,2,1,cashew,150,0.9086000000000001,0.9582738362416537,0.8768472906403941,0.9758367781839377,0.6346208332647646,0.689194181659169
PatchCore,2,1,chewinggum,150,0.8,0.909312125958269,0.8193832599118943,0.9536071396463495,0.3477083453312687,0.5707809435939898
PatchCore,2,1,fryum,150,0.7704000000000001,0.8857331504348958,0.8166666666666667,0.8252149618479121,0.36537976725497096,0.4906913825388266
PatchCore,2,1,macaroni1,200,0.5906,0.6018636127306156,0.6734006734006733,0.7589544691032234,0.012190602116621317,0.44220951524089713
PatchCore,2,1,macaroni2,200,0.4037,0.4484591436791948,0.6688963210702341,0.7299971110186714,0.0009891187808255442,0.45632214489779743
PatchCore,2,1,pcb1,200,0.7714,0.7163783979981854,0.8362068965517241,0.9360440533491394,0.20147214893835763,0.6486040731469283
PatchCore,2,1,pcb2,200,0.6365,0.6908577536926594,0.6877192982456142,0.795551478259677,0.033822850413994576,0.34415653412610464
PatchCore,2,1,pcb3,201,0.7211881188118812,0.7514939656313346,0.7079646017699115,0.896293824815897,0.28905608786220927,0.434530180364804
PatchCore,2,1,pcb4,201,0.5383168316831684,0.5426686711126574,0.6779661016949152,0.7252746752646472,0.0784056279655542,0.2827903153659185
PatchCore,2,1,pipe_fryum,150,0.7798,0.8854561630008481,0.831858407079646,0.9877649205468919,0.6927311692640189,0.768227821475651
PatchCore,2,2,candle,200,0.6962,0.7417814357128241,0.6863468634686347,0.9020126371966277,0.12147814035535787,0.7648323008791904
PatchCore,2,2,capsules,160,0.5198333333333334,0.6678815276375942,0.7692307692307693,0.8328393678929975,0.05441532238028671,0.3286299670084845
PatchCore,2,2,cashew,150,0.8185999999999999,0.9091537915089669,0.8497854077253219,0.9819713489604025,0.6771317197135692,0.7253351352451958
PatchCore,2,2,chewinggum,150,0.952,0.9778800919527576,0.9246231155778895,0.9712819947885721,0.37221101755071784,0.6818135536531926
PatchCore,2,2,fryum,150,0.7466,0.877388676279683,0.8097165991902835,0.8881589524918946,0.40465097653299614,0.54782787100868
PatchCore,2,2,macaroni1,200,0.5321,0.521296572342115,0.684931506849315,0.8152544136058093,0.008997089038076169,0.44215059941315105
PatchCore,2,2,macaroni2,200,0.6019,0.5917515014022223,0.6877192982456142,0.7743913698031774,0.002550678557396696,0.38413063720706336
PatchCore,2,2,pcb1,200,0.7577999999999999,0.6965970742330361,0.8421052631578947,0.9444045837610439,0.1705738980925984,0.6464802110997036
PatchCore,2,2,pcb2,200,0.672,0.7123863039784923,0.6956521739130435,0.897875703660207,0.05464685689499227,0.5734965840814799
PatchCore,2,2,pcb3,201,0.7145544554455445,0.7543802580477676,0.6944444444444444,0.942000179037743,0.2954956967024802,0.579272426604025
PatchCore,2,2,pcb4,201,0.9280198019801981,0.924262270877649,0.8651162790697675,0.8938570071333993,0.2266229667042575,0.5331004539273494
PatchCore,2,2,pipe_fryum,150,0.8606,0.9263813612349686,0.8695652173913043,0.9900950601552821,0.7054356726216,0.796649911078774
PatchCore,2,4,candle,200,0.8281000000000002,0.847996992600198,0.7783251231527093,0.9097449281077395,0.12603246395754464,0.8099932708261568
PatchCore,2,4,capsules,160,0.5413333333333333,0.6714055870658341,0.7692307692307693,0.8404542758435375,0.09152422966122202,0.3507103117270478
PatchCore,2,4,cashew,150,0.9318,0.9643080602800195,0.9142857142857144,0.984724314657373,0.6805950887453377,0.7795058768962116
PatchCore,2,4,chewinggum,150,0.9638,0.9830553313067665,0.9320388349514563,0.9727074680997475,0.40359749240565845,0.6937489566437127
PatchCore,2,4,fryum,150,0.7911999999999999,0.9000995628965238,0.8225108225108225,0.9062327021453139,0.4207128586213174,0.5940695144960955
PatchCore,2,4,macaroni1,200,0.6439000000000001,0.608186021569076,0.6984126984126985,0.8802422038384953,0.008271848729887926,0.561838886691935
PatchCore,2,4,macaroni2,200,0.6093,0.5966913981552442,0.6689189189189189,0.7887330772530148,0.00237963464957745,0.3955482028088724
PatchCore,2,4,pcb1,200,0.7711,0.7175923925047545,0.8421052631578947,0.9443471228470988,0.16849861967526053,0.6927558984037118
PatchCore,2,4,pcb2,200,0.7837999999999998,0.7868634189890784,0.7647058823529412,0.9324620746013517,0.06659556787853954,0.6370358767088584
PatchCore,2,4,pcb3,201,0.7941584158415842,0.79792583127358,0.7829787234042553,0.9434453344997934,0.2826543609173324,0.5869513529799117
PatchCore,2,4,pcb4,201,0.9583168316831683,0.9575768242115489,0.9038461538461539,0.9025203335494643,0.24953725682622602,0.558800943044409
PatchCore,2,4,pipe_fryum,150,0.8804000000000001,0.9410342459833286,0.8708133971291867,0.9915686748288861,0.7183337623028664,0.8130207988349233
WinCLIP+,0,1,candle,200,0.8448,0.8533342295993366,0.7804878048780488,0.9069018540483387,0.02654932354425453,0.8539849552524784
WinCLIP+,0,1,capsules,160,0.622,0.7259556470263198,0.7692307692307693,0.8680083618744052,0.032395255372121776,0.4457639741807812
WinCLIP+,0,1,cashew,150,0.6886,0.8261457062214804,0.8081632653061224,0.914599569285663,0.07286960111240419,0.8180500680657345
WinCLIP+,0,1,chewinggum,150,0.8122,0.9139799070734967,0.8281938325991189,0.9740185978664018,0.39592207369100574,0.7670384252680126
WinCLIP+,0,1,fryum,150,0.6377999999999999,0.7630070992064261,0.8065843621399176,0.9058963349726418,0.12679067601771757,0.7682662431770836
WinCLIP+,0,1,macaroni1,200,0.5891,0.612374867623843,0.6756756756756758,0.921215061236453,0.02305515365338092,0.7065511561281781
WinCLIP+,0,1,macaroni2,200,0.5748,0.5336957514992041,0.6758620689655174,0.8366548725753596,0.0015901006994896718,0.4417543358029742
WinCLIP+,0,1,pcb1,200,0.7758,0.6906066701276852,0.8049792531120332,0.8544624701980257,0.017855099811312225,0.38624432040428985
WinCLIP+,0,1,pcb2,200,0.5601999999999999,0.5597116991959954,0.6840148698884758,0.8482080933047219,0.008658300606254459,0.54419564067862
WinCLIP+,0,1,pcb3,201,0.5414851485148515,0.5176472454632105,0.6689189189189189,0.863694680779628,0.011271784338699744,0.7019854215824822
WinCLIP+,0,1,pcb4,201,0.830990099009901,0.8351391588848878,0.7850467289719626,0.9484524848738212,0.1591300291445662,0.7878602954570174
WinCLIP+,0,1,pipe_fryum,150,0.9162,0.9603052528145466,0.9029126213592233,0.9794958591876356,0.3737682057404637,0.9367648094490655
WinCLIP+,0,2,candle,200,0.849,0.8569126149871081,0.7911111111111112,0.9087073798515563,0.027311778800181187,0.8552396130553193
WinCLIP+,0,2,capsules,160,0.665,0.7672647450831211,0.7704280155642024,0.8777283023082597,0.036893048888969174,0.45202812848696194
WinCLIP+,0,2,cashew,150,0.7008,0.8438557510697575,0.8065843621399176,0.9198560604145284,0.07790406324456257,0.8251432517933022
WinCLIP+,0,2,chewinggum,150,0.8514,0.9317318374591468,0.8458149779735682,0.9773597414524625,0.41823863141795875,0.7824710276615451
WinCLIP+,0,2,fryum,150,0.627,0.7654594807574981,0.8081632653061224,0.9084518430315282,0.13230274175286594,0.7660908956149524
WinCLIP+,0,2,macaroni1,200,0.6386000000000001,0.661971603708632,0.6742424242424243,0.9233950013433545,0.026748959801760917,0.730827801730131
WinCLIP+,0,2,macaroni2,200,0.5672999999999999,0.5334591197992736,0.6842105263157896,0.8382372889792988,0.001644820598163281,0.4559857444311625
WinCLIP+,0,2,pcb1,200,0.7861,0.692177047779766,0.8173913043478259,0.8658302079665473,0.019996536946932254,0.39684387845820834
WinCLIP+,0,2,pcb2,200,0.6048,0.6095794979001685,0.6810035842293908,0.8635771487427351,0.01101589872382035,0.5704916805167336
WinCLIP+,0,2,pcb3,201,0.53,0.5142473851104263,0.6644518272425249,0.8717574208982367,0.012115332483499695,0.7115398395204421
WinCLIP+,0,2,pcb4,201,0.8400990099009901,0.8401763572364752,0.803921568627451,0.9504387714938114,0.15569932120113417,0.7906632658744722
WinCLIP+,0,2,pipe_fryum,150,0.9252,0.9651930918469331,0.91,0.9807848349924423,0.38917408546464105,0.9375899021836779
WinCLIP+,0,4,candle,200,0.8509,0.860832104764174,0.7946428571428571,0.9089905081346579,0.027473299574940616,0.8536428596468844
WinCLIP+,0,4,capsules,160,0.686,0.767119680788737,0.7747035573122529,0.8775377031137395,0.03479197500353435,0.4462715475032184
WinCLIP+,0,4,cashew,150,0.7218000000000001,0.8454693808304202,0.8081632653061224,0.9204801364456873,0.08115946563965051,0.8215358196834205
WinCLIP+,0,4,chewinggum,150,0.8624,0.9357009614183791,0.8516746411483254,0.9767031264544905,0.4137803947194952,0.7824551998479269
WinCLIP+,0,4,fryum,150,0.65,0.7723564714308944,0.8108108108108109,0.9093362263012262,0.1393163812402629,0.7632980978665038
WinCLIP+,0,4,macaroni1,200,0.6224999999999999,0.656719888035872,0.6734006734006733,0.9241038538782349,0.028765940089038697,0.7373456516529567
WinCLIP+,0,4,macaroni2,200,0.5775999999999999,0.5348745955896697,0.6923076923076922,0.8435343494470721,0.0017592595377054112,0.4651550685645709
WinCLIP+,0,4,pcb1,200,0.7889999999999999,0.6887734033010271,0.8189655172413793,0.8717502271549943,0.021110763147592183,0.41509360269841217
WinCLIP+,0,4,pcb2,200,0.6118,0.6208445601388412,0.6782006920415224,0.8643367142856238,0.01303598048118468,0.5778906836419713
WinCLIP+,0,4,pcb3,201,0.5293069306930693,0.519054726199524,0.6689189189189189,0.8771559299369183,0.012670818271811678,0.7233278052928421
WinCLIP+,0,4,pcb4,201,0.8804950495049505,0.8720631833805769,0.8502415458937198,0.9533227763547351,0.16306110724164313,0.8002117767593002
WinCLIP+,0,4,pipe_fryum,150,0.939,0.9713630315450188,0.911917098445596,0.9824370649148263,0.40892988798353813,0.9398992067798104
WinCLIP+,1,1,candle,200,0.8412999999999999,0.8506460967029248,0.7811158798283262,0.9077909557856575,0.02670166971154725,0.8533171915064913
WinCLIP+,1,1,capsules,160,0.6368333333333334,0.7371879269042932,0.7692307692307693,0.8304014098201229,0.02238901519449056,0.38800683561689375
WinCLIP+,1,1,cashew,150,0.694,0.8363278422406664,0.8130081300813007,0.9169816299823823,0.077084436755034,0.8095250379617862
WinCLIP+,1,1,chewinggum,150,0.8488,0.9281324001537741,0.8514851485148515,0.9762738081052745,0.4063253559375944,0.775813717078065
WinCLIP+,1,1,fryum,150,0.6752,0.7913718520079298,0.8097165991902835,0.908685557216278,0.13877355409454892,0.7625845121122948
WinCLIP+,1,1,macaroni1,200,0.6395,0.6597089108887948,0.6836363636363636,0.9197943138586633,0.023961638268276554,0.7173937377690931
WinCLIP+,1,1,macaroni2,200,0.5659000000000001,0.533837615363919,0.68259385665529,0.8434415593728808,0.0017038245587472358,0.44557763177547727
WinCLIP+,1,1,pcb1,200,0.7724000000000001,0.6854959920130597,0.8071748878923767,0.8293836913732213,0.014615803451777877,0.30454151214836234
WinCLIP+,1,1,pcb2,200,0.5781,0.5994815905421771,0.6760563380281689,0.8547249330283239,0.011064843633674824,0.5733554289587045
WinCLIP+,1,1,pcb3,201,0.5182178217821782,0.5119636515140684,0.6689189189189189,0.8570513471873352,0.01067832562243046,0.677043453340523
WinCLIP+,1,1,pcb4,201,0.7478217821782177,0.7434836635390897,0.7160493827160495,0.943626261918395,0.12735645133937754,0.7574747039659261
WinCLIP+,1,1,pipe_fryum,150,0.9017999999999999,0.9530225394941697,0.8878048780487805,0.9773690154769998,0.3723640706441651,0.9220380712970437
WinCLIP+,1,2,candle,200,0.8432999999999999,0.8531924480791085,0.7826086956521738,0.9079015704740684,0.026891432641715212,0.8510914644276782
WinCLIP+,1,2,capsules,160,0.6631666666666668,0.7557007376784591,0.7692307692307693,0.8407903112643463,0.02372326783883651,0.3848612059238098
WinCLIP+,1,2,cashew,150,0.6976,0.8391795324441478,0.8130081300813007,0.9182176794750229,0.07785832346199033,0.8087103259445911
WinCLIP+,1,2,chewinggum,150,0.8867999999999999,0.9484686994997089,0.8623853211009174,0.9791906549921985,0.4411452340585751,0.7852261376082947
WinCLIP+,1,2,fryum,150,0.672,0.7874923358652322,0.8130081300813007,0.9093801445952719,0.14002673094965654,0.7682855028924316
WinCLIP+,1,2,macaroni1,200,0.6263999999999998,0.6470773799958436,0.6838235294117646,0.9246811646265447,0.024317693907202925,0.7404731012594393
WinCLIP+,1,2,macaroni2,200,0.5717,0.5259086609509792,0.6928571428571428,0.8358368392503565,0.0016061651961227252,0.4259694176753447
WinCLIP+,1,2,pcb1,200,0.7857000000000001,0.6916568829104471,0.811965811965812,0.8529280498927143,0.01769512092264651,0.342256382684643
WinCLIP+,1,2,pcb2,200,0.5893,0.6045196391600846,0.6717557251908396,0.8604457835397774,0.012031042161644667,0.5781107203115721
WinCLIP+,1,2,pcb3,201,0.5112871287128713,0.506783409521155,0.6666666666666666,0.8667589044044041,0.011664559754257176,0.693615729603579
WinCLIP+,1,2,pcb4,201,0.8562376237623763,0.8567388778514623,0.7876106194690266,0.9502812118769416,0.1539703115212837,0.786589221199322
WinCLIP+,1,2,pipe_fryum,150,0.9259999999999999,0.9658914780185899,0.9154228855721394,0.9818002265045354,0.4030118673555181,0.9350552421688247
WinCLIP+,1,4,candle,200,0.8425000000000001,0.8543130297116713,0.7860262008733624,0.9093254364653021,0.027518409901816837,0.8513521698339063
WinCLIP+,1,4,capsules,160,0.6811666666666667,0.7748986320036448,0.7741935483870968,0.8600479691759565,0.030955436795076438,0.41858200608731977
WinCLIP+,1,4,cashew,150,0.7060000000000001,0.8360199207074268,0.8163265306122449,0.9200150490532704,0.08045630895612718,0.8148547573399294
WinCLIP+,1,4,chewinggum,150,0.8856,0.9470797251607831,0.8598130841121495,0.9783500620111448,0.4378977915512583,0.785418745586895
WinCLIP+,1,4,fryum,150,0.6926,0.810570117738926,0.8132780082987552,0.910947672320904,0.1446631088206105,0.7726259805694106
WinCLIP+,1,4,macaroni1,200,0.6249,0.6551988392419594,0.6766917293233082,0.9265118444812723,0.027384119334348943,0.7363320301272162
WinCLIP+,1,4,macaroni2,200,0.5775999999999999,0.5351020630868074,0.6923076923076922,0.8419437689153004,0.0018022886514451784,0.447977980610601
WinCLIP+,1,4,pcb1,200,0.796,0.7242824764663722,0.7916666666666667,0.8688636343102445,0.021383218374194293,0.37053458230241926
WinCLIP+,1,4,pcb2,200,0.5816,0.600598593331712,0.6690140845070423,0.8681432545602166,0.012747959836149441,0.5876901862095281
WinCLIP+,1,4,pcb3,201,0.5195049504950495,0.5105414473064444,0.6666666666666666,0.8771995408766451,0.012698383580520462,0.7151027063020958
WinCLIP+,1,4,pcb4,201,0.8524752475247525,0.8436789578618139,0.792079207920792,0.9509892667198419,0.14280044507001866,0.7788211703899434
WinCLIP+,1,4,pipe_fryum,150,0.9345999999999999,0.9697513222087457,0.9154228855721394,0.9823044043955989,0.40658466158512485,0.9371873735631885
WinCLIP+,2,1,candle,200,0.8446000000000001,0.8551125891824346,0.7792207792207793,0.9082219380551615,0.027102178849203497,0.8533665436504768
WinCLIP+,2,1,capsules,160,0.6413333333333335,0.7306913259856553,0.7782426778242677,0.8408529385279909,0.02142285654202703,0.39963197017086294
WinCLIP+,2,1,cashew,150,0.6802,0.8188513225475899,0.8114754098360656,0.9157917522635171,0.07236794849990283,0.8079523170773737
WinCLIP+,2,1,chewinggum,150,0.784,0.8982551055371438,0.8296943231441047,0.9708421331540616,0.3732245244075144,0.7657094657326168
WinCLIP+,2,1,fryum,150,0.662,0.7756445099699806,0.8205128205128206,0.9073522133839331,0.13883148171551463,0.7682213908622142
WinCLIP+,2,1,macaroni1,200,0.6240000000000001,0.6467537338290588,0.6711864406779661,0.9234513033272818,0.026283028058935332,0.7260873870009283
WinCLIP+,2,1,macaroni2,200,0.5922000000000001,0.5457326715681663,0.6711864406779661,0.8442864989616716,0.0017880134557883387,0.4737637707912197
WinCLIP+,2,1,pcb1,200,0.7827999999999999,0.6978917270251602,0.8049792531120332,0.8553313227385515,0.018273224922105872,0.3676547574143708
WinCLIP+,2,1,pcb2,200,0.5172,0.5197866138857693,0.67595818815331,0.8491614789189694,0.008566352253455478,0.5436951979191901
WinCLIP+,2,1,pcb3,201,0.5237623762376238,0.5110021294311755,0.6689189189189189,0.8633644724543975,0.010761266712419993,0.6975729041298162
WinCLIP+,2,1,pcb4,201,0.8084158415841585,0.8021875983338935,0.7787610619469026,0.9450254911628435,0.1208941264484016,0.7620194125591362
WinCLIP+,2,1,pipe_fryum,150,0.9128,0.9585509921502389,0.8955223880597015,0.9817494200282533,0.4167982117310196,0.9333408575769658
WinCLIP+,2,2,candle,200,0.8421,0.8548898211123919,0.7792207792207793,0.9088666564752363,0.027671201755036796,0.8515400543664162
WinCLIP+,2,2,capsules,160,0.6588333333333334,0.751918396865616,0.7704280155642024,0.856362310564771,0.02649095341319508,0.4159812773547557
WinCLIP+,2,2,cashew,150,0.6908,0.8300636345528514,0.8114754098360656,0.9167875073371112,0.07489128720004237,0.8101743095671416
WinCLIP+,2,2,chewinggum,150,0.8146,0.9122041103401928,0.8288288288288288,0.9741854331522087,0.39503424655677644,0.7726994390541935
WinCLIP+,2,2,fryum,150,0.6792,0.7852389480317528,0.8099173553719008,0.9081088351334798,0.14000714331805303,0.7726111257063467
WinCLIP+,2,2,macaroni1,200,0.6246,0.6454810309019705,0.673469387755102,0.9258423658115092,0.027019983432438457,0.7301016364004876
WinCLIP+,2,2,macaroni2,200,0.5944,0.5466779675751898,0.685512367491166,0.8455823963928171,0.0018941732634953573,0.4727695761002363
WinCLIP+,2,2,pcb1,200,0.7854,0.6845123502983469,0.8138528138528137,0.8658567501033256,0.019864104887504043,0.4052458690686003
