seed,shot,category,samples,image_auroc,image_ap,pixel_auroc,pixel_ap,aupro,mean_visual_weight,mean_visual_pixel_weight
0,1,01,70,0.9164237123420798,0.9683684806825983,0.9365929323643707,0.39414356607418627,0.6080041069259753,1.0,1.0
0,1,02,230,0.9455,0.9914389823720768,0.9647150070149285,0.6365552558685019,0.6657161742805908,1.0,1.0
0,1,03,441,0.9204268292682928,0.7354800753359612,0.9948643404981903,0.6664104856796204,0.9771589191235364,1.0,1.0
0,2,01,70,0.9105928085519922,0.9662685799205452,0.9155367269246858,0.3330717071108226,0.5448590681273875,1.0,1.0
0,2,02,230,0.9021666666666667,0.9844928938623976,0.9608607725323223,0.6105124236389873,0.5425670517184211,1.0,1.0
0,2,03,441,0.9957926829268293,0.9490398781487697,0.997279682502004,0.7110926666846342,0.9881979210718167,1.0,1.0
0,4,01,70,0.9096209912536443,0.9668045492516755,0.925233669815595,0.36093375855816817,0.5682737465536022,1.0,1.0
0,4,02,230,0.9143333333333333,0.9861756008898414,0.9601289349226775,0.6043417954605098,0.5280281357830561,1.0,1.0
0,4,03,441,0.9957317073170732,0.9487296854541754,0.9973958424178963,0.7139474113607591,0.988977723186308,1.0,1.0
1,1,01,70,0.8989310009718172,0.9636228733765597,0.940994451730341,0.4023438387071944,0.6255134374839723,1.0,1.0
1,1,02,230,0.9423333333333334,0.9911972025886759,0.9617586660191422,0.6204026553320106,0.5792835721248105,1.0,1.0
1,1,03,441,0.9585365853658536,0.802126136574234,0.9945253399978222,0.6585077910127309,0.9562417591877332,1.0,1.0
1,2,01,70,0.9222546161321671,0.973336916706374,0.9447009017048489,0.427092656112639,0.6297443654627014,1.0,1.0
1,2,02,230,0.9416666666666665,0.9910617157636443,0.9611232783069547,0.6144057929947581,0.5746552161640466,1.0,1.0
1,2,03,441,0.9795731707317072,0.8735672161512408,0.9959855560177266,0.6790972163341878,0.9793790573871791,1.0,1.0
1,4,01,70,0.9222546161321672,0.9727877994239713,0.9492915981910706,0.43041272381241713,0.6414477866087845,1.0,1.0
1,4,02,230,0.92,0.9870212124767317,0.9607829055183614,0.6176080483403071,0.5489435547468482,1.0,1.0
1,4,03,441,0.983780487804878,0.8870321149873508,0.996744080297599,0.705050690483844,0.9852881625580541,1.0,1.0
2,1,01,70,0.8989310009718173,0.9613477432293548,0.9256179801014405,0.38339136304765553,0.639672241229604,1.0,1.0
2,1,02,230,0.9516666666666667,0.9925874322402457,0.9643662551618644,0.6415790901256841,0.6016091375073351,1.0,1.0
2,1,03,441,0.9910975609756097,0.902823553120814,0.9962795107457804,0.6901440391097922,0.9761430693717006,1.0,1.0
2,2,01,70,0.9378036929057337,0.9756258232453728,0.9413097075350484,0.4197345481713409,0.6497462931115154,1.0,1.0
2,2,02,230,0.9343333333333333,0.9897092898321189,0.9616534311224623,0.6143779793518018,0.5535538262581496,1.0,1.0
2,2,03,441,0.9903048780487805,0.9176116973579187,0.9968489701225819,0.7083455435130339,0.9852353445837237,1.0,1.0
2,4,01,70,0.9329446064139941,0.975761941849534,0.9450050760685705,0.42606681769834936,0.6277951546281795,1.0,1.0
2,4,02,230,0.9326666666666666,0.9897140850157052,0.9604473112952951,0.6073360293157071,0.5355504133514603,1.0,1.0
2,4,03,441,0.9916463414634146,0.9135521417890019,0.9972525885781874,0.717927072978935,0.987493148370941,1.0,1.0
