candidate,seed,shot,category,samples,pixel_stride,visual_pixel_auroc,visual_pixel_ap,visual_aupro,fused_pixel_auroc,fused_pixel_ap,fused_aupro,delta_pixel_auroc,delta_pixel_ap,delta_aupro,rescue_pixel_count,rescue_true_pixel_count,rescue_coverage,anomaly_coverage,rescue_precision,harm_rate,anomaly_prevalence,rescue_precision_lift,total_regions,rescued_regions,reason_counts,fallback_rate,router_stats,test_labels_used_by_router
strict,0,1,bracket_black,79,8,0.9324282911875085,0.024394520289369392,0.8087605309474255,0.9324282911875085,0.024394520289369392,0.8087605309474255,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,32,0,"{""reliability_too_low"": 24, ""visual_confident_normal"": 1, ""rescue_budget_clipped"": 7}",1.0,"{""total_samples"": 79, ""samples_with_candidates"": 22, ""samples_with_rescue"": 0, ""total_regions_proposed"": 94, ""total_regions_rescued"": 0, ""total_regions_rejected"": 32, ""total_pixels_rescued"": 0, ""fallback_rate"": 1.0, ""rescue_rate"": 0.0}",False
balanced,0,1,bracket_black,79,8,0.9324282911875085,0.024394520289369392,0.8087605309474255,0.9323171148656306,0.024304029066660418,0.8084405236964155,-0.00011117632187784832,-9.049122270897436e-05,-0.0003200072510100016,144,0,0.0005812451562903642,0.0,0.0,1.0,0.0009606690777576853,0.0,56,7,"{""visual_confident_normal"": 12, ""pq_disagreement"": 27, ""rescue_applied"": 7, ""rescue_budget_clipped"": 10}",0.9113924050632911,"{""total_samples"": 79, ""samples_with_candidates"": 35, ""samples_with_rescue"": 7, ""total_regions_proposed"": 196, ""total_regions_rescued"": 7, ""total_regions_rejected"": 49, ""total_pixels_rescued"": 144, ""fallback_rate"": 0.9113924050632911, ""rescue_rate"": 0.08860759493670886}",False
permissive,0,1,bracket_black,79,8,0.9324282911875085,0.024394520289369392,0.8087605309474255,0.9322753367425368,0.024297890375554472,0.8084867190451714,-0.00015295444497165356,-9.662991381492042e-05,-0.00027381190225406193,180,0,0.0007265564453629553,0.0,0.0,1.0,0.0009606690777576853,0.0,138,5,"{""pq_disagreement"": 126, ""rescue_applied"": 5, ""rescue_budget_clipped"": 7}",0.9367088607594937,"{""total_samples"": 79, ""samples_with_candidates"": 66, ""samples_with_rescue"": 5, ""total_regions_proposed"": 472, ""total_regions_rescued"": 5, ""total_regions_rejected"": 133, ""total_pixels_rescued"": 180, ""fallback_rate"": 0.9367088607594937, ""rescue_rate"": 0.06329113924050633}",False
unbounded,0,1,bracket_black,79,8,0.9324282911875085,0.024394520289369392,0.8087605309474255,0.9324282911875085,0.024394520289369392,0.8087605309474255,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,54,0,"{""pq_disagreement"": 54}",1.0,"{""total_samples"": 79, ""samples_with_candidates"": 36, ""samples_with_rescue"": 0, ""total_regions_proposed"": 380, ""total_regions_rescued"": 0, ""total_regions_rejected"": 54, ""total_pixels_rescued"": 0, ""fallback_rate"": 1.0, ""rescue_rate"": 0.0}",False
strict,0,1,bracket_brown,77,8,0.9308236922739413,0.04568812907492223,0.7360557134348157,0.9308236922739413,0.04568812907492223,0.7360557134348157,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,44,0,"{""reliability_too_low"": 35, ""pq_disagreement"": 8, ""visual_confident_normal"": 1}",1.0,"{""total_samples"": 77, ""samples_with_candidates"": 34, ""samples_with_rescue"": 0, ""total_regions_proposed"": 96, ""total_regions_rescued"": 0, ""total_regions_rejected"": 44, ""total_pixels_rescued"": 0, ""fallback_rate"": 1.0, ""rescue_rate"": 0.0}",False
balanced,0,1,bracket_brown,77,8,0.9308236922739413,0.04568812907492223,0.7360557134348157,0.9307869990731297,0.045381334227127534,0.735905952755282,-3.669320081167715e-05,-0.0003067948477946947,-0.00014976067953365035,37,0,0.00015322687516565068,0.0,0.0,1.0,0.0045181221839385105,0.0,62,2,"{""pq_disagreement"": 54, ""visual_confident_normal"": 4, ""rescue_applied"": 2, ""rescue_budget_clipped"": 2}",0.974025974025974,"{""total_samples"": 77, ""samples_with_candidates"": 40, ""samples_with_rescue"": 2, ""total_regions_proposed"": 190, ""total_regions_rescued"": 2, ""total_regions_rejected"": 60, ""total_pixels_rescued"": 37, ""fallback_rate"": 0.974025974025974, ""rescue_rate"": 0.025974025974025976}",False
permissive,0,1,bracket_brown,77,8,0.9308236922739413,0.04568812907492223,0.7360557134348157,0.9307740231859467,0.04653149276647514,0.7671913291183511,-4.9669087994641536e-05,0.0008433636915529119,0.0311356156835354,156,11,0.0006460376358335542,0.01008249312557287,0.07051282051282051,0.9294871794871795,0.0045181221839385105,15.606665256527767,159,4,"{""pq_disagreement"": 151, ""rescue_applied"": 4, ""visual_confident_normal"": 2, ""rescue_budget_clipped"": 2}",0.948051948051948,"{""total_samples"": 77, ""samples_with_candidates"": 60, ""samples_with_rescue"": 4, ""total_regions_proposed"": 512, ""total_regions_rescued"": 4, ""total_regions_rejected"": 155, ""total_pixels_rescued"": 156, ""fallback_rate"": 0.948051948051948, ""rescue_rate"": 0.05194805194805195}",False
unbounded,0,1,bracket_brown,77,8,0.9308236922739413,0.04568812907492223,0.7360557134348157,0.9308236922739413,0.04568812907492223,0.7360557134348157,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,169,0,"{""pq_disagreement"": 169}",1.0,"{""total_samples"": 77, ""samples_with_candidates"": 63, ""samples_with_rescue"": 0, ""total_regions_proposed"": 761, ""total_regions_rescued"": 0, ""total_regions_rejected"": 169, ""total_pixels_rescued"": 0, ""fallback_rate"": 1.0, ""rescue_rate"": 0.0}",False
strict,0,1,bracket_white,60,8,0.9912126681180973,0.09433514780956423,0.9617686100166452,0.9912126681180973,0.09433514780956423,0.9617686100166452,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.00022852891156462584,0.0,1,0,"{""visual_confident_normal"": 1}",1.0,"{""total_samples"": 60, ""samples_with_candidates"": 1, ""samples_with_rescue"": 0, ""total_regions_proposed"": 34, ""total_regions_rescued"": 0, ""total_regions_rejected"": 1, ""total_pixels_rescued"": 0, ""fallback_rate"": 1.0, ""rescue_rate"": 0.0}",False
balanced,0,1,bracket_white,60,8,0.9912126681180973,0.09433514780956423,0.9617686100166452,0.9914704245786672,0.09572469846982333,0.9632344985585568,0.0002577564605699134,0.0013895506602591007,0.001465888541911653,96,3,0.0005102040816326531,0.06976744186046512,0.03125,0.96875,0.00022852891156462584,136.74418604651163,31,4,"{""visual_confident_normal"": 19, ""rescue_budget_clipped"": 5, ""rescue_applied"": 4, ""pq_disagreement"": 3}",0.9333333333333333,"{""total_samples"": 60, ""samples_with_candidates"": 20, ""samples_with_rescue"": 4, ""total_regions_proposed"": 125, ""total_regions_rescued"": 4, ""total_regions_rejected"": 27, ""total_pixels_rescued"": 96, ""fallback_rate"": 0.9333333333333333, ""rescue_rate"": 0.06666666666666667}",False
