category,seed,shot,n_normal,n_anomaly,n_total,ap_a1_max,auroc_a1_max,ap_a1_top1,auroc_a1_top1,ap_text,auroc_text,dap_text,dauroc_text
bracket_black,0,1,32,47,79,0.5621490941122234,0.4275265957446808,0.5342657414728368,0.40492021276595747,0.7325233075971676,0.6771941489361701,0.1703742134849442,0.2496675531914893
bracket_black,0,2,32,47,79,0.561718394831281,0.4607712765957447,0.5256577322195274,0.39893617021276595,0.7325233075971676,0.6771941489361701,0.1708049127658865,0.21642287234042545
bracket_black,0,4,32,47,79,0.8699851276988307,0.7972074468085106,0.6871342817604402,0.5797872340425532,0.7325233075971676,0.6771941489361701,-0.1374618201016632,-0.1200132978723405
bracket_black,1,1,32,47,79,0.7631000700008158,0.6210106382978724,0.6530617599999352,0.523936170212766,0.7325233075971676,0.6771941489361701,-0.03057676240364826,0.05618351063829774
bracket_black,1,2,32,47,79,0.6693572904488537,0.5226063829787234,0.5786827883136962,0.42353723404255317,0.7325233075971676,0.6771941489361701,0.06316601714831382,0.15458776595744672
bracket_black,1,4,32,47,79,0.7379091656495027,0.6223404255319149,0.6188839623395366,0.4601063829787234,0.7325233075971676,0.6771941489361701,-0.005385858052335157,0.054853723404255206
bracket_black,2,1,32,47,79,0.5951548606232178,0.43550531914893614,0.5943295728635152,0.4614361702127659,0.7325233075971676,0.6771941489361701,0.1373684469739498,0.241688829787234
bracket_black,2,2,32,47,79,0.5918022387308345,0.519281914893617,0.5271731234462572,0.42619680851063835,0.7325233075971676,0.6771941489361701,0.14072106886633307,0.15791223404255317
bracket_black,2,4,32,47,79,0.8315987897471845,0.6974734042553192,0.7414486130507859,0.6010638297872339,0.7325233075971676,0.6771941489361701,-0.09907548215001694,-0.020279255319149092
bracket_brown,0,1,26,51,77,0.7399949469760592,0.5603318250377074,0.716066659511108,0.5641025641025641,0.8048219771696942,0.6199095022624435,0.064827030193635,0.05957767722473606
bracket_brown,0,2,26,51,77,0.7598400574200707,0.5708898944193062,0.739266640233383,0.572398190045249,0.8048219771696942,0.6199095022624435,0.04498191974962351,0.0490196078431373
bracket_brown,0,4,26,51,77,0.7250777918550071,0.5731523378582202,0.7194304208066291,0.5814479638009049,0.8048219771696942,0.6199095022624435,0.07974418531468708,0.046757164404223284
bracket_brown,1,1,26,51,77,0.7125361289546833,0.5339366515837104,0.694712194828474,0.5490196078431373,0.8048219771696942,0.6199095022624435,0.09228584821501085,0.08597285067873306
bracket_brown,1,2,26,51,77,0.7267021810819793,0.5490196078431373,0.7124782111883613,0.55052790346908,0.8048219771696942,0.6199095022624435,0.07811979608771491,0.07088989441930615
bracket_brown,1,4,26,51,77,0.7328197928056125,0.6372549019607843,0.7446908669289398,0.650075414781297,0.8048219771696942,0.6199095022624435,0.07200218436408168,-0.017345399698340813
bracket_brown,2,1,26,51,77,0.6937696395080551,0.5233785822021115,0.6876332818777179,0.5339366515837104,0.8048219771696942,0.6199095022624435,0.11105233766163902,0.09653092006033193
bracket_brown,2,2,26,51,77,0.7125620811139283,0.5535444947209653,0.7112570317196513,0.555052790346908,0.8048219771696942,0.6199095022624435,0.0922598960557659,0.06636500754147812
bracket_brown,2,4,26,51,77,0.774912926214996,0.6546003016591252,0.7731210290691676,0.6666666666666666,0.8048219771696942,0.6199095022624435,0.029909050954698202,-0.03469079939668174
bracket_white,0,1,30,30,60,0.7564372591813036,0.7855555555555556,0.5731484217962235,0.68,0.7143132850286763,0.675,-0.04212397415262725,-0.11055555555555552
bracket_white,0,2,30,30,60,0.8071000882339985,0.8266666666666667,0.5938951385424088,0.7144444444444444,0.7143132850286763,0.675,-0.09278680320532218,-0.15166666666666662
bracket_white,0,4,30,30,60,0.7945923184318668,0.8244444444444445,0.6023396555002519,0.72,0.7143132850286763,0.675,-0.08027903340319054,-0.1494444444444445
bracket_white,1,1,30,30,60,0.5509371768792533,0.6311111111111112,0.5536932924112595,0.6344444444444445,0.7143132850286763,0.675,0.16337610814942305,0.043888888888888866
bracket_white,1,2,30,30,60,0.8317536405052649,0.7944444444444445,0.8187162508498729,0.7644444444444444,0.7143132850286763,0.675,-0.1174403554765886,-0.11944444444444446
bracket_white,1,4,30,30,60,0.8932489762774318,0.8877777777777778,0.694777335393961,0.7677777777777778,0.7143132850286763,0.675,-0.17893569124875552,-0.21277777777777773
bracket_white,2,1,30,30,60,0.49343864705988294,0.528888888888889,0.416136877665127,0.3944444444444445,0.7143132850286763,0.675,0.22087463796879336,0.14611111111111108
bracket_white,2,2,30,30,60,0.7760878343969226,0.8011111111111111,0.5951651395126577,0.7077777777777778,0.7143132850286763,0.675,-0.061774549368246334,-0.12611111111111106
bracket_white,2,4,30,30,60,0.8983994903032644,0.8944444444444445,0.7022667755204449,0.7966666666666666,0.7143132850286763,0.675,-0.18408620527458808,-0.21944444444444444
connector,0,1,30,14,44,0.4322356475246941,0.5738095238095239,0.4419667903677915,0.5857142857142857,0.7665992220340045,0.8738095238095238,0.3343635745093104,0.29999999999999993
connector,0,2,30,14,44,0.6124756244175316,0.7928571428571429,0.6842184601113172,0.8738095238095238,0.7665992220340045,0.8738095238095238,0.15412359761647298,0.08095238095238089
connector,0,4,30,14,44,0.8030573126686571,0.9,0.7921214698000412,0.9142857142857144,0.7665992220340045,0.8738095238095238,-0.03645809063465255,-0.02619047619047621
connector,1,1,30,14,44,0.5586751394317184,0.7166666666666667,0.6893793522193565,0.8357142857142857,0.7665992220340045,0.8738095238095238,0.20792408260228612,0.15714285714285714
connector,1,2,30,14,44,0.6847029050854792,0.8523809523809524,0.8577822814194994,0.9500000000000001,0.7665992220340045,0.8738095238095238,0.0818963169485254,0.021428571428571463
