shot,category,temperature,decision_margin,image_auroc,image_ap,visual_count,text_count,weighted_count,image_weight_mean
2,candle,0.2,0.05,0.8499,0.8627945406318729,200,0,0,0.9483793377876282
2,candle,0.2,0.1,0.8499,0.8627945406318729,200,0,0,0.9483793377876282
2,candle,0.2,0.15,0.8499,0.8627945406318729,200,0,0,0.9483793377876282
2,candle,0.35,0.05,0.8515,0.8735739866845289,200,0,0,0.922390341758728
2,candle,0.35,0.1,0.8515,0.8735739866845289,200,0,0,0.922390341758728
2,candle,0.35,0.15,0.8515,0.8735739866845289,199,0,1,0.922390341758728
2,candle,0.5,0.05,0.8362999999999999,0.856450478883662,200,0,0,0.8522420525550842
2,candle,0.5,0.1,0.8362999999999999,0.856450478883662,199,0,1,0.8522420525550842
2,candle,0.5,0.15,0.8362999999999999,0.856450478883662,199,0,1,0.8522420525550842
2,capsules,0.2,0.05,0.8190833333333334,0.8864088707037672,101,0,59,0.7107259631156921
2,capsules,0.2,0.1,0.8190833333333334,0.8864088707037672,87,0,73,0.7107259631156921
2,capsules,0.2,0.15,0.8190833333333334,0.8864088707037672,83,0,77,0.7107259631156921
2,capsules,0.35,0.05,0.82825,0.8941639326165791,90,0,70,0.6706763505935669
2,capsules,0.35,0.1,0.82825,0.8941639326165791,79,0,81,0.6706763505935669
2,capsules,0.35,0.15,0.82825,0.8941639326165791,70,0,90,0.6706763505935669
2,capsules,0.5,0.05,0.8279166666666667,0.8939375452093399,86,0,74,0.6357454061508179
2,capsules,0.5,0.1,0.8279166666666667,0.8939375452093399,71,0,89,0.6357454061508179
2,capsules,0.5,0.15,0.8279166666666667,0.8939375452093399,60,0,100,0.6357454061508179
2,cashew,0.2,0.05,0.7565999999999999,0.8893694608972674,117,0,33,0.753844678401947
2,cashew,0.2,0.1,0.7565999999999999,0.8893694608972674,107,0,43,0.753844678401947
2,cashew,0.2,0.15,0.7565999999999999,0.8893694608972674,90,0,60,0.753844678401947
2,cashew,0.35,0.05,0.7536,0.8885560404504874,108,0,42,0.7063599824905396
2,cashew,0.35,0.1,0.7536,0.8885560404504874,89,0,61,0.7063599824905396
2,cashew,0.35,0.15,0.7536,0.8885560404504874,76,0,74,0.7063599824905396
2,cashew,0.5,0.05,0.7596,0.8925552981719854,99,0,51,0.6643888354301453
2,cashew,0.5,0.1,0.7596,0.8925552981719854,77,0,73,0.6643888354301453
2,cashew,0.5,0.15,0.7596,0.8925552981719854,68,0,82,0.6643888354301453
